ProfessorID,DepartmentID,ProfessorName,Location,ProfessorType
500,1000,"Jadon Ponce","Robinson 411","P"
501,1000,"Tess Steadman","ISEC 321","P"
502,1002,"Jaydan Travis","Richards 175","P"
503,1001,"Jacob Porter","Richards 345","C"
504,1003,"Barry Duran","Ell 250","C"
505,1003,"Haidar Jacobs","Snell 001","P"
506,1004,"Shakir Goulding","Snell 004","P"
507,1006,"Gillian Hoffman","Churchill 345","C"
508,1008,"Ranveer Stamp","Churchill 175","C"
509,1009,"Sumaiyah Herman","Richards 411","P"
510,1002,"Chelsie Colley","Dodge 444","P"
511,1002,"Vinny Norton","Dodge 375","P"
512,1003,"Reef Huber","ISEC 250","P"
513,1003,"Montague Stafford","ISEC 111","P"
514,1004,"Ann Storey","Robinson 112","C"
515,1006,"Coral Quinn","Robinson 113","C"
516,1008,"Kadie Correa","Robinson 450","C"
517,1010,"Alara Rivera","Snell 320","C"
518,1008,"Angela Weston","Snell 400","C"
519,1010,"Dafydd Whitworth","Snell 485","C"
