customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner,full_name,birth_year,has_children,Current_Age,Priority,Short_Country,House_Number
289,"90872421300","Bertha","Jameson","3029 Heather Leaf Ln.","Los Angeles","CA","31309","USA",1948-06-09 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1994-11-16 00:00:00.000,"Bronze","Manual","N","Bertha Jameson",1948,"Y",74,"Standard","USA","3029"
313,"91158838272","Ole","Weldon","5754 Glenhaven Ave","Palo Alto","CA","30993","USA",1931-06-21 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1992-05-05 00:00:00.000,"Bronze","Manual","N","Ole Weldon",1931,"Y",91,"Standard","USA","5754"
390,"92005987200","Paul","Alcorn","4822 Center Street","Fremont","CA","18956","USA",1973-03-26 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1994-06-26 00:00:00.000,"Bronze","Manual","N","Paul Alcorn",1973,"Y",49,"Standard","USA","4822"
394,"92050951719","Jared","Bustamante","4222 San Jose Dr.","Concord","CA","44256","USA",1910-02-17 00:00:00.000,"S","$30K - $50K","M",2,0,"High School Degree",1990-02-09 00:00:00.000,"Bronze","Manual","N","Jared Bustamante",1910,"Y",112,"Standard","USA","4222"
425,"92441642284","Margaret","Adams","8452 Dewing Avenue","San Carlos","CA","64065","USA",1979-05-02 00:00:00.000,"S","$30K - $50K","M",3,0,"High School Degree",1992-03-15 00:00:00.000,"Bronze","Manual","N","Margaret Adams",1979,"Y",43,"Standard","USA","8452"
482,"93154197931","Vanessa","Tench","6621 Polaris Dr.","Imperial Beach","CA","69245","USA",1930-01-10 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1994-03-02 00:00:00.000,"Bronze","Manual","N","Vanessa Tench",1930,"Y",92,"Standard","USA","6621"
574,"94377177953","Catherine","Whitney","1239 Linnet Court","La Jolla","CA","76380","USA",1966-05-18 00:00:00.000,"S","$30K - $50K","F",2,0,"High School Degree",1993-06-04 00:00:00.000,"Bronze","Manual","N","Catherine Whitney",1966,"Y",56,"Standard","USA","1239"
577,"94402787700","Stacey","Cereghino","852 Santa Maria","Coronado","CA","47561","USA",1943-08-27 00:00:00.000,"S","$30K - $50K","M",1,0,"High School Degree",1992-03-05 00:00:00.000,"Bronze","Manual","N","Stacey Cereghino",1943,"Y",79,"Standard","USA","852"
601,"94717700500","Marlin","Coriell","4824 Discovery Bay","Beverly Hills","CA","75442","USA",1933-03-15 00:00:00.000,"S","$30K - $50K","M",4,0,"High School Degree",1992-05-17 00:00:00.000,"Bronze","Manual","N","Marlin Coriell",1933,"Y",89,"Standard","USA","4824"
755,"96895353794","Deanna","Sabella","8942 Sierra Road","Woodland Hills","CA","23993","USA",1916-06-13 00:00:00.000,"S","$30K - $50K","F",3,0,"High School Degree",1992-09-08 00:00:00.000,"Bronze","Manual","N","Deanna Sabella",1916,"Y",106,"Standard","USA","8942"
884,"98581272363","Joseph","Thompson","2099 San Jose","Mill Valley","CA","68331","USA",1968-06-13 00:00:00.000,"S","$30K - $50K","F",4,0,"High School Degree",1991-02-21 00:00:00.000,"Bronze","Manual","N","Joseph Thompson",1968,"Y",54,"Standard","USA","2099"
