PatientID,Name,ContactNumber,DateOfBirth,StreetName,City,State,ZipCode
100000,"Suzie Kris",9785438907,1990-09-12 00:00:00.000,"Calmut Street","Boston","Massachusetts","02120"
100001,"Sherell Wisozk",6173459078,1985-08-13 00:00:00.000,"47 Lamson Street","Boston","Massachusetts","02128"
100002,"Kenna Shanahan",8573123490,1986-07-15 00:00:00.000,"3 Avery Street","Boston","Massachusetts","02111"
100003,"Adalberto Kreiger",6473210987,1991-01-11 00:00:00.000,"377 Commonwealth Ave","Boston","Massachusetts","02115"
100004,"Joie Williamson",9786541345,1992-02-23 00:00:00.000,"31 Circuit Street","Boston","Massachusetts","02119"
100005,"Davina Ratke",6134567890,1978-02-21 00:00:00.000,"221 Massachusetts Avenue","Boston","Massachusetts","02123"
100006,"Lizeth Rogahn",8574316730,1994-12-30 00:00:00.000,"294 Athens Street","Boston","Massachusetts","02127"
100007,"Truman Schultz",9871234562,1992-11-25 00:00:00.000,"48 Waterman Road","Boston","Massachusetts","02131"
100008,"Seymour Weissnat",7480931450,1984-06-15 00:00:00.000,"108 Litchfield Street","Boston","Massachusetts","02135"
100009,"Lore McDermott",6178934109,1989-05-25 00:00:00.000,"25 Sherman Street","Boston","Massachusetts","02149"
