Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Year
24844,"Medium",0.09,78.69,19.99,14,"Gwendolyn F Tyson","Regular Air","Small Business","Furniture","Office Furnishings","Small Box","Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock",0.43,"United States","Central","Minnesota","Prior Lake",55372,2015-05-12 00:00:00.000,2015-05-14 00:00:00.000,803.4705,16,1164.45,86838,2015-05-12 00:00:00.000
25933,"High",0,99.99,19.99,43,"Theodore Moran","Regular Air","Consumer","Technology","Office Machines","Small Box","AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting",0.52,"United States","West","Washington","Redmond",98052,2015-05-10 00:00:00.000,2015-05-11 00:00:00.000,25.91382,6,647.07,91454,2015-05-10 00:00:00.000
23880,"High",0.08,896.99,19.99,84,"Helen Stein","Regular Air","Corporate","Office Supplies","Binders and Binder Accessories","Small Box","GBC DocuBind TL300 Electric Binding System",0.38,"United States","East","Ohio","Cincinnati",45231,2015-03-30 00:00:00.000,2015-04-02 00:00:00.000,7402.32,13,10728,87366,2015-03-30 00:00:00.000
24663,"Low",0.05,161.55,19.99,87,"Norman Shields","Regular Air","Corporate","Office Supplies","Storage & Organization","Small Box","Fellowes Super Stor/Drawer® Files",0.66,"United States","West","California","Vacaville",95687,2015-06-03 00:00:00.000,2015-06-08 00:00:00.000,1892.424,19,3127.69,90596,2015-06-03 00:00:00.000
5361,"Critical",0.02,49.99,19.99,181,"Wesley Waller","Regular Air","Small Business","Technology","Computer Peripherals","Small Box","Zoom V.92 USB External Faxmodem",0.41,"United States","West","California","San Francisco",94122,2015-02-21 00:00:00.000,2015-02-21 00:00:00.000,-76.89,18,901.81,38087,2015-02-21 00:00:00.000
23361,"Critical",0.02,49.99,19.99,184,"Phillip Holmes","Regular Air","Small Business","Technology","Computer Peripherals","Small Box","Zoom V.92 USB External Faxmodem",0.41,"United States","East","Massachusetts","Arlington",2474,2015-02-21 00:00:00.000,2015-02-21 00:00:00.000,-76.89,5,250.5,88360,2015-02-21 00:00:00.000
25158,"Critical",0,161.55,19.99,197,"Samantha Weaver","Regular Air","Small Business","Office Supplies","Storage & Organization","Small Box","Fellowes Super Stor/Drawer® Files",0.66,"United States","Central","Kansas","Overland Park",66212,2015-04-02 00:00:00.000,2015-04-04 00:00:00.000,1167.158,19,3108.98,88921,2015-04-02 00:00:00.000
7158,"Critical",0,161.55,19.99,198,"Leroy Blanchard","Regular Air","Small Business","Office Supplies","Storage & Organization","Small Box","Fellowes Super Stor/Drawer® Files",0.66,"United States","Central","Michigan","Detroit",48138,2015-04-02 00:00:00.000,2015-04-04 00:00:00.000,1014.92,77,12599.55,51072,2015-04-02 00:00:00.000
23153,"Not Specified",0.03,48.04,19.99,445,"Judy Barrett","Regular Air","Small Business","Office Supplies","Paper","Small Box","14-7/8 x 11 Blue Bar Computer Printout Paper",0.37,"United States","Central","Nebraska","Norfolk",68701,2015-04-11 00:00:00.000,2015-04-13 00:00:00.000,-4.45999999999999,2,101.71,88083,2015-04-11 00:00:00.000
18467,"Low",0.07,165.2,19.99,463,"Debbie Stevenson","Regular Air","Small Business","Office Supplies","Storage & Organization","Small Box","Economy Rollaway Files",0.59,"United States","West","California","West Hollywood",90069,2015-01-14 00:00:00.000,2015-01-16 00:00:00.000,521.69,7,1081.54,88061,2015-01-14 00:00:00.000
