SwimmerID,TrainerID,FirstName,LastName,PassportNumber,Gender,BirthDate,CareerStart,Rank,Сountry,DopingRec,SwimName,age
45681,555,"Hy","Abernethy","q6gZIqsN9ImT","M",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",True,"HyAbernethy",22
45688,555,"Hy","Antliff","uHnMhZsN9ImT","M",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyAntliff",22
45691,555,"Hy","Atack","AOCJcmsN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyAtack",22
45694,555,"Hy","Ayars","RfBwPssN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyAyars",22
45696,555,"Hy","Bampkin","pC3AvjsN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyBampkin",22
45700,555,"Hy","Beaston","gXbBRrsN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",True,"HyBeaston",22
45701,555,"Hy","Beccles","dDiQKssN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyBeccles",22
45703,555,"Hy","Belvard","1z5FYSsN9ImT","M",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",True,"HyBelvard",22
45707,555,"Hy","Bennedsen","IgrR6xsN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyBennedsen",22
45710,555,"Hy","Betje","a3umGRsN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyBetje",22
45711,555,"Hy","Blunkett","uM68dWsN9ImT","M",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",True,"HyBlunkett",22
45714,555,"Hy","Bootton","T3jpl4sN9ImT","F",2000-02-29 00:00:00.000,2005-05-20 00:00:00.000,"3","China",False,"HyBootton",22
