Contact Id,Email,Full name
"023c8bd7-b24f-e911-a82e-000d3a4e6475","v-srinat@microsoft.com","Dynamics CRM"
"033c8bd7-b24f-e911-a82e-000d3a4e6475","v-sukroy@microsoft.com","LeadGen Alt1"
"cc3c8bd7-b24f-e911-a82e-000d3a4e6475","damarek+1@microsoft.com","Dynamics CRM"
"cd3c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"ce3c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"d23c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"d33c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"d83c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"e93c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"ea3c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"ef3c8bd7-b24f-e911-a82e-000d3a4e6475","dariosap@microsoft.com","Dynamics CRM"
"313f8bd7-b24f-e911-a82e-000d3a4e6475","d@d.com","Dynamics CRM"
"fe8f8c90-824f-e911-a82a-000d3a4e6483","","FirstName LastName"
"58b55f64-914f-e911-a82a-000d3a4e6483","v-vadeep@microsoft.com","Deepthi V"
"d3a7d08c-914f-e911-a82a-000d3a4e6483","v-shbasw@microsoft.com","Shruthi B"
"277d2833-934f-e911-a82a-000d3a4e6483","v-chavk@microsoft.com","Chaitanya Alamuri"
"07369045-934f-e911-a82a-000d3a4e6483","v-sonals@microsoft.com","Sonali S"
"594acf5f-934f-e911-a82a-000d3a4e6483","v-shnich@microsoft.com","Shalini N"
"394e281f-a34f-e911-a82a-000d3a4e6483","","C1"
"c969145c-ad4f-e911-a82a-000d3a4e6483","mktuitest+pvbirkibsa@gmail.com","TC407856contact1FirstName_4BpPsL TC407856contact1LastName_fVh9gD"
"ba266c86-ad4f-e911-a82a-000d3a4e6483","mktuitest+ziqiqcoyfa@gmail.com","TC407856contact2FirstName_9wcpAj TC407856contact2LastName_36vkZC"
"fe67b4ec-ca4f-e911-a82a-000d3a4e6483","v-rahanm@microsoft.com","Ram R"
"2d70f6ad-6850-e911-a82a-000d3a4e6483","v-anisv@microsoft.com","Anisha V"
"d2d15110-6950-e911-a82a-000d3a4e6483","v-srinat@microsoft.com","Srijita Nath"
"2cb44722-6950-e911-a82a-000d3a4e6483","v-surpa@microsoft.com","Surya Teja"
"d6bc1ca2-6d50-e911-a82a-000d3a4e6483","vdeepthi4@gmail.com","Deepthi Gmail"
"8bb91e97-8650-e911-a82b-000d3a4e6483","v-swapnc@microsoft.com","Swapna Challa"
"3cdb1f9d-8650-e911-a82b-000d3a4e6483","anideep2019@gmail.com","Gmail R"
"160ed4da-8650-e911-a82b-000d3a4e6483","v-kashes@microsoft.com","Kavya Sree"
