PersonID,PersonName,PersonEmail,PersonContact,PersonAddress,PersonDOB,PersonGender,PersonType
147749466,"Harman Delcastel","hdelcastel0@geocities.com","1036820626","4473 Hazelcrest Hill",1975-11-24 00:00:00.000,"Male","Employee"
160536038,"Alida Vequaud","avequaud2@foxnews.com","4954063812","7 Bayside Park",1967-03-13 00:00:00.000,"Female","Customer"
233883976,"Audie Kimmins","akimmins3@arizona.edu","6052772409","304 Schurz Way",2000-05-23 00:00:00.000,"Female","Employee"
305036317,"Latisha Clynmans","lclynmans9@theglobeandmail.com","6002269595","35 Lien Plaza",1964-06-21 00:00:00.000,"Female","Customer"
421303010,"Willetta Olyfat","wolyfat5@opensource.org","5723630866","7010 Pawling Trail",1998-12-10 00:00:00.000,"Female","Employee"
430770097,"Margy Choake","mchoake4@freewebs.com","2667293328","351 Express Trail",1991-12-30 00:00:00.000,"Female","Customer"
503321768,"Britt Housden","bhousden1@howstuffworks.com","3411308020","09 5th Place",1998-08-18 00:00:00.000,"Female","Customer"
760663871,"Pip Vitler","pvitler7@storify.com","9063881949","3259 Fuller Terrace",1969-03-14 00:00:00.000,"Male","Customer"
788228483,"Shurwood McGilvary","smcgilvary8@illinois.edu","3996991827","5 Packers Drive",1970-05-01 00:00:00.000,"Male","Customer"
798360338,"Dukie Impy","dimpy6@imdb.com","7788717174","574 Tomscot Circle",1980-11-19 00:00:00.000,"Male","Employee"
