CustomerID,Customer,CustomerContactName,CountryCode,CustomerCountry,CustomerAddress,CustomerCity,CustomerPhone
70,"Alles Lusekofter","Akkurat Jonny","NO","Norway","Erling Skakkes gate 78","Stavern","07-98 92 35"
84,"Art et Fashion","Pierre Robert","FR","France","2, rue du Commerce","Lyon","78.32.54.86"
18,"Aujourd´hui","Pierre Chardin","FR","France","67, rue des Cinquante Otages","Nantes","40.67.88.88"
86,"Autokleider","Ralf Schumaker","DE","Germany","Adenauerallee 900","Stuttgart","0711-020361"
76,"Belgium Black Jeans","Cheril Cow","BE","Belgium","Boulevard Tirou, 255","Charleroi","(071) 23 67 22 20"
10,"Big Foot Shoes","James Hendersson","CA","Canada","23 Tsawassen Blvd.","Tsawassen","(604) 555-4729"
45,"Bobby Socks","Vincent Vega","US","USA","87 Polk St. Suite 5","San Francisco","(415) 555-5938"
37,"Boleros","Robert Bolero","IE","Ireland","8 Johnstown Road","Cork","2967542"
82,"Bond Ltd","Mark Stark","US","USA","722 DaVinci Blvd.","Kirkland","(206) 555-8257"
79,"Boombastic","Heinz Disco","DE","Germany","Luisenstr. 48","Münster","0251-031259"
56,"Casual Clothing","Herman Schlusse","DE","Germany","Mehrheimerstr. 369","Köln","0221-0644327"
23,"Champes","Jaques Wilneuve","FR","France","184, chaussée de Tournai","Lille","20.16.10.16"
74,"Chateau de Ville","André Millard","FR","France","25, rue Lauriston","Paris","(1) 47.55.60.10"
21,"Cloe do Pau","Romario do Sauza","BR","Brazil","Rua Orós, 92","São Paulo","(11) 555-9857"
61,"Copacabana","Giovanni Santhos","BR","Brazil","Rua da Panificadora, 12","Rio de Janeiro","(21) 555-4252"
67,"Da Bikini Expertu","Thomá Lindao","BR","Brazil","Av. Copacabana, 267","Rio de Janeiro","(21) 555-3412"
88,"Da Santho Cosmethia","Mariah Erdi","BR","Brazil","Rua do Mercado, 12","Resende","(14) 555-8122"
14,"Das Alpen Shoe","Alfred Neumann","CH","Switzerland","Hauptstr. 29","Bern","0452-076545"
51,"Davenport Fashion","James Belucci","CA","Canada","43 rue St. Laurent","Montréal","(514) 555-8054"
50,"De la Vita","Marco Van Deum","BE","Belgium","Rue Joseph-Bens 532","Bruxelles","(02) 201 24 67"
80,"Don Balón","Peloto Gomez","MX","Mexico","Avda. Azteca 123","México D.F.","(5) 555-2933"
4,"Dr Jims Trousers","Carl Montgomery","UK","UK","120 Hanover Sq.","London","(171) 555-7788"
1,"Eintrach GS","Albert von Einstein","DE","Germany","Obere Str. 57","Berlin","030-0074321"
33,"El Abrigo Mortal","Antonio Palmer Amer","VE","Venezuela","5ª Ave. Los Palos Grandes","Caracas","(2) 283-2951"
34,"El Carnevale","Joe do Pintho","BR","Brazil","Rua do Paço, 67","Rio de Janeiro","(21) 555-0091"
29,"El Chandal del Barca","Jusep del pep","ES","Spain","Rambla de Cataluña, 23","Barcelona","(93) 203 4560"
47,"El Pirata","Andrés Barbanegra","VE","Venezuela","Ave. 5 de Mayo Porlamar","I. de Margarita","(8) 34-56-12"
28,"El Traige do Benfica","Vitor Baiha","PT","Portugal","Jardim das rosas n. 32","Lisboa","(1) 354-2534"
35,"El Zapato Rojo","Nicolas Balines","VE","Venezuela","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","(5) 555-1340"
41,"Elle Fashion & Design","Louise Davu","FR","France","1 rue Alsace-Lorraine","Toulouse","61.77.61.10"
59,"Extrawagens","Herbert Bernstorf","AT","Austria","Geislweg 14","Salzburg","6562-9722"
77,"Eye Fashion","Charles Oakley","US","USA","89 Jefferson Way Suite 2","Portland","(503) 555-3612"
72,"Fast Sunglasses","Ray Banned","UK","UK","90 Wadhurst Rd.","London","(171) 555-1717"
53,"Fawtly Towers","John Cleez","UK","UK","South House 300 Queensbridge","London","(171) 555-7733"
43,"For The Dark Night","Klaus Tarantino","US","USA","12 Orchestra Terrace","Walla Walla","(509) 555-7969"
17,"Gluderstedt","Lars von Holstein","DE","Germany","Walserweg 21","Aachen","0241-039123"
68,"Golden Design Group","Carl Perry","CH","Switzerland","Grenzacherweg 237","Genève","0897-034214"
63,"Grunewald","George Essen","DE","Germany","Taucherstraße 10","Cunewalde","0372-035188"
25,"Halle Köln","Dieter Köln","DE","Germany","Berliner Platz 43","München","089-0877310"
27,"Il Pantaloni di la Cammorra","Don Corleone","IT","Italy","Via Monte Bianco 34","Torino","011-4988260"
