personal_ID,Nombre,Apellido,eMail,Telefono,Personal Apellido Nombre,Personal Nombre Apellido
1,"Fabiola","Jackson","fabiola.jackson@bikes.shop","(831) 555-5554","Jackson, Fabiola","Fabiola Jackson"
2,"Mireya","Copeland","mireya.copeland@bikes.shop","(831) 555-5555","Copeland, Mireya","Mireya Copeland"
3,"Genna","Serrano","genna.serrano@bikes.shop","(831) 555-5556","Serrano, Genna","Genna Serrano"
4,"Virgie","Wiggins","virgie.wiggins@bikes.shop","(831) 555-5557","Wiggins, Virgie","Virgie Wiggins"
5,"Jannette","David","jannette.david@bikes.shop","(516) 379-4444","David, Jannette","Jannette David"
6,"Marcelene","Boyer","marcelene.boyer@bikes.shop","(516) 379-4445","Boyer, Marcelene","Marcelene Boyer"
7,"Venita","Daniel","venita.daniel@bikes.shop","(516) 379-4446","Daniel, Venita","Venita Daniel"
8,"Kali","Vargas","kali.vargas@bikes.shop","(972) 530-5555","Vargas, Kali","Kali Vargas"
9,"Layla","Terrell","layla.terrell@bikes.shop","(972) 530-5556","Terrell, Layla","Layla Terrell"
10,"Bernardine","Houston","bernardine.houston@bikes.shop","(972) 530-5557","Houston, Bernardine","Bernardine Houston"
