CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name,UserName,Domain,IncomeLevel,BirthYear_CC,Current Age,Parent,FullName_CC,Customer Priority
11206,"Mr.","Blake","Flores",1948-09-24 00:00:00.000,"M","M","blake60@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Blake Flores","blake60","Adventure Works","Average",1948,74,"Yes","Mr. Blake Flores","Standard"
11214,"Mr.","Charles","Miller",1949-11-07 00:00:00.000,"S","M","charles9@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Charles Miller","charles9","Adventure Works","Average",1949,73,"Yes","Mr. Charles Miller","Standard"
11227,"Mr.","Marshall","Chavez",1951-08-12 00:00:00.000,"S","M","marshall35@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Marshall Chavez","marshall35","Adventure Works","Average",1951,71,"Yes","Mr. Marshall Chavez","Standard"
12093,"Mr.","Levi","Chandra",1948-11-08 00:00:00.000,"M","M","levi1@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Levi Chandra","levi1","Adventure Works","Average",1948,74,"Yes","Mr. Levi Chandra","Standard"
12097,"Mr.","Sean","Allen",1949-11-13 00:00:00.000,"S","M","sean49@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Sean Allen","sean49","Adventure Works","Average",1949,73,"Yes","Mr. Sean Allen","Standard"
12108,"Mr.","James","Walker",1950-02-23 00:00:00.000,"M","M","james96@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. James Walker","james96","Adventure Works","Average",1950,72,"Yes","Mr. James Walker","Standard"
12117,"Mr.","Cameron","Yang",1951-08-03 00:00:00.000,"M","M","cameron23@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Cameron Yang","cameron23","Adventure Works","Average",1951,71,"Yes","Mr. Cameron Yang","Standard"
12119,"Mr.","Keith","Raje",1951-06-01 00:00:00.000,"M","M","keith17@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Keith Raje","keith17","Adventure Works","Average",1951,71,"Yes","Mr. Keith Raje","Standard"
13233,"Mr.","Richard","Coleman",1948-12-05 00:00:00.000,"M","M","richard61@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Richard Coleman","richard61","Adventure Works","Average",1948,74,"Yes","Mr. Richard Coleman","Standard"
13234,"Mr.","Robert","Lewis",1948-08-22 00:00:00.000,"S","M","robert81@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Robert Lewis","robert81","Adventure Works","Average",1948,74,"Yes","Mr. Robert Lewis","Standard"
13235,"Mr.","Jonathan","Robinson",1948-09-22 00:00:00.000,"M","M","jonathan72@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Jonathan Robinson","jonathan72","Adventure Works","Average",1948,74,"Yes","Mr. Jonathan Robinson","Standard"
13236,"Mr.","Robert","Wang",1948-05-25 00:00:00.000,"M","M","robert36@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Robert Wang","robert36","Adventure Works","Average",1948,74,"Yes","Mr. Robert Wang","Standard"
13245,"Mr.","Angel","Scott",1951-06-24 00:00:00.000,"M","M","angel38@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Angel Scott","angel38","Adventure Works","Average",1951,71,"Yes","Mr. Angel Scott","Standard"
13370,"Mr.","Blake","Ross",1948-03-22 00:00:00.000,"M","M","blake51@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Blake Ross","blake51","Adventure Works","Average",1948,74,"Yes","Mr. Blake Ross","Standard"
13372,"Mr.","Isaac","Edwards",1948-11-28 00:00:00.000,"M","M","isaac24@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Isaac Edwards","isaac24","Adventure Works","Average",1948,74,"Yes","Mr. Isaac Edwards","Standard"
13374,"Mr.","Marco","Martinez",1948-05-20 00:00:00.000,"M","M","marco18@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Marco Martinez","marco18","Adventure Works","Average",1948,74,"Yes","Mr. Marco Martinez","Standard"
13375,"Mr.","Jason","Kumar",1948-04-11 00:00:00.000,"M","M","jason26@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Jason Kumar","jason26","Adventure Works","Average",1948,74,"Yes","Mr. Jason Kumar","Standard"
13376,"Mr.","Jerry","Rai",1948-09-03 00:00:00.000,"M","M","jerry19@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Jerry Rai","jerry19","Adventure Works","Average",1948,74,"Yes","Mr. Jerry Rai","Standard"
13384,"Mr.","Mario","Ashe",1950-10-25 00:00:00.000,"S","M","mario21@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Mario Ashe","mario21","Adventure Works","Average",1950,72,"Yes","Mr. Mario Ashe","Standard"
13386,"Mr.","Samuel","Patterson",1950-01-26 00:00:00.000,"M","M","samuel9@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Samuel Patterson","samuel9","Adventure Works","Average",1950,72,"Yes","Mr. Samuel Patterson","Standard"
13388,"Mr.","Marshall","Shen",1950-06-13 00:00:00.000,"S","M","marshall23@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Marshall Shen","marshall23","Adventure Works","Average",1950,72,"Yes","Mr. Marshall Shen","Standard"
13397,"Mr.","Adam","Mitchell",1951-04-08 00:00:00.000,"M","M","adam41@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Adam Mitchell","adam41","Adventure Works","Average",1951,71,"Yes","Mr. Adam Mitchell","Standard"
13399,"Mr.","Edward","Young",1951-03-21 00:00:00.000,"M","M","edward47@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Edward Young","edward47","Adventure Works","Average",1951,71,"Yes","Mr. Edward Young","Standard"
14401,"Mr.","Jose","Kumar",1949-03-09 00:00:00.000,"M","M","jose22@adventure-works.com",60000,2,"Partial College","Professional","N","Mr. Jose Kumar","jose22","Adventure Works","Average",1949,73,"Yes","Mr. Jose Kumar","Standard"
14405,"Mr.","Dylan","Walker",1950-06-01 00:00:00.000,"M","M","dylan53@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Dylan Walker","dylan53","Adventure Works","Average",1950,72,"Yes","Mr. Dylan Walker","Standard"
14407,"Mr.","Thomas","Bryant",1950-06-04 00:00:00.000,"M","M","thomas20@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. Thomas Bryant","thomas20","Adventure Works","Average",1950,72,"Yes","Mr. Thomas Bryant","Standard"
14415,"Mr.","William","Davis",1951-11-16 00:00:00.000,"M","M","william21@adventure-works.com",60000,2,"Partial College","Professional","Y","Mr. William Davis","william21","Adventure Works","Average",1951,71,"Yes","Mr. William Davis","Standard"
