CustomerKey,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name,user name,Target Customer,birth year,age
22760,1948-10-04 00:00:00.000,"M","M","hunter20@adventure-works.com",60000,2,"Partial College","Professional","N","MR. HUNTER CHEN","hunter20","yes",1948,74
13399,1951-03-21 00:00:00.000,"M","M","edward47@adventure-works.com",60000,2,"Partial College","Professional","N","MR. EDWARD YOUNG","edward47","yes",1951,71
13386,1950-01-26 00:00:00.000,"M","M","samuel9@adventure-works.com",60000,2,"Partial College","Professional","N","MR. SAMUEL PATTERSON","samuel9","yes",1950,72
23726,1950-06-13 00:00:00.000,"M","M","darrell13@adventure-works.com",60000,2,"Partial College","Professional","N","MR. DARRELL XIE","darrell13","yes",1950,72
23721,1949-07-23 00:00:00.000,"M","M","john43@adventure-works.com",60000,2,"Partial College","Professional","N","MR. JOHN CLARK","john43","yes",1949,73
28040,1949-02-22 00:00:00.000,"M","M","jack47@adventure-works.com",60000,2,"Partial College","Professional","N","MR. JACK MITCHELL","jack47","yes",1949,73
19876,1950-06-13 00:00:00.000,"M","M","nathan31@adventure-works.com",60000,2,"Partial College","Professional","N","MR. NATHAN EDWARDS","nathan31","yes",1950,72
12119,1951-06-01 00:00:00.000,"M","M","keith17@adventure-works.com",60000,2,"Partial College","Professional","N","MR. KEITH RAJE","keith17","yes",1951,71
15898,1949-05-01 00:00:00.000,"M","M","isaiah32@adventure-works.com",60000,2,"Partial College","Professional","N","MR. ISAIAH GONZALEZ","isaiah32","yes",1949,73
15907,1951-04-18 00:00:00.000,"M","M","steven25@adventure-works.com",60000,2,"Partial College","Professional","N","MR. STEVEN BAILEY","steven25","yes",1951,71
16803,1949-07-21 00:00:00.000,"M","M","marcus80@adventure-works.com",60000,2,"Partial College","Professional","N","MR. MARCUS PETERSON","marcus80","yes",1949,73
16797,1948-11-18 00:00:00.000,"M","M","evan21@adventure-works.com",60000,2,"Partial College","Professional","N","MR. EVAN REED","evan21","yes",1948,74
13245,1951-06-24 00:00:00.000,"M","M","angel38@adventure-works.com",60000,2,"Partial College","Professional","N","MR. ANGEL SCOTT","angel38","yes",1951,71
21485,1949-02-15 00:00:00.000,"M","M","brandon49@adventure-works.com",60000,2,"Partial College","Professional","N","MR. BRANDON CLARK","brandon49","yes",1949,73
14401,1949-03-09 00:00:00.000,"M","M","jose22@adventure-works.com",60000,2,"Partial College","Professional","N","MR. JOSE KUMAR","jose22","yes",1949,73
13374,1948-05-20 00:00:00.000,"M","M","marco18@adventure-works.com",60000,2,"Partial College","Professional","N","MR. MARCO MARTINEZ","marco18","yes",1948,74
17144,1948-02-20 00:00:00.000,"M","M","luis20@adventure-works.com",60000,2,"Partial College","Professional","Y","MR. LUIS GRIFFIN","luis20","yes",1948,74
17149,1949-04-22 00:00:00.000,"M","M","steven19@adventure-works.com",60000,2,"Partial College","Professional","Y","MR. STEVEN RICHARDSON","steven19","yes",1949,73
25876,1948-06-02 00:00:00.000,"M","M","noah46@adventure-works.com",60000,2,"Partial College","Professional","Y","MR. NOAH KING","noah46","yes",1948,74
