CustomerKey,GeographyKey,CustomerAlternateKey,Title,First Name,Middle Name,Last Name,Name Style,Birth Date,Marital Status,Suffix,Gender,Email Address,Yearly Income,Total Children,Number Children At Home,English Education,Spanish Education,French Education,English Occupation,Spanish Occupation,French Occupation,House Owner Flag,Number Cars Owned,Address Line 1,Address Line 2,Phone,Date First Purchase,Commute Distance,Full Name,Customer Age,Age,Age Breakdown,Date of Most Recent Purchase,Customer Lifetime,Customer Status
11602,135,"AW00011602","","Larry","","Gill",False,1977-04-13 00:00:00.000,"S","","M","larry16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Am Gallberg 645","","1 (11) 500 555-0125",2008-01-11 00:00:00.000,"2-5 Miles","Larry Gill",45,45,"45-54",2008-01-11 00:00:00.000,0,"Active"
11603,244,"AW00011603","","Geoffrey","","Gonzalez",False,1977-02-06 00:00:00.000,"S","","M","geoffrey16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1538 Golden Meadow","","1 (11) 500 555-0131",2006-07-21 00:00:00.000,"0-1 Miles","Geoffrey Gonzalez",45,45,"45-54",2008-04-10 00:00:00.000,21,"Active"
11610,269,"AW00011610","","Blake","","Collins",False,1975-04-23 00:00:00.000,"S","","M","blake47@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"4519 Lydia Lane","","1 (11) 500 555-0140",2006-07-13 00:00:00.000,"0-1 Miles","Blake Collins",47,47,"45-54",2008-05-04 00:00:00.000,22,"Active"
12517,133,"AW00012517","","Alexa","","Watson",False,1977-08-25 00:00:00.000,"S","","F","alexa0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Residenz Straße 98","","1 (11) 500 555-0191",2008-04-21 00:00:00.000,"2-5 Miles","Alexa Watson",45,44,"35-44",2008-04-21 00:00:00.000,0,"Active"
12518,161,"AW00012518","","Jacquelyn","","Dominguez",False,1977-09-27 00:00:00.000,"S","","F","jacquelyn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Werftstr 544","","1 (11) 500 555-0134",2008-02-02 00:00:00.000,"2-5 Miles","Jacquelyn Dominguez",45,44,"35-44",2008-02-02 00:00:00.000,0,"Active"
12519,265,"AW00012519","","Casey","","Gutierrez",False,1977-12-17 00:00:00.000,"S","","M","casey34@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"2035 Emmons Canyon Lane","","1 (11) 500 555-0115",2007-11-12 00:00:00.000,"0-1 Miles","Casey Gutierrez",45,44,"35-44",2008-07-15 00:00:00.000,8,"Active"
12714,157,"AW00012714","","Colleen","","Lu",False,1973-07-17 00:00:00.000,"S","","F","colleen11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Hüttenstr 20995","","1 (11) 500 555-0174",2008-01-20 00:00:00.000,"2-5 Miles","Colleen Lu",49,49,"45-54",2008-01-20 00:00:00.000,0,"Active"
12728,131,"AW00012728","","Jeremiah","","Stewart",False,1979-06-26 00:00:00.000,"S","","M","jeremiah44@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Alte Landstr 9902","","1 (11) 500 555-0129",2007-10-09 00:00:00.000,"1-2 Miles","Jeremiah Stewart",43,43,"35-44",2007-10-09 00:00:00.000,0,"Active"
12871,233,"AW00012871","","Leah","","Li",False,1976-10-06 00:00:00.000,"S","","F","leah2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9405 Curletto Dr.","","1 (11) 500 555-0122",2008-05-12 00:00:00.000,"2-5 Miles","Leah Li",46,45,"45-54",2008-07-24 00:00:00.000,2,"Active"
13671,173,"AW00013671","","Frank","","Ramos",False,1974-02-07 00:00:00.000,"S","","M","frank25@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Carlsplatz 43","","1 (11) 500 555-0146",2008-07-31 00:00:00.000,"1-2 Miles","Frank Ramos",48,48,"45-54",2008-07-31 00:00:00.000,0,"Active"
