CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,TotalChildren,EducationLevel,Occupation,HomeOwner,Annual Income,Full Name,Email Username,Email Domain,Age,BirthYear,IncomeLevel,BirthYear_CC,CurrentAge,Parent,FullName_CC
11206,"Mr.","Blake","Flores",1948-09-24 00:00:00.000,"M","M","blake60@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Blake Flores","blake60","adventure works",71,1948,"Average",1948,74,"Yes","Mr. Blake Flores"
11214,"Mr.","Charles","Miller",1949-11-07 00:00:00.000,"S","M","charles9@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Charles Miller","charles9","adventure works",69,1949,"Average",1949,73,"Yes","Mr. Charles Miller"
11227,"Mr.","Marshall","Chavez",1951-08-12 00:00:00.000,"S","M","marshall35@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Marshall Chavez","marshall35","adventure works",68,1951,"Average",1951,71,"Yes","Mr. Marshall Chavez"
12093,"Mr.","Levi","Chandra",1948-11-08 00:00:00.000,"M","M","levi1@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Levi Chandra","levi1","adventure works",70,1948,"Average",1948,74,"Yes","Mr. Levi Chandra"
12097,"Mr.","Sean","Allen",1949-11-13 00:00:00.000,"S","M","sean49@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Sean Allen","sean49","adventure works",69,1949,"Average",1949,73,"Yes","Mr. Sean Allen"
12108,"Mr.","James","Walker",1950-02-23 00:00:00.000,"M","M","james96@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. James Walker","james96","adventure works",69,1950,"Average",1950,72,"Yes","Mr. James Walker"
12117,"Mr.","Cameron","Yang",1951-08-03 00:00:00.000,"M","M","cameron23@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Cameron Yang","cameron23","adventure works",68,1951,"Average",1951,71,"Yes","Mr. Cameron Yang"
12119,"Mr.","Keith","Raje",1951-06-01 00:00:00.000,"M","M","keith17@adventure-works.com",2,"Partial College","Professional","N",60000,"Mr. Keith Raje","keith17","adventure works",68,1951,"Average",1951,71,"Yes","Mr. Keith Raje"
13233,"Mr.","Richard","Coleman",1948-12-05 00:00:00.000,"M","M","richard61@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Richard Coleman","richard61","adventure works",70,1948,"Average",1948,74,"Yes","Mr. Richard Coleman"
13234,"Mr.","Robert","Lewis",1948-08-22 00:00:00.000,"S","M","robert81@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Robert Lewis","robert81","adventure works",71,1948,"Average",1948,74,"Yes","Mr. Robert Lewis"
13235,"Mr.","Jonathan","Robinson",1948-09-22 00:00:00.000,"M","M","jonathan72@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Jonathan Robinson","jonathan72","adventure works",71,1948,"Average",1948,74,"Yes","Mr. Jonathan Robinson"
13236,"Mr.","Robert","Wang",1948-05-25 00:00:00.000,"M","M","robert36@adventure-works.com",2,"Partial College","Professional","Y",60000,"Mr. Robert Wang","robert36","adventure works",71,1948,"Average",1948,74,"Yes","Mr. Robert Wang"
13245,"Mr.","Angel","Scott",1951-06-24 00:00:00.000,"M","M","angel38@adventure-works.com",2,"Partial College","Professional","N",60000,"Mr. Angel Scott","angel38","adventure works",68,1951,"Average",1951,71,"Yes","Mr. Angel Scott"
