CustomerKey,Name,MaritalStatus,Gender
11000,"Jon Yang","MARRIED","MALE"
11002,"Ruben Torres","MARRIED","MALE"
11007,"Marco Mehta","MARRIED","MALE"
11011,"Curtis Lu","MARRIED","MALE"
11013,"Ian Jenkins","MARRIED","MALE"
11016,"Wyatt Hill","MARRIED","MALE"
11022,"Ethan Zhang","MARRIED","MALE"
11023,"Seth Edwards","MARRIED","MALE"
11024,"Russell Xie","MARRIED","MALE"
11025,"Alejandro Beck","MARRIED","MALE"
11027,"Jessie Zhao","MARRIED","MALE"
11029,"Jimmy Moreno","MARRIED","MALE"
11033,"Jaime Nath","MARRIED","MALE"
11039,"Marc Martin","MARRIED","MALE"
11040,"Jesse Murphy","MARRIED","MALE"
11043,"Nathan Simmons","MARRIED","MALE"
11044,"Adam Flores","MARRIED","MALE"
11048,"Jeremy Powell","MARRIED","MALE"
11050,"Alan Zheng","MARRIED","MALE"
11055,"Gilbert Raje","MARRIED","MALE"
11057,"Carl Andersen","MARRIED","MALE"
11058,"Marc Diaz","MARRIED","MALE"
11060,"Jon Zhou","MARRIED","MALE"
11061,"Todd Gao","MARRIED","MALE"
11062,"Noah Powell","MARRIED","MALE"
11064,"Chase Reed","MARRIED","MALE"
11070,"Willie Raji","MARRIED","MALE"
11080,"Damien Chander","MARRIED","MALE"
11086,"Ryan Brown","MARRIED","MALE"
11088,"Hunter Davis","MARRIED","MALE"
11091,"Dalton Perez","MARRIED","MALE"
11096,"Andrés Anand","MARRIED","MALE"
11097,"Edwin Nara","MARRIED","MALE"
11099,"Adam Ross","MARRIED","MALE"
11104,"Edgar Sara","MARRIED","MALE"
11110,"Curtis Yang","MARRIED","MALE"
11113,"Micheal Blanco","MARRIED","MALE"
11115,"Alvin Cai","MARRIED","MALE"
11116,"Clinton Carlson","MARRIED","MALE"
11121,"Orlando Suarez","MARRIED","MALE"
11122,"Byron Vazquez","MARRIED","MALE"
11123,"Philip Alvarez","MARRIED","MALE"
11126,"Shaun Carson","MARRIED","MALE"
11143,"Jonathan Henderson","MARRIED","MALE"
11147,"Ernest Wu","MARRIED","MALE"
11148,"Ross Vazquez","MARRIED","MALE"
11149,"Theodore Gill","MARRIED","MALE"
11163,"Gabriel Wang","MARRIED","MALE"
11169,"Bryce Richardson","MARRIED","MALE"
11174,"Nicholas Robinson","MARRIED","MALE"
11176,"Mason Roberts","MARRIED","MALE"
11177,"Jose Flores","MARRIED","MALE"
11178,"Nathan Johnson","MARRIED","MALE"
11181,"Devin Martin","MARRIED","MALE"
11190,"Carson Bryant","MARRIED","MALE"
11192,"James Brown","MARRIED","MALE"
11193,"Ian Gray","MARRIED","MALE"
11196,"Alfredo Romero","MARRIED","MALE"
11200,"Jason Griffin","MARRIED","MALE"
11203,"Luis Diaz","MARRIED","MALE"
11206,"Blake Flores","MARRIED","MALE"
11210,"Edward Wood","MARRIED","MALE"
11219,"Charles Cook","MARRIED","MALE"
11221,"Nathan Perry","MARRIED","MALE"
11231,"Dennis Zhang","MARRIED","MALE"
11233,"Todd Li","MARRIED","MALE"
11235,"Angel Stewart","MARRIED","MALE"
11242,"Larry Munoz","MARRIED","MALE"
11245,"Ricky Vazquez","MARRIED","MALE"
11248,"Tristan Alexander","MARRIED","MALE"
11253,"José Hernandez","MARRIED","MALE"
11254,"Johnathan Vance","MARRIED","MALE"
11255,"Colin Lin","MARRIED","MALE"
11258,"Xavier Hill","MARRIED","MALE"
11269,"Ryan Foster","MARRIED","MALE"
11270,"Robert Lee","MARRIED","MALE"
11273,"Nathan Lal","MARRIED","MALE"
11274,"Kyle Foster","MARRIED","MALE"
11277,"Charles Jackson","MARRIED","MALE"
11280,"Robert Collins","MARRIED","MALE"
11282,"Christian Thomas","MARRIED","MALE"
11283,"Arturo Lal","MARRIED","MALE"
11285,"Jeremy Anderson","MARRIED","MALE"
11286,"Hunter Griffin","MARRIED","MALE"
11287,"Henry Garcia","MARRIED","MALE"
11294,"Dalton Clark","MARRIED","MALE"
11298,"Jon Luo","MARRIED","MALE"
11299,"Orlando Vazquez","MARRIED","MALE"
11300,"Fernando Barnes","MARRIED","MALE"
11301,"Cameron Rodriguez","MARRIED","MALE"
11305,"Sean Evans","MARRIED","MALE"
11306,"Micah Zhou","MARRIED","MALE"
11307,"Hunter Rodriguez","MARRIED","MALE"
11308,"Ian Gonzales","MARRIED","MALE"
11316,"Luke Allen","MARRIED","MALE"
11321,"Terrance Raman","MARRIED","MALE"
11324,"Zachary Anderson","MARRIED","MALE"
11326,"Rafael Xie","MARRIED","MALE"
11327,"Jaime Moreno","MARRIED","MALE"
11328,"Julian Griffin","MARRIED","MALE"
11330,"Ryan Thompson","MARRIED","MALE"
11336,"Shaun Raji","MARRIED","MALE"
11337,"Jerome Romero","MARRIED","MALE"
11338,"Frank Navarro","MARRIED","MALE"
11341,"Randy Zeng","MARRIED","MALE"
11342,"Marshall Wang","MARRIED","MALE"
11343,"Arthur Carlson","MARRIED","MALE"
11347,"Roy Navarro","MARRIED","MALE"
11348,"Shawn Rai","MARRIED","MALE"
11352,"Raymond Rodriguez","MARRIED","MALE"
11355,"Roberto Gutierrez","MARRIED","MALE"
11362,"Damien Shan","MARRIED","MALE"
11367,"Calvin Nara","MARRIED","MALE"
11375,"Francisco Martinez","MARRIED","MALE"
11377,"David Robinett","MARRIED","MALE"
11379,"Gary Vazquez","MARRIED","MALE"
11382,"Edward Patterson","MARRIED","MALE"
11388,"Joseph Martin","MARRIED","MALE"
11396,"Ian Lopez","MARRIED","MALE"
11407,"Mario She","MARRIED","MALE"
11408,"Darren Gill","MARRIED","MALE"
11410,"Maurice Goel","MARRIED","MALE"
11411,"Devin Ross","MARRIED","MALE"
11419,"Kyle Scott","MARRIED","MALE"
11420,"Jordan Turner","MARRIED","MALE"
11422,"Dustin Deng","MARRIED","MALE"
11426,"Kristopher Mehta","MARRIED","MALE"
11429,"Marco Lopez","MARRIED","MALE"
11431,"Bryant Garcia","MARRIED","MALE"
11433,"Maurice Shan","MARRIED","MALE"
11434,"Andre Lopez","MARRIED","MALE"
11437,"Alfredo Moreno","MARRIED","MALE"
11440,"Sergio Weber","MARRIED","MALE"
11442,"Joseph Harris","MARRIED","MALE"
11449,"Alvin Hu","MARRIED","MALE"
11455,"Ross Sanz","MARRIED","MALE"
11456,"Jon Gao","MARRIED","MALE"
11464,"Alejandro Huang","MARRIED","MALE"
11465,"Louis Luo","MARRIED","MALE"
11466,"Grant Tang","MARRIED","MALE"
11467,"Arturo Zheng","MARRIED","MALE"
11479,"Darryl Wu","MARRIED","MALE"
11483,"Calvin Chande","MARRIED","MALE"
11485,"Donald Chandra","MARRIED","MALE"
11491,"Andre Perez","MARRIED","MALE"
11503,"Dennis Wu","MARRIED","MALE"
11510,"Seth Roberts","MARRIED","MALE"
11511,"Caleb Perry","MARRIED","MALE"
11514,"Dalton Diaz","MARRIED","MALE"
11518,"Edward Washington","MARRIED","MALE"
11519,"Jerome Navarro","MARRIED","MALE"
11522,"Christian Hughes","MARRIED","MALE"
11523,"Lucas Taylor","MARRIED","MALE"
11529,"Austin Bryant","MARRIED","MALE"
11530,"Andrew Martinez","MARRIED","MALE"
11535,"Devin Nelson","MARRIED","MALE"
11536,"Logan Chow","MARRIED","MALE"
11537,"Dakota Ross","MARRIED","MALE"
11539,"Justin Washington","MARRIED","MALE"
11544,"Joel Garcia","MARRIED","MALE"
11545,"Reginald Dominguez","MARRIED","MALE"
11556,"Lucas Evans","MARRIED","MALE"
11562,"Jarrod Gonzalez","MARRIED","MALE"
11569,"Troy Malhotra","MARRIED","MALE"
11571,"Joel Sai","MARRIED","MALE"
11572,"Billy Moreno","MARRIED","MALE"
11576,"Micah Zhu","MARRIED","MALE"
11580,"Melvin Raje","MARRIED","MALE"
