CustomerKey,GeographyKey,CustomerAlternateKey,Title,First Name,MiddleName,Last Name,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11602,135,"AW00011602","","Larry","","Gill",False,1982-10-11 00:00:00.000,"S","","M","larry16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Am Gallberg 645","","1 (11) 500 555-0125",2013-07-10 00:00:00.000,"2-5 Miles"
11603,244,"AW00011603","","Geoffrey","","Gonzalez",False,1982-08-06 00:00:00.000,"S","","M","geoffrey16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1538 Golden Meadow","","1 (11) 500 555-0131",2012-01-18 00:00:00.000,"0-1 Miles"
11610,269,"AW00011610","","Blake","","Collins",False,1980-10-20 00:00:00.000,"S","","M","blake47@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"4519 Lydia Lane","","1 (11) 500 555-0140",2012-01-10 00:00:00.000,"0-1 Miles"
12517,133,"AW00012517","","Alexa","","Watson",False,1983-02-22 00:00:00.000,"S","","F","alexa0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Residenz Straße 98","","1 (11) 500 555-0191",2013-10-19 00:00:00.000,"2-5 Miles"
12518,161,"AW00012518","","Jacquelyn","","Dominguez",False,1983-03-27 00:00:00.000,"S","","F","jacquelyn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Werftstr 544","","1 (11) 500 555-0134",2013-08-01 00:00:00.000,"2-5 Miles"
12519,265,"AW00012519","","Casey","","Gutierrez",False,1983-06-16 00:00:00.000,"S","","M","casey34@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"2035 Emmons Canyon Lane","","1 (11) 500 555-0115",2013-05-11 00:00:00.000,"0-1 Miles"
12714,157,"AW00012714","","Colleen","","Lu",False,1979-01-14 00:00:00.000,"S","","F","colleen11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Hüttenstr 20995","","1 (11) 500 555-0174",2013-07-19 00:00:00.000,"2-5 Miles"
12728,131,"AW00012728","","Jeremiah","","Stewart",False,1984-12-23 00:00:00.000,"S","","M","jeremiah44@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Alte Landstr 9902","","1 (11) 500 555-0129",2013-04-07 00:00:00.000,"1-2 Miles"
12871,233,"AW00012871","","Leah","","Li",False,1982-04-05 00:00:00.000,"S","","F","leah2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9405 Curletto Dr.","","1 (11) 500 555-0122",2013-11-09 00:00:00.000,"2-5 Miles"
13671,173,"AW00013671","","Frank","","Ramos",False,1979-08-07 00:00:00.000,"S","","M","frank25@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Carlsplatz 43","","1 (11) 500 555-0146",2014-01-28 00:00:00.000,"1-2 Miles"
13826,127,"AW00013826","","Candice","","He",False,1983-05-25 00:00:00.000,"S","","F","candice2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Rotthäuser Weg 100","","1 (11) 500 555-0114",2013-11-06 00:00:00.000,"0-1 Miles"
13830,237,"AW00013830","","Andrea","","Cox",False,1983-01-31 00:00:00.000,"S","","F","andrea11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1318 Pinehurst Court","","1 (11) 500 555-0136",2013-12-11 00:00:00.000,"2-5 Miles"
13838,263,"AW00013838","","Jill","","Rubio",False,1981-12-25 00:00:00.000,"S","","F","jill29@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1153 Loma Linda","","1 (11) 500 555-0160",2013-09-11 00:00:00.000,"2-5 Miles"
14838,121,"AW00014838","","Darren","","Alvarez",False,1983-01-23 00:00:00.000,"S","","M","darren26@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Kappellweg 242","","1 (11) 500 555-0133",2011-11-15 00:00:00.000,"0-1 Miles"
14839,238,"AW00014839","","Natasha","","Sanz",False,1982-11-15 00:00:00.000,"S","","F","natasha20@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"8489 Seaview Ave.","","1 (11) 500 555-0115",2013-06-01 00:00:00.000,"2-5 Miles"
14840,277,"AW00014840","","Autumn","","Zhu",False,1983-04-22 00:00:00.000,"S","","F","autumn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"5115 Meadowbrook Court","","1 (11) 500 555-0193",2013-02-21 00:00:00.000,"2-5 Miles"
14848,186,"AW00014848","","George","","Louverdis",False,1981-03-09 00:00:00.000,"S","","M","george5@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Attaché de Presse","","1 (11) 500 555-0171",2012-05-11 00:00:00.000,"2-5 Miles"
14849,142,"AW00014849","","Dwayne","","Martin",False,1981-04-10 00:00:00.000,"S","","M","dwayne0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Zollhof 6678","","1 (11) 500 555-0191",2013-04-01 00:00:00.000,"0-1 Miles"
14991,272,"AW00014991","","Edwin","","Zhao",False,1981-08-25 00:00:00.000,"S","","M","edwin11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"973 Broadway Street","","1 (11) 500 555-0135",2011-07-19 00:00:00.000,"0-1 Miles"
16317,263,"AW00016317","","Joel","","Raman",False,1983-03-23 00:00:00.000,"S","","M","joel11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9546 Cardinal Ct.","","1 (11) 500 555-0178",2012-02-17 00:00:00.000,"0-1 Miles"
