customerkey,nome,sobrenome,nome_completo,genero,primeira_compra,Cidade
11400,"Franklin","Raji","Franklin Raji","Male",2018-07-15 00:00:00.000,"London"
11408,"Darren","Gill","Darren Gill","Male",2020-03-05 00:00:00.000,"London"
11475,"Cesar","Subram","Cesar Subram","Male",2020-04-23 00:00:00.000,"London"
11488,"Jermaine","Lopez","Jermaine Lopez","Male",2018-10-28 00:00:00.000,"London"
11491,"Andre","Perez","Andre Perez","Male",2018-11-07 00:00:00.000,"London"
11563,"Cesar","Srini","Cesar Srini","Male",2020-07-05 00:00:00.000,"London"
11603,"Geoffrey","Gonzalez","Geoffrey Gonzalez","Male",2019-01-18 00:00:00.000,"London"
12210,"Alan","He","Alan He","Male",2019-03-15 00:00:00.000,"London"
12233,"Jerry","Yuan","Jerry Yuan","Male",2021-01-17 00:00:00.000,"London"
12239,"Alberto","Ramos","Alberto Ramos","Male",2019-03-23 00:00:00.000,"London"
12271,"Tyrone","Hernandez","Tyrone Hernandez","Male",2019-04-11 00:00:00.000,"London"
12294,"Shane","Kovar","Shane Kovar","Male",2020-05-22 00:00:00.000,"London"
12304,"Alejandro","Zhou","Alejandro Zhou","Male",2020-09-02 00:00:00.000,"London"
12311,"Stanley","Weber","Stanley Weber","Male",2020-09-17 00:00:00.000,"London"
12316,"Alejandro","Luo","Alejandro Luo","Male",2019-05-30 00:00:00.000,"London"
12328,"Eugene","Zhao","Eugene Zhao","Male",2019-06-04 00:00:00.000,"London"
12334,"Roy","Jimenez","Roy Jimenez","Male",2020-06-13 00:00:00.000,"London"
12381,"Johnny","Lal","Johnny Lal","Male",2019-06-19 00:00:00.000,"London"
12402,"Albert","Moreno","Albert Moreno","Male",2019-06-08 00:00:00.000,"London"
12551,"Julio","Ramos","Julio Ramos","Male",2020-08-09 00:00:00.000,"London"
12559,"Emmanuel","Lopez","Emmanuel Lopez","Male",2019-07-23 00:00:00.000,"London"
12564,"Marshall","Yang","Marshall Yang","Male",2020-03-07 00:00:00.000,"London"
12566,"Omar","Yang","Omar Yang","Male",2020-05-31 00:00:00.000,"London"
12595,"Mathew","Blanco","Mathew Blanco","Male",2020-03-08 00:00:00.000,"London"
12602,"Francisco","Srini","Francisco Srini","Male",2020-02-20 00:00:00.000,"London"
12622,"Micheal","Rubio","Micheal Rubio","Male",2019-08-19 00:00:00.000,"London"
12634,"Derrick","Ruiz","Derrick Ruiz","Male",2019-08-29 00:00:00.000,"London"
12637,"Leonard","Nath","Leonard Nath","Male",2019-09-08 00:00:00.000,"London"
13404,"Kelvin","Yang","Kelvin Yang","Male",2019-12-16 00:00:00.000,"London"
13516,"Harold","Ray","Harold Ray","Male",2020-07-22 00:00:00.000,"London"
13517,"Nicolas","Sharma","Nicolas Sharma","Male",2019-12-22 00:00:00.000,"London"
13539,"Roger","Guo","Roger Guo","Male",2020-08-05 00:00:00.000,"London"
13561,"Gary","Navarro","Gary Navarro","Male",2019-11-29 00:00:00.000,"London"
13604,"Nuan","Zheng","Nuan Zheng","Male",2020-10-10 00:00:00.000,"London"
13609,"Ramon","Yang","Ramon Yang","Male",2020-08-07 00:00:00.000,"London"
13675,"Stanley","Sai","Stanley Sai","Male",2020-06-16 00:00:00.000,"London"
13693,"Dominic","Gonzalez","Dominic Gonzalez","Male",2018-02-18 00:00:00.000,"London"
13765,"Jaime","Shen","Jaime Shen","Male",2018-03-02 00:00:00.000,"London"
13777,"Manuel","Perez","Manuel Perez","Male",2018-03-26 00:00:00.000,"London"
13785,"Clayton","She","Clayton She","Male",2020-04-29 00:00:00.000,"London"
13820,"Danny","Alvarez","Danny Alvarez","Male",2018-03-28 00:00:00.000,"London"
14156,"Preston","Gonzalez","Preston Gonzalez","Male",2020-02-10 00:00:00.000,"London"
14157,"Willie","Xu","Willie Xu","Male",2018-04-10 00:00:00.000,"London"
14195,"Clinton","Blanco","Clinton Blanco","Male",2018-04-22 00:00:00.000,"London"
14427,"Emmanuel","Patel","Emmanuel Patel","Male",2018-04-06 00:00:00.000,"London"
14540,"Randy","Lin","Randy Lin","Male",2020-03-09 00:00:00.000,"London"
14697,"Nelson","Jimenez","Nelson Jimenez","Male",2018-05-29 00:00:00.000,"London"
14712,"Eugene","Liu","Eugene Liu","Male",2018-05-20 00:00:00.000,"London"
14776,"Ronald","Arthur","Ronald Arthur","Male",2018-06-22 00:00:00.000,"London"
14793,"Clayton","Nath","Clayton Nath","Male",2018-06-08 00:00:00.000,"London"
