SalespersonKey,Salesperson,Supervisor,Manager
265,"Julio Lima","Diogo Carvalho","Gabriel Azevedo"
144,"Felipe Goncalves","Sofia Ribeiro","Gabriel Azevedo"
215,"Carla Ferreira","Diego Araujo","Victor Castro"
196,"Leonardo Cardoso","Diego Araujo","Victor Castro"
125,"Gustavo Gomes","Diogo Carvalho","Gabriel Azevedo"
183,"Isabella Sousa","Emily Rocha","Victor Castro"
102,"Gustavo Barros","Emily Rocha","Victor Castro"
669,"Kaua Araujo","Fernando Silva","Victor Castro"
285,"Mateus Costa","Sofia Ribeiro","Gabriel Azevedo"
326,"Julia Silva","Sofia Ribeiro","Gabriel Azevedo"
194,"Estevan Souza","Diogo Carvalho","Gabriel Azevedo"
660,"Julieta Gomes","Emily Rocha","Victor Castro"
