EmployeeKey,Employee Last Name,Employee Name,Employee Email Address,Employee Department,Employee Gender,Employee Marital Status,Employee Title,Employee Phone,Employee Login ID,Current Flag,Salaried Flag,Employee Status,Employee Sales Territory Country,Employee Sales Territory Group,Employee Sales Territory Region,ParentEmployeeKey,Employee Manager Last Name,Employee Manager Name,Employee Base Rate,Employee Alternate Key,Employee Hire Date,Employee Pay Frequency,Employee Vacation Hours,Employee Row Start Date,Employee Row End Date
12,"Johnson","Barry Johnson","barry0@adventure-works.com","Production","M","S","Production Technician - WC10","206-555-0180","adventure-works\barry0","Current","Not Salaried","Active","NA","NA","NA",189,"Hill","Andrew Hill",13.45,"912265825",2007-08-07 00:00:00.000,1,88,2007-08-07 00:00:00.000,
17,"Ford","Jeffrey Ford","jeffrey0@adventure-works.com","Production","M","S","Production Technician - WC10","984-555-0185","adventure-works\jeffrey0","Current","Not Salaried","Active","NA","NA","NA",189,"Hill","Andrew Hill",13.45,"132674823",2007-09-20 00:00:00.000,1,85,2007-09-20 00:00:00.000,
24,"Munson","Stuart Munson","stuart0@adventure-works.com","Production","M","S","Production Technician - WC45","413-555-0136","adventure-works\stuart0","Current","Not Salaried","Active","NA","NA","NA",201,"Kane","Lori Kane",10,"835460180",2008-07-02 00:00:00.000,1,84,2008-07-02 00:00:00.000,
25,"Alderson","Greg Alderson","greg0@adventure-works.com","Production","M","S","Production Technician - WC45","332-555-0150","adventure-works\greg0","Current","Not Salaried","Active","NA","NA","NA",201,"Kane","Lori Kane",10,"687685941",2008-07-02 00:00:00.000,1,85,2008-07-02 00:00:00.000,
26,"Johnson","David Johnson","david1@adventure-works.com","Production","M","S","Production Technician - WC30","166-555-0162","adventure-works\david1","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"498138869",2008-07-02 00:00:00.000,1,25,2008-07-02 00:00:00.000,
29,"Komosinski","Paul Komosinski","paul0@adventure-works.com","Production","M","S","Production Technician - WC40","147-555-0160","adventure-works\paul0","Current","Not Salaried","Active","NA","NA","NA",89,"Hamilton","David Hamilton",15,"384162788",2008-07-04 00:00:00.000,1,68,2008-07-04 00:00:00.000,
33,"McGuel","Alejandro McGuel","alejandro0@adventure-works.com","Production","M","S","Production Technician - WC40","668-555-0130","adventure-works\alejandro0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"761597760",2008-07-06 00:00:00.000,1,52,2008-07-06 00:00:00.000,
34,"Young","Garrett Young","garrett0@adventure-works.com","Production","M","S","Production Technician - WC30","609-555-0179","adventure-works\garrett0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"271438431",2008-07-07 00:00:00.000,1,34,2008-07-07 00:00:00.000,
35,"Wang","Jian Shuo Wang","jianshuo0@adventure-works.com","Production","M","S","Production Technician - WC30","952-555-0178","adventure-works\jianshuo0","Current","Not Salaried","Active","NA","NA","NA",138,"Randall","Cynthia Randall",9.5,"160739235",2008-07-07 00:00:00.000,1,36,2008-07-07 00:00:00.000,
39,"Rapier","Simon Rapier","simon0@adventure-works.com","Production","M","S","Production Technician - WC60","963-555-0134","adventure-works\simon0","Current","Not Salaried","Active","NA","NA","NA",9,"Dobney","JoLynn Dobney",12.45,"276751903",2008-07-08 00:00:00.000,1,38,2008-07-08 00:00:00.000,
41,"Hines","Michael Hines","michael0@adventure-works.com","Production","M","S","Production Technician - WC20","218-555-0126","adventure-works\michael0","Current","Not Salaried","Active","NA","NA","NA",186,"McAskill-White","Katie McAskill-White",14,"545337468",2008-07-09 00:00:00.000,1,20,2008-07-09 00:00:00.000,
47,"Northup","Fred Northup","fred0@adventure-works.com","Production","M","S","Production Technician - WC40","818-555-0192","adventure-works\fred0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"295971920",2008-07-12 00:00:00.000,1,47,2008-07-12 00:00:00.000,
