SalespersonKey,Salesperson,Supervisor,Manager,SalespersonPhoto
265,"Julio Lima","Diogo Carvalho","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/729/full/265-julio-lima.png"
102,"Gustavo Barros","Emily Rocha","Victor Castro","https://uploaddeimagens.com.br/images/002/602/718/original/102-gustavo-barros.png"
144,"Felipe Goncalves","Sofia Ribeiro","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/709/full/144-felipe-goncalves.png"
125,"Gustavo Gomes","Diogo Carvalho","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/719/original/125-gustavo-gomes.png"
215,"Carla Ferreira","Diego Araujo","Victor Castro","https://uploaddeimagens.com.br/images/002/602/728/full/215-carla-ferreira.png"
196,"Leonardo Cardoso","Diego Araujo","Victor Castro","https://uploaddeimagens.com.br/images/002/602/727/full/196-leonardo-cardoso.png"
183,"Isabella Sousa","Emily Rocha","Victor Castro","https://uploaddeimagens.com.br/images/002/602/720/full/183-izabella-souza.png"
194,"Estevan Souza","Diogo Carvalho","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/723/full/194-estevan-souza.png"
669,"Kaua Araujo","Fernando Silva","Victor Castro","https://uploaddeimagens.com.br/images/002/602/740/full/669-kaua-araujo.png"
285,"Mateus Costa","Sofia Ribeiro","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/732/full/285-mateus-costa.png"
326,"Julia Silva","Sofia Ribeiro","Gabriel Azevedo","https://uploaddeimagens.com.br/images/002/602/734/full/326-julia-silva.png"
660,"Julieta Gomes","Emily Rocha","Victor Castro","https://uploaddeimagens.com.br/images/002/602/737/full/660-julieta-gomes.png"
