InvoiceID,OrderID,StoreID,RewardPointsAdded,PaymentType,PaymentDate,BillingAmount,CurrencyType,BillingAddress,CardDetails,DiscountProvided
1,1,1001,5,"card",2020-11-30 00:00:00.000,160,"USD",62,"************1234",25
2,3,1001,4,"card",2020-11-30 00:00:00.000,94.67,"USD",63,"************1235",71
3,4,1001,4,"card",2020-11-30 00:00:00.000,64.245,"USD",64,"************1236",64.245
4,5,1001,4,"card",2020-11-30 00:00:00.000,107.75,"USD",65,"************1236",24.99
5,6,1001,4,"card",2020-11-30 00:00:00.000,90.5,"USD",66,"************1236",90.5
6,7,1001,2,"cash",2020-11-30 00:00:00.000,129.95,"USD",67,"",75
7,8,1002,5,"cash",2020-11-30 00:00:00.000,83.67,"USD",68,"",0
8,9,1002,8,"cash",2020-11-30 00:00:00.000,61.98,"USD",69,"",0
9,10,1002,8,"card",2020-11-30 00:00:00.000,129.91,"USD",70,"************1256",0
10,11,1002,6,"card",2020-11-30 00:00:00.000,60,"USD",71,"************4828",0
15,12,1001,6,"card",2020-12-02 00:00:00.000,30,"USD",74,"************3628",30
16,13,1001,6,"cash",2020-12-02 00:00:00.000,60,"USD",75,"",60
18,16,1001,4,"cash",2020-12-02 00:00:00.000,84,"USD",76,"",84
19,18,1002,5,"cash",2020-12-02 00:00:00.000,60,"USD",77,"",0
20,20,1002,6,"cash",2020-12-02 00:00:00.000,75,"USD",78,"",0
21,21,1001,6,"card",2020-12-02 00:00:00.000,25,"USD",79,"************1578",25
22,22,1001,9,"card",2020-12-02 00:00:00.000,62.475,"USD",80,"************1569",62.475
