AddressID,AddressLine1,AddressLine2,City,State,Zipcode,AddressType
1,"4116  Christie Way","","Boston","Massachusetts","2110","Store Address"
2,"2951  Metz Lane","","Boston","Massachusetts","2215","Store Address"
3,"1589  Aspen Court","","Cambridge","Massachusetts","2138","Store Address"
4,"3453  Delaware Avenue","","San Francisco","California","94104","Store Address"
5,"1981  Pinnickinick Street","","Seattle","Washington","98119","Store Address"
6,"373  Hinkle Lake Road","","New York City","New York","2110","Store Address"
7,"3480  Blair Court","","Edina","Missouri","63537","Store Address"
8,"2168  Callison Lane","","Orlando","Florida","40107","Store Address"
9,"2550  East Avenue","","Phoenix","Arizona","85003","Store Address"
10,"3727  Poplar Street","","Chicago","Illinois","60631","Store Address"
11,"1730 H St.","","Fresno","California","93718","Home"
12,"7700 Forsyth","","St Louis","Montana","63105","Home"
13,"4221 W Sierra Madre #104","","Washington","Iowa","52353","Home"
14,"Ohio Valley Litho Division","Location #0470","Cincinnati","Ohio","45264","Home"
15,"PO Box 61000","","San Francisco","California","94161","Home"
16,"1033 N Sycamore Ave.","","Los Angeles","California","90038","Home"
17,"2709 Water Ridge Parkway","","Charlotte","North Carolina","28217","Home"
18,"12790 Arrive St","","Philadelphia","Pennslyvania","19170","Home"
19,"722 E Olive Ave.","","Inglewood","California","90312","Home"
20,"4 Cornwall Dr Ste 102","","East Brunswick","New Jersey","8816","Home"
21,"PO Box 845361","","Dallas","Texas","75284","Home"
22,"3648  Benedum Drive","Apt 789","White Plains","New York","10601","Shipping"
23,"3224  Bee Street","","Mc Bain","Michigan","49657","Shipping"
24,"111  Eagle Lane","","Erskine","Minnesota","56535","Shipping"
25,"1219  Newton Street","Apt 1009","Maple","Texas","79344","Shipping"
26,"1817  Davis Lane","Apt 20","Centennial","Colorado","80112","Shipping/Billing"
27,"2204  Stout Street","","Burlington","Indiana","46915","Shipping"
28,"3221  Franklin Street","","Montgomery","Alabama","36104","Shipping/Billing"
29,"264  Roosevelt Wilson Lane","","Ontario","California","91762","Shipping"
30,"2284  Rosebud Avenue","S100","Fort LauderDale","Florida","33330","Shipping"
31,"2315  James Avenue","","Syracuse","New York","13202","Shipping"
32,"2534  Thorn Street","","Midwest","Wyoming","82643","Home"
33,"3994  Tavern Place","","Williamson","West Virginia","25661","Home"
34,"508  Reeves Street","","Hilbert","Wisconsin","54129","Home"
35,"663  Marion Street","S#181","Newbury","Vermont","5051","Home"
36,"1139  Lang Avenue","Unit#123","Snowville","Utah","84336","Home"
37,"4258  Mapleview Drive","","Memphis","Tennessee","38110","Home"
38,"3331  Mattson Street","Apt 788","Salem","Oregon","97301","Home"
39,"4538  Simpson Square","","Elmer","Oklahoma","73539","Home"
40,"133  Eagle Lane","Unit#120","Avon","Connecticut","6001","Home"
41,"1110  Hide A Way Road","S18","Aiea","Hawaii","96701","Home"
42,"2780  Veltri Drive","Unit#67","Anchorage","Alaska","99503","Home"
43,"1264  Rosebud Avenue","Apt 81","Wilmar","Arkansas","71675","Home"
44,"530  Argonne Street","","New Castle","Delaware","19720","Home"
45,"652  Clousson Road","","Everly","Iowa","51338","Home"
46,"180  Young Road","S#12","Boise","Idaho","83702","Home"
47,"3784  Roguski Road","","Monroe","Louisiana","71201","Home"
48,"2612  Chapmans Lane","","DHS","Maryland","20588","Home"
49,"28  Pinewood Avenue","Apt 901","Powers","Michigan","49874","Home"
50,"2790  Coolidge Street","","Elmo","Montana","59915","Home"
51,"4365  Eastland Avenue","","Jackson","Mississippi","39206","Home"
52,"4650  Vesta Drive","","Chicago","Illinois","60637","Home"
53,"3426  George Street","","Ocala","Florida","34471","Home"
54,"2360  Leroy Lane","","Milo","Missouri","89990","Home"
55,"627  Kenwood Place","","Fort LauderDale","Florida","33301","Home"
56,"2563  Nuzum Court","","Buffalo","New York","14214","Home"
57,"1990  Cabell Avenue","","Washington","Virginia","20008","Home"
58,"4824  Hornor Avenue","","Tulsa","Oklahoma","74119","Home"
59,"2441  Lang Avenue","","East Saint Louis","Illinois","62207","Home"
60,"23715  Massachusetts Avenue","","Washington","Washington DC","20200","Home"
61,"2966  Fraggle Drive","","Hickory Hills","Illinois","60457","Home"
62,"3644  Bassel Street","","Bayou Vista","Louisiana","70392","Billing"
63,"4039  Wiseman Street","","Sevierville","Tennessee","37862","Billing"
64,"206  Timber Ridge Road","","Elk Grove","California","95624","Billing"
