EmployeeID,LoginID,FirstName,LastName,Gender,PersonalEmail,DateOfBirth,DateOfHire,Salary,AddressID,RoleID,PhoneNumber,StoreID
9,"emp1@gmail.com","John","Doe","M","johndoe@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,10000,32,1,"675-678-8768",1001
11,"emp3@gmail.com","Ubi","Bal","M","ubid@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,9000,34,3,"671-618-1268",1001
12,"emp4@gmail.com","Sai","Kal","F","saik@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,9000,35,4,"661-618-1268",1001
13,"emp5@gmail.com","Sam","jal","M","samJ@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,36,2,"661-618-1268",1007
14,"emp6@gmail.com","Sandy","jalli","M","sandyJ@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,37,6,"661-618-0068",1001
15,"emp7@gmail.com","Jolly","Ball","F","jollyB@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,38,7,"611-628-0068",1001
16,"emp8@gmail.com","guila","demis","F","guiD@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,39,8,"611-628-0018",1001
17,"emp9@gmail.com","Husai","dell","M","dellH@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,40,2,"611-628-1268",1009
18,"emp10@gmail.com","Sally","Levito","F","sallyL@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,39,2,"601-608-0018",1010
19,"emp11@gmail.com","Kelly","Kulera","F","KellyK@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,9000,41,1,"611-608-0018",1002
20,"emp12@gmail.com","Jai","Khambata","M","JaiK@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,9000,42,1,"655-608-0018",1003
21,"emp13@gmail.com","Sara","ALi","F","SaraA@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,9000,43,2,"625-608-0018",1002
22,"emp14@gmail.com","Denis","Hali","M","DenisH@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,10000,44,5,"611-608-0018",1001
23,"emp15@gmail.com","Caroline","Fox","F","CarolF@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,10000,45,2,"618-608-0018",1006
24,"emp16@gmail.com","Vijey","Rom","M","vjrom@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,7000,45,3,"618-128-0018",1002
25,"emp17@gmail.com","Kamoty","Roxi","M","CamotyR@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,7000,46,2,"618-608-0118",1003
26,"emp18@gmail.com","Kal","Bugi","M","KalBu@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,12000,47,2,"618-118-0118",1001
27,"emp19@gmail.com","Juili","Bani","F","JuiB@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,48,6,"618-128-0118",1002
28,"emp20@gmail.com","Kalam","Kali","F","KalK@gmail.com",1993-04-23 00:00:00.000,2019-08-23 00:00:00.000,8000,49,4,"618-128-2318",1002
30,"emp21@gmail.com","Andy","Cock","M","AndyC@gmail.com",1989-09-20 00:00:00.000,2015-11-21 00:00:00.000,11000,50,2,"648-108-2318",1004
31,"emp22@gmail.com","Jani","Rehamn","F","JanR@gmail.com",1990-08-21 00:00:00.000,2017-11-21 00:00:00.000,11000,51,2,"678-108-2118",1005
