customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Full Name
381,"Female",99,1996-11-30 00:00:00.000,"Sales Associate","No industry category","Affluent Customer","N","No",1,"Leesa Castleman"
158,"Male",99,1984-09-03 00:00:00.000,"Internal Auditor","No industry category","Affluent Customer","N","No",5,"Hamlin Odams"
1282,"Male",99,1980-11-15 00:00:00.000,"Programmer Analyst III","Entertainment","Affluent Customer","N","Yes",14,"Garald Pidler"
3968,"Female",99,1977-12-22 00:00:00.000,"No job title","Property","High Net Worth","N","No",22,"Alexandra Kroch"
1048,"Male",99,1976-06-08 00:00:00.000,"Internal Auditor","No industry category","Affluent Customer","N","No",15,"Braden Lamming"
173,"Female",99,1997-01-02 00:00:00.000,"General Manager","Health","Affluent Customer","N","No",1,"Ebba Hanselmann"
2013,"Female",99,1995-08-10 00:00:00.000,"Registered Nurse","Health","Affluent Customer","N","Yes",19,"Marge Girault"
11,"Male",99,1954-04-30 00:00:00.000,"No job title","Property","Mass Customer","N","No",9,"Uriah Bisatt"
2870,"Male",99,1957-12-26 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",11,"Aldis Chazerand"
758,"Female",99,1967-04-07 00:00:00.000,"No job title","Manufacturing","High Net Worth","N","Yes",11,"Teena Birrel"
1457,"Female",99,1978-08-20 00:00:00.000,"Speech Pathologist","No industry category","Affluent Customer","N","Yes",12,"Leonore Slixby"
182,"Male",99,1992-11-20 00:00:00.000,"Sales Associate","Financial Services","Affluent Customer","N","Yes",7,"Lydon Dahlman"
794,"Male",99,1955-05-12 00:00:00.000,"Compensation Analyst","Financial Services","Affluent Customer","N","Yes",16,"Scott Ommundsen"
1132,"Female",99,1985-08-01 00:00:00.000,"Actuary","Financial Services","Affluent Customer","N","Yes",9,"Coriss Darkott"
286,"Male",99,1989-08-01 00:00:00.000,"Accounting Assistant II","Manufacturing","Affluent Customer","N","Yes",11,"Kiley Canaan"
2057,"Female",99,1959-10-04 00:00:00.000,"Accounting Assistant IV","Manufacturing","Affluent Customer","N","Yes",15,"Elianora Sally"
3992,"Male",99,1980-04-02 00:00:00.000,"Database Administrator IV","Manufacturing","Affluent Customer","N","Yes",18,"Germain Tireman"
2472,"Male",99,1989-06-02 00:00:00.000,"Product Engineer","Health","High Net Worth","N","Yes",16,"Mathias Element"
3323,"Male",99,1973-03-01 00:00:00.000,"Account Representative I","Health","High Net Worth","N","No",8,"Cortie Hamshar"
3778,"Male",99,1971-06-09 00:00:00.000,"Dental Hygienist","Health","High Net Worth","N","No",10,"Ilaire Redborn"
3990,"Male",99,1998-03-05 00:00:00.000,"Desktop Support Technician","Health","High Net Worth","N","No",1,"Reynard Hagger"
2332,"Male",99,1977-04-20 00:00:00.000,"Developer III","Property","High Net Worth","N","Yes",10,"Jeff Goodere"
2058,"Female",99,1978-02-04 00:00:00.000,"Database Administrator I","Argiculture","High Net Worth","N","No",7,"Ronna Wickersham"
3347,"Male",99,1985-11-08 00:00:00.000,"Computer Systems Analyst II","Entertainment","High Net Worth","N","Yes",18,"Nichols No Last name"
2031,"Male",99,1987-01-21 00:00:00.000,"Geologist III","No industry category","Mass Customer","N","No",12,"Philbert Albone"
3878,"Male",99,1978-02-24 00:00:00.000,"Programmer III","No industry category","Mass Customer","N","No",9,"Waldon Digges"
561,"Female",99,1977-08-15 00:00:00.000,"Tax Accountant","No industry category","Mass Customer","N","No",12,"Karin Burkill"
