customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Full Name
4,"Male",33,1961-10-03 00:00:00.000,"No job title","IT","Mass Customer","N","No",7,"Talbot No Last name"
11,"Male",99,1954-04-30 00:00:00.000,"No job title","Property","Mass Customer","N","No",9,"Uriah Bisatt"
22,"Female",79,1962-12-10 00:00:00.000,"No job title","IT","Mass Customer","N","No",11,"Deeanne Durtnell"
52,"Male",57,1988-06-22 00:00:00.000,"No job title","Financial Services","Mass Customer","N","Yes",13,"Curran Bentson"
60,"Female",18,1970-02-04 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","No",10,"Nadiya Champerlen"
62,"Female",38,1979-07-06 00:00:00.000,"No job title","IT","Mass Customer","N","Yes",22,"Sorcha Roggers"
74,"Female",94,1969-06-19 00:00:00.000,"No job title","No industry category","Mass Customer","N","Yes",6,"Pansy Kiddie"
161,"Male",49,1976-01-21 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",16,"Tadd Bloss"
185,"Male",80,1979-12-13 00:00:00.000,"No job title","Property","Mass Customer","N","Yes",13,"Crosby Walcot"
207,"Female",9,1994-08-10 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",7,"Adena Whyman"
276,"Female",47,1990-03-25 00:00:00.000,"No job title","Financial Services","Mass Customer","N","No",22,"Goldi Dwine"
302,"Female",32,1977-03-27 00:00:00.000,"No job title","Health","Mass Customer","N","No",13,"Laurice Colgrave"
319,"Female",32,1971-10-11 00:00:00.000,"No job title","Retail","Mass Customer","N","Yes",14,"Madelle Matteris"
338,"Female",33,1958-03-14 00:00:00.000,"No job title","Health","Mass Customer","N","No",19,"Hilliary Littrell"
340,"Male",39,1973-07-31 00:00:00.000,"No job title","Argiculture","Mass Customer","N","Yes",17,"Joshuah Purvey"
388,"Female",53,1966-05-25 00:00:00.000,"No job title","Financial Services","Mass Customer","N","Yes",11,"Carlye Bartle"
391,"Male",80,1970-03-25 00:00:00.000,"No job title","Argiculture","Mass Customer","N","No",16,"Duffie Woodier"
418,"Female",56,1958-12-22 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",6,"Jere Ding"
434,"Male",93,1995-12-01 00:00:00.000,"No job title","Financial Services","Mass Customer","N","Yes",19,"Raff Waadenburg"
442,"Male",2,2001-10-06 00:00:00.000,"No job title","Financial Services","Mass Customer","N","No",1,"Linc Vedyasov"
464,"Female",32,1958-03-23 00:00:00.000,"No job title","No industry category","Mass Customer","N","Yes",10,"Karel Dimelow"
479,"Female",11,1994-08-04 00:00:00.000,"No job title","IT","Mass Customer","N","Yes",4,"Blythe Keighley"
482,"Male",33,1962-12-19 00:00:00.000,"No job title","Health","Mass Customer","N","No",20,"Gar Wallis"
497,"Female",96,1974-01-09 00:00:00.000,"No job title","Property","Mass Customer","N","Yes",11,"Allissa Brinklow"
507,"Female",98,1971-07-05 00:00:00.000,"No job title","Health","Mass Customer","N","No",7,"Gwen Jakubczyk"
510,"Female",61,1992-06-15 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",2,"Sheilah Blackmore"
519,"Male",83,2000-04-07 00:00:00.000,"No job title","No industry category","Mass Customer","N","Yes",1,"Rabi Nissle"
550,"Female",16,1976-07-10 00:00:00.000,"No job title","Retail","Mass Customer","N","No",15,"Emeline Jorioz"
577,"Female",41,1956-04-08 00:00:00.000,"No job title","Property","Mass Customer","N","Yes",19,"Nadean Fielding"
614,"Female",45,1995-09-12 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","Yes",11,"Nonnah Johns"
622,"Male",18,1968-10-18 00:00:00.000,"No job title","Financial Services","Mass Customer","N","No",17,"Arri Lamden"
671,"Male",49,1984-07-25 00:00:00.000,"No job title","Argiculture","Mass Customer","N","No",5,"Aristotle Vanni"
683,"Male",60,1962-05-16 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","Yes",10,"Brennan Gagen"
700,"Male",67,1990-02-20 00:00:00.000,"No job title","Financial Services","Mass Customer","N","No",4,"Josias Mulliner"
703,"Female",66,1966-10-31 00:00:00.000,"No job title","Property","Mass Customer","N","No",15,"Ethelda No Last name"
712,"Female",22,1961-05-20 00:00:00.000,"No job title","IT","Mass Customer","N","No",14,"Norine Antonik"
731,"Female",57,1969-12-04 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",6,"Lorenza Cawthorne"
733,"Male",25,1973-11-30 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","No",13,"Ham Mayoh"
738,"Female",51,1984-12-08 00:00:00.000,"No job title","Argiculture","Mass Customer","N","Yes",9,"Bunnie Whines"
741,"Female",16,1979-02-15 00:00:00.000,"No job title","No industry category","Mass Customer","N","No",11,"Cristionna Mapes"
745,"Female",84,1978-03-22 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","Yes",13,"Dotty Maylott"
766,"Female",16,1975-04-22 00:00:00.000,"No job title","Retail","Mass Customer","N","Yes",14,"Nonna Hun"
812,"Female",1,1989-09-22 00:00:00.000,"No job title","Financial Services","Mass Customer","N","No",16,"Coral Dunkirk"
815,"Female",47,1974-07-06 00:00:00.000,"No job title","Manufacturing","Mass Customer","N","Yes",22,"Caryn Sampey"
