ManagerID,FirstName,LastName,Birthdate,PhoneNumber,PassportNumber,FullName
1,"Gerty","Cuseck",1986-11-18 00:00:00.000,"(229) 3070689","562-98-3659","Gerty Cuseck"
2,"Sheela","Tarbath",1988-05-07 00:00:00.000,"(839) 1791910","815-76-0311","Sheela Tarbath"
3,"Antony","Tacon",1996-12-16 00:00:00.000,"(805) 5722461","706-63-5422","Antony Tacon"
4,"Rodolph","Dalgleish",1986-08-03 00:00:00.000,"(527) 8880438","751-06-0033","Rodolph Dalgleish"
5,"Caren","Bristoe",1995-09-24 00:00:00.000,"(386) 6046727","854-39-0506","Caren Bristoe"
6,"Olav","Terbeek",1995-06-16 00:00:00.000,"(936) 7023811","507-03-7278","Olav Terbeek"
7,"Spike","France",1991-05-25 00:00:00.000,"(221) 1763127","829-05-0908","Spike France"
8,"Patsy","Kedward",1994-07-16 00:00:00.000,"(659) 7906460","209-40-9447","Patsy Kedward"
9,"Miner","Cucuzza",1994-03-10 00:00:00.000,"(232) 4587586","692-63-4307","Miner Cucuzza"
10,"Kalindi","Missen",1991-06-07 00:00:00.000,"(511) 5531807","668-10-8512","Kalindi Missen"
11,"Thaine","Antrack",1995-09-04 00:00:00.000,"(801) 8258747","431-85-6874","Thaine Antrack"
12,"Salmon","Exroll",1995-09-30 00:00:00.000,"(142) 4359424","594-87-9962","Salmon Exroll"
13,"Morgan","Bramwich",1984-08-08 00:00:00.000,"(777) 6156115","407-60-8663","Morgan Bramwich"
14,"Cyrus","Joyson",1994-03-02 00:00:00.000,"(954) 1683975","246-20-3050","Cyrus Joyson"
15,"Udale","Summerton",1992-01-17 00:00:00.000,"(919) 2056827","784-95-5543","Udale Summerton"
16,"Caro","Kopacek",1997-04-29 00:00:00.000,"(399) 9852457","207-73-8431","Caro Kopacek"
17,"Felicia","Mcimmie",1987-12-17 00:00:00.000,"(201) 5309670","494-25-2554","Felicia Mcimmie"
18,"Sigrid","Otham",1995-02-15 00:00:00.000,"(319) 8115251","780-89-3592","Sigrid Otham"
19,"Toby","Joerning",1984-07-26 00:00:00.000,"(219) 2244587","176-72-7063","Toby Joerning"
20,"Mead","Wythe",1984-01-17 00:00:00.000,"(978) 7537546","539-12-2627","Mead Wythe"
21,"Llewellyn","Tosspell",1988-06-24 00:00:00.000,"(406) 6121916","282-52-2813","Llewellyn Tosspell"
22,"Toma","Lamberth",1988-08-25 00:00:00.000,"(847) 6811996","245-71-4701","Toma Lamberth"
23,"Franchot","Willimot",1985-02-01 00:00:00.000,"(303) 8896865","733-88-5011","Franchot Willimot"
24,"Iosep","Stuck",1985-06-24 00:00:00.000,"(853) 9905071","100-61-9007","Iosep Stuck"
25,"Babara","Grayson",1988-09-03 00:00:00.000,"(745) 5888885","344-56-3025","Babara Grayson"
26,"Buddy","Lamartine",1997-02-05 00:00:00.000,"(703) 1933973","878-55-8652","Buddy Lamartine"
27,"Templeton","Bloodworth",1990-05-25 00:00:00.000,"(318) 7797773","722-19-9090","Templeton Bloodworth"
28,"Ricard","Gatenby",1996-06-27 00:00:00.000,"(404) 9281971","117-43-0913","Ricard Gatenby"
29,"Arel","Pinchbeck",1987-11-25 00:00:00.000,"(805) 9165912","246-80-4316","Arel Pinchbeck"
30,"Bryn","Johns",1983-05-24 00:00:00.000,"(812) 9323461","887-20-9960","Bryn Johns"
