Customer Name,State,Profit Margins
Aaron Carr,Connecticut,49.00%
Aaron Carr,Florida,26.97%
Aaron Carr,New York,38.96%
Aaron Cruz,Connecticut,24.01%
Aaron Cruz,Florida,31.49%
Aaron Cruz,Massachusetts,37.01%
Aaron Cruz,North Carolina,46.05%
Aaron Cruz,Virginia,24.97%
Aaron Day,Connecticut,18.02%
Aaron Day,Florida,37.80%
Aaron Day,Maryland,31.97%
Aaron Day,New York,40.17%
Aaron Day,North Carolina,40.00%
Aaron Johnson,Florida,37.60%
Aaron Johnson,North Carolina,36.02%
Aaron Johnson,South Carolina,47.06%
Aaron Johnson,Virginia,24.01%
Aaron Miller,Florida,47.06%
Aaron Miller,Georgia,23.02%
Aaron Miller,Massachusetts,46.01%
Aaron Miller,New York,31.46%
Aaron Miller,North Carolina,31.97%
Aaron Mills,Connecticut,21.69%
Aaron Mills,Florida,17.99%
Aaron Mills,New Jersey,36.02%
Aaron Mills,New York,38.24%
Aaron Mills,North Carolina,31.99%
Aaron Mills,Virginia,46.05%
Aaron Moreno,Florida,28.10%
Aaron Moreno,New Jersey,40.00%
Aaron Moreno,New York,47.55%
Aaron Tucker,Connecticut,24.01%
Aaron Tucker,Georgia,33.99%
Aaron Tucker,Maryland,28.96%
Aaron Tucker,Massachusetts,28.00%
Aaron Tucker,New York,37.05%
Aaron Tucker,South Carolina,31.99%
Aaron Tucker,Virginia,28.18%
Adam Alexander,Florida,19.01%
Adam Alexander,New York,36.24%
Adam Alexander,North Carolina,37.80%
Adam Alexander,Virginia,41.04%
Adam Bailey,Connecticut,49.00%
Adam Bailey,Florida,24.01%
Adam Bailey,New York,49.00%
Adam Bailey,South Carolina,26.99%
Adam Duncan,Connecticut,26.99%
Adam Duncan,Florida,26.54%
Adam Duncan,Virginia,40.00%
Adam Hernandez,Connecticut,36.04%
Adam Hernandez,Florida,24.54%
Adam Hernandez,New Jersey,32.03%
Adam Hernandez,New York,49.00%
Adam Hunter,Florida,31.44%
Adam Hunter,Georgia,22.02%
Adam Hunter,New Jersey,28.96%
Adam Jenkins,Florida,37.01%
Adam Jenkins,Georgia,35.83%
Adam Jenkins,New York,37.16%
Adam Jenkins,North Carolina,35.01%
Adam Mccoy,Connecticut,28.98%
Adam Mccoy,Florida,27.80%
Adam Mccoy,Georgia,28.00%
Adam Mccoy,New Hampshire,37.01%
Adam Mccoy,North Carolina,41.04%
Adam Mccoy,South Carolina,49.00%
Adam Mccoy,Virginia,24.01%
Adam Mcdonald,Florida,29.78%
Adam Mcdonald,Georgia,46.05%
Adam Mcdonald,New York,28.00%
Adam Myers,New York,35.64%
Adam Myers,Virginia,23.02%
Adam Riley,Florida,26.99%
Adam Riley,Maryland,24.01%
Adam Riley,New York,32.91%
Adam Riley,North Carolina,18.02%
Adam Thompson,Florida,35.47%
Adam Thompson,Maryland,28.96%
Adam Thompson,New York,28.98%
Adam Thompson,Virginia,28.00%
Adam Wheeler,Connecticut,46.01%
Adam Wheeler,Florida,31.97%
Adam Wheeler,Georgia,49.00%
Adam Wheeler,New York,28.00%
Adam Wheeler,Virginia,38.96%
Adam White,Florida,28.96%
Adam White,New York,36.02%
Adam White,North Carolina,44.99%
Alan Gomez,Florida,28.96%
Alan Gomez,Georgia,39.93%
Alan Gomez,New York,31.67%
Alan Green,North Carolina,38.96%
Alan Green,Virginia,28.98%
Alan Miller,Florida,28.98%
Alan Miller,Massachusetts,46.05%
Alan Miller,Rhode Island,31.99%
Alan Parker,Florida,31.95%
Alan Parker,Massachusetts,29.11%
Alan Parker,New Jersey,23.02%
Alan Perry,Connecticut,38.96%
Alan Perry,Florida,24.35%
Alan Perry,Georgia,49.00%
Alan Perry,Massachusetts,36.02%
Alan Perry,New Jersey,32.94%
Alan Scott,Connecticut,29.49%
Alan Scott,New York,40.33%
Alan Scott,North Carolina,41.04%
Alan Sims,Florida,26.55%
Alan Sims,Georgia,36.04%
