Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
19567,Low,0.07,35.99,5.99,2070,Kelly Collins,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory41,0.38,Central,Michigan,Eastpointe,48021,2010-11-16 00:00:00.000,2010-11-20 00:00:00.000,17.83980000000001,5,153.61,88558
18038,Critical,0.02,24.92,12.98,2655,Benjamin Lam,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Therm-A-Bind Covers,0.39,South,Georgia,Atlanta,30318,2011-12-28 00:00:00.000,2011-12-29 00:00:00.000,-16.2127,11,274.59,86067
18979,Medium,0.01,280.98,57.0,479,Tim Moore,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,0.78,East,New York,West Babylon,11704,2011-02-08 00:00:00.000,2011-02-09 00:00:00.000,-416.7,11,3074.12,87739
18479,High,0.05,4.91,0.5,2467,Ted Bell,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 508,0.36,South,North Carolina,Rocky Mount,27801,2011-05-20 00:00:00.000,2011-05-21 00:00:00.000,-31.472,11,54.39,88139
19176,High,0.0,7.77,9.23,1763,Lucy Levine,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,South,Florida,Deltona,32725,2012-03-22 00:00:00.000,2012-03-23 00:00:00.000,-17.806600000000003,10,83.3,89781
25776,Medium,0.01,20.24,8.99,1491,Katherine Mills,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"DAX Metal Frame, Desktop, Stepped-Edge",0.46,South,Florida,Palm Coast,32137,2013-03-07 00:00:00.000,2013-03-10 00:00:00.000,115.872,10,202.57,88012
19727,Critical,0.06,1938.02,13.99,3132,Anita Kang,Regular Air,Corporate,Technology,Office Machines,Medium Box,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,0.38,Central,Illinois,Mundelein,60060,2012-10-15 00:00:00.000,2012-10-17 00:00:00.000,4896.3688,6,11039.74,86801
23477,Low,0.01,152.48,4.0,347,Alexandra Lambert,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,0.79,East,New Jersey,Cliffside Park,7010,2013-10-28 00:00:00.000,2013-10-30 00:00:00.000,608.9,24,3622.93,88155
23542,High,0.09,60.98,49.0,860,Eugene Simmons,Regular Air,Small Business,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,0.59,East,Vermont,South Burlington,5403,2013-08-27 00:00:00.000,2013-08-29 00:00:00.000,-212.14840000000004,8,490.63,88576
24439,High,0.0,63.94,14.48,649,Roger Meyer,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,"Howard Miller 16"" Diameter Gallery Wall Clock",0.46,Central,Illinois,Buffalo Grove,60089,2013-05-07 00:00:00.000,2013-05-09 00:00:00.000,564.4268999999999,12,818.01,91370
