ID,Color Code,Work Location,Salesperson Name
"EMP1000","#9e2ee4","Connecticut","Jeffrey Carter"
"EMP1001","#c58cae","Hawaii","Raymond Andrews"
"EMP1002","#4f430a","Michigan","Julia Stewart"
"EMP1003","#de142e","Florida","Robert Peterson"
"EMP1004","#72579c","Idaho","Nancy Mason"
"EMP1005","#b1ff42","North Dakota","Chris Duncan"
"EMP1006","#e020a2","Alaska","Louise Stanley"
"EMP1007","#eb4082","Kansas","Ruby Hansen"
"EMP1008","#9a2a54","Nevada","Tina Castillo"
"EMP1009","#cd24aa","New Mexico","Russell Lawrence"
"EMP1010","#b6c87f","Tennessee","Angela Morgan"
"EMP1011","#afd7b7","Georgia","Anthony Robertson"
"EMP1012","#e72ca1","Arizona","Roger Cunningham"
"EMP1013","#a4ebad","Arkansas","Mildred Johnson"
"EMP1014","#d6b89f","Utah","Susan Hamilton"
"EMP1015","#b1f985","Oregon","Virginia Parker"
"EMP1016","#e1df4d","South Carolina","Donald Phillips"
"EMP1017","#a678d5","Alabama","Albert Wallace"
"EMP1018","#c8c819","New Hampshire","Kathleen Chavez"
"EMP1019","#b242a1","Massachusetts","Alice Perry"
"EMP1020","#2beeb5","Colorado","James Stone"
"EMP1021","#6310dc","Missouri","Pamela Olson"
"EMP1022","#f57172","West Virginia","Betty Payne"
"EMP1023","#5a7db2","Ohio","Ronald Howell"
"EMP1024","#f941f9","North Carolina","Karen Lane"
"EMP1025","#12257b","Maryland","Teresa Hall"
"EMP1026","#e73bb5","Kentucky","Mark Kennedy"
"EMP1027","#968fe5","New Jersey","Gregory Mendoza"
"EMP1028","#b1482b","District of Columbia","Tammy Simmons"
"EMP1029","#6f1a57","Illinois","Rose Ford"
"EMP1030","#f58305","New York","Jane Larson"
"EMP1031","#e24484","Wisconsin","Matthew Cook"
"EMP1032","#5a4f00","Iowa","Kelly Wells"
"EMP1033","#f52058","Pennsylvania","Theresa Nguyen"
"EMP1034","#f1aee9","Oklahoma","Benjamin Evans"
"EMP1035","#022e1b","California","Amanda Bryant"
"EMP1036","#a26527","Minnesota","Willie Turner"
"EMP1037","#4ccfb2","Indiana","Judy Palmer"
"EMP1038","#affd86","Louisiana","Louis Bishop"
"EMP1039","#9688bb","Mississippi","Janice Hernandez"
"EMP1040","#ab9513","Virginia","Robin Rose"
"EMP1041","#a53cd2","Delaware","Brandon Watkins"
"EMP1042","#d60b04","Washington","Christopher Lee"
"EMP1043","#486b44","Oregon","Katherine Reyes"
"EMP1044","#c36b3b","South Dakota","Laura Fowler"
