campusname,campusid,professorid,professorname,departmentid,departmentname,courseid,coursename
"North East Campus",200,500,"Jadon Ponce",1000,"Information Systems",6000,"Web Design"
"North East Campus",200,511,"Vinny Norton",1002,"Industrial Engineering",6000,"Web Design"
"West Campus",201,509,"Sumaiyah Herman",1009,"Regulatory Laws",6001,"Web Tools and Methods"
"West Campus",201,517,"Alara Rivera",1010,"Bioinformatics",6001,"Web Tools and Methods"
"West Campus",201,500,"Jadon Ponce",1000,"Information Systems",6002,"UX Design and Testing"
"North Campus",202,500,"Jadon Ponce",1000,"Information Systems",6002,"UX Design and Testing"
"East West Campus",205,500,"Jadon Ponce",1000,"Information Systems",6002,"UX Design and Testing"
"West Campus",201,506,"Shakir Goulding",1004,"Software Engineering",6002,"UX Design and Testing"
"North Campus",202,506,"Shakir Goulding",1004,"Software Engineering",6002,"UX Design and Testing"
"East West Campus",205,506,"Shakir Goulding",1004,"Software Engineering",6002,"UX Design and Testing"
"North Campus",202,503,"Jacob Porter",1001,"Data Analytics Engineering",6003,"Database Management and Design"
"South Campus",203,503,"Jacob Porter",1001,"Data Analytics Engineering",6003,"Database Management and Design"
"North West Campus",207,503,"Jacob Porter",1001,"Data Analytics Engineering",6003,"Database Management and Design"
"North Campus",202,514,"Ann Storey",1004,"Software Engineering",6003,"Database Management and Design"
"South Campus",203,514,"Ann Storey",1004,"Software Engineering",6003,"Database Management and Design"
"North West Campus",207,514,"Ann Storey",1004,"Software Engineering",6003,"Database Management and Design"
"North Campus",202,511,"Vinny Norton",1002,"Industrial Engineering",6004,"Design Patterns"
"South Campus",203,511,"Vinny Norton",1002,"Industrial Engineering",6004,"Design Patterns"
"Main Campus",204,511,"Vinny Norton",1002,"Industrial Engineering",6004,"Design Patterns"
"North West Campus",207,511,"Vinny Norton",1002,"Industrial Engineering",6004,"Design Patterns"
"Sister Campus",208,511,"Vinny Norton",1002,"Industrial Engineering",6004,"Design Patterns"
"North Campus",202,518,"Angela Weston",1008,"Health Informatics",6004,"Design Patterns"
"South Campus",203,518,"Angela Weston",1008,"Health Informatics",6004,"Design Patterns"
"Main Campus",204,518,"Angela Weston",1008,"Health Informatics",6004,"Design Patterns"
