StudentID,SectionID,AdvisorID,StudentName,Semester,Advisor.AdvisorID,Advisor.DepartmentID,Advisor.AdvisorName,Section.SectionID,Username
196,20,105,"lauana candozo",3,105,1006,"Rahim Contreras",20,"lauana candozo"
201,7,110,"laubestein canel",3,110,1009,"Riaz Baldwin",7,"laubestein canel"
202,14,119,"laubin canela",3,119,1009,"Elizabeth Kingston",14,"laubin canela"
203,20,114,"lauby caneles",3,114,1000,"King Loius",20,"lauby caneles"
205,11,114,"lauchlann canellas",3,114,1000,"King Loius",11,"lauchlann canellas"
206,2,108,"lauchlen canelo",3,108,1006,"Calum Ellwood",2,"lauchlen canelo"
207,1,103,"lauchlin canepa",3,103,1005,"Fletcher Barrett",1,"lauchlin canepa"
208,9,112,"lauchlyn canerday",3,112,1006,"Henry Lord",9,"lauchlyn canerday"
209,6,107,"lauchlyn-lee canes",3,107,1007,"Dione Jefferson",6,"lauchlyn-lee canes"
210,15,109,"lauchner canestraro",3,109,1008,"Sinead Coleman",15,"lauchner canestraro"
211,16,116,"laud canestrini",3,116,1007,"John Abraham",16,"laud canestrini"
217,18,108,"laudermilk jiminian",3,108,1006,"Calum Ellwood",18,"laudermilk jiminian"
222,6,112,"lauer jimmison",3,112,1006,"Henry Lord",6,"lauer jimmison"
223,13,101,"laufer jin",3,101,1000,"Giovanni Alford",13,"laufer jin"
224,8,113,"laufey jina",3,113,1008,"Harry Wes",8,"laufey jina"
226,2,113,"laughlin jindra",3,113,1008,"Harry Wes",2,"laughlin jindra"
227,17,102,"laughlin-jay jinenez",3,102,1000,"Milana Hagan",17,"laughlin-jay jinenez"
228,19,109,"laughlyn jines",3,109,1008,"Sinead Coleman",19,"laughlyn jines"
229,1,116,"laughry jing",3,116,1007,"John Abraham",1,"laughry jing"
230,7,106,"laughter jingst",3,106,1007,"Khalil Hilton",7,"laughter jingst"
231,3,108,"laughton jinkens",3,108,1006,"Calum Ellwood",3,"laughton jinkens"
232,18,115,"lauha jinkerson",3,115,1005,"Raymond Nash",18,"lauha jinkerson"
238,11,118,"launcelot jipp",3,118,1008,"Chethan Kumar",11,"launcelot jipp"
243,2,115,"launia jirasek",3,115,1005,"Raymond Nash",2,"launia jirasek"
244,16,120,"launie jirau",3,120,1010,"Aarti Mehta",16,"launie jirau"
245,4,119,"launius jirik",3,119,1009,"Elizabeth Kingston",4,"launius jirik"
247,20,107,"laura jiro",3,107,1007,"Dione Jefferson",20,"laura jiro"
248,18,112,"laura- jiron",3,112,1006,"Henry Lord",18,"laura- jiron"
249,9,103,"laura-ann jirsa",3,103,1005,"Fletcher Barrett",9,"laura-ann jirsa"
250,14,111,"laura-anne jisaan",3,111,1010,"Laura Richards",14,"laura-anne jisaan"
251,11,105,"monali jisan",3,105,1006,"Rahim Contreras",11,"monali jisan"
252,18,114,"monalisa jishan",3,114,1000,"King Loius",18,"monalisa jishan"
253,9,113,"monarrez jishant",3,113,1008,"Harry Wes",9,"monarrez jishant"
259,18,120,"monay jitendr",3,120,1010,"Aarti Mehta",18,"monay jitendr"
