CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,FullName
11602,135,"AW00011602","","Larry","","Gill",False,1982-10-11 00:00:00.000,"S","","M","larry16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Am Gallberg 645","","1 (11) 500 555-0125",2013-07-10 00:00:00.000,"2-5 Miles","Larry  Gill"
11603,244,"AW00011603","","Geoffrey","","Gonzalez",False,1982-08-06 00:00:00.000,"S","","M","geoffrey16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"1538 Golden Meadow","","1 (11) 500 555-0131",2012-01-18 00:00:00.000,"0-1 Miles","Geoffrey  Gonzalez"
11610,269,"AW00011610","","Blake","","Collins",False,1980-10-20 00:00:00.000,"S","","M","blake47@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"4519 Lydia Lane","","1 (11) 500 555-0140",2012-01-10 00:00:00.000,"0-1 Miles","Blake  Collins"
12517,133,"AW00012517","","Alexa","","Watson",False,1983-02-22 00:00:00.000,"S","","F","alexa0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Residenz Straße 98","","1 (11) 500 555-0191",2013-10-19 00:00:00.000,"2-5 Miles","Alexa  Watson"
12518,161,"AW00012518","","Jacquelyn","","Dominguez",False,1983-03-27 00:00:00.000,"S","","F","jacquelyn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Werftstr 544","","1 (11) 500 555-0134",2013-08-01 00:00:00.000,"2-5 Miles","Jacquelyn  Dominguez"
12519,265,"AW00012519","","Casey","","Gutierrez",False,1983-06-16 00:00:00.000,"S","","M","casey34@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"2035 Emmons Canyon Lane","","1 (11) 500 555-0115",2013-05-11 00:00:00.000,"0-1 Miles","Casey  Gutierrez"
12714,157,"AW00012714","","Colleen","","Lu",False,1979-01-14 00:00:00.000,"S","","F","colleen11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Hüttenstr 20995","","1 (11) 500 555-0174",2013-07-19 00:00:00.000,"2-5 Miles","Colleen  Lu"
12728,131,"AW00012728","","Jeremiah","","Stewart",False,1984-12-23 00:00:00.000,"S","","M","jeremiah44@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Alte Landstr 9902","","1 (11) 500 555-0129",2013-04-07 00:00:00.000,"1-2 Miles","Jeremiah  Stewart"
12871,233,"AW00012871","","Leah","","Li",False,1982-04-05 00:00:00.000,"S","","F","leah2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"9405 Curletto Dr.","","1 (11) 500 555-0122",2013-11-09 00:00:00.000,"2-5 Miles","Leah  Li"
13671,173,"AW00013671","","Frank","","Ramos",False,1979-08-07 00:00:00.000,"S","","M","frank25@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Carlsplatz 43","","1 (11) 500 555-0146",2014-01-28 00:00:00.000,"1-2 Miles","Frank  Ramos"
13826,127,"AW00013826","","Candice","","He",False,1983-05-25 00:00:00.000,"S","","F","candice2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Rotthäuser Weg 100","","1 (11) 500 555-0114",2013-11-06 00:00:00.000,"0-1 Miles","Candice  He"
13830,237,"AW00013830","","Andrea","","Cox",False,1983-01-31 00:00:00.000,"S","","F","andrea11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"1318 Pinehurst Court","","1 (11) 500 555-0136",2013-12-11 00:00:00.000,"2-5 Miles","Andrea  Cox"
13838,263,"AW00013838","","Jill","","Rubio",False,1981-12-25 00:00:00.000,"S","","F","jill29@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"1153 Loma Linda","","1 (11) 500 555-0160",2013-09-11 00:00:00.000,"2-5 Miles","Jill  Rubio"
14838,121,"AW00014838","","Darren","","Alvarez",False,1983-01-23 00:00:00.000,"S","","M","darren26@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0",1,"Kappellweg 242","","1 (11) 500 555-0133",2011-11-15 00:00:00.000,"0-1 Miles","Darren  Alvarez"
