Customer_ID,First_name,Last_name,Gender,Past_3_Years_Bike_Related_Purchases,DOB,Age,Job_title,Job_industry_category,Wealth_segment,Deceased_indicator,Owns_car,Tenure,Age_Group,Full_name
4,"Talbot","","Male",33,"03/10/1961",60,"N/A","IT","Mass Customer","N","No",7,"60-69","Talbot "
11,"Uriah","Bisatt","Male",99,"30/04/1954",67,"N/A","Property","Mass Customer","N","No",9,"60-69","Uriah Bisatt"
22,"Deeanne","Durtnell","Female",79,"10/12/1962",59,"N/A","IT","Mass Customer","N","No",11,"50-59","Deeanne Durtnell"
52,"Curran","Bentson","Male",57,"22/06/1988",33,"N/A","Financial Services","Mass Customer","N","Yes",13,"30-39","Curran Bentson"
60,"Nadiya","Champerlen","Female",18,"04/02/1970",52,"N/A","Manufacturing","Mass Customer","N","No",10,"50-59","Nadiya Champerlen"
62,"Sorcha","Roggers","Female",38,"06/07/1979",42,"N/A","IT","Mass Customer","N","Yes",22,"40-49","Sorcha Roggers"
74,"Pansy","Kiddie","Female",94,"19/06/1969",52,"N/A","N/A","Mass Customer","N","Yes",6,"50-59","Pansy Kiddie"
161,"Tadd","Bloss","Male",49,"21/01/1976",46,"N/A","N/A","Mass Customer","N","No",16,"40-49","Tadd Bloss"
185,"Crosby","Walcot","Male",80,"13/12/1979",42,"N/A","Property","Mass Customer","N","Yes",13,"40-49","Crosby Walcot"
207,"Adena","Whyman","Female",9,"10/08/1994",27,"N/A","N/A","Mass Customer","N","No",7,"20-29","Adena Whyman"
276,"Goldi","Dwine","Female",47,"25/03/1990",32,"N/A","Financial Services","Mass Customer","N","No",22,"30-39","Goldi Dwine"
302,"Laurice","Colgrave","Female",32,"27/03/1977",45,"N/A","Health","Mass Customer","N","No",13,"40-49","Laurice Colgrave"
319,"Madelle","Matteris","Female",32,"11/10/1971",50,"N/A","Retail","Mass Customer","N","Yes",14,"50-59","Madelle Matteris"
338,"Hilliary","Littrell","Female",33,"14/03/1958",64,"N/A","Health","Mass Customer","N","No",19,"60-69","Hilliary Littrell"
340,"Joshuah","Purvey","Male",39,"31/07/1973",48,"N/A","Argiculture","Mass Customer","N","Yes",17,"40-49","Joshuah Purvey"
388,"Carlye","Bartle","Female",53,"25/05/1966",55,"N/A","Financial Services","Mass Customer","N","Yes",11,"50-59","Carlye Bartle"
391,"Duffie","Woodier","Male",80,"25/03/1970",52,"N/A","Argiculture","Mass Customer","N","No",16,"50-59","Duffie Woodier"
418,"Jere","Ding","Female",56,"22/12/1958",63,"N/A","N/A","Mass Customer","N","No",6,"60-69","Jere Ding"
434,"Raff","Waadenburg","Male",93,"01/12/1995",26,"N/A","Financial Services","Mass Customer","N","Yes",19,"20-29","Raff Waadenburg"
442,"Linc","Vedyasov","Male",2,"06/10/2001",20,"N/A","Financial Services","Mass Customer","N","No",1,"20-29","Linc Vedyasov"
464,"Karel","Dimelow","Female",32,"23/03/1958",64,"N/A","N/A","Mass Customer","N","Yes",10,"60-69","Karel Dimelow"
479,"Blythe","Keighley","Female",11,"04/08/1994",27,"N/A","IT","Mass Customer","N","Yes",4,"20-29","Blythe Keighley"
482,"Gar","Wallis","Male",33,"19/12/1962",59,"N/A","Health","Mass Customer","N","No",20,"50-59","Gar Wallis"
497,"Allissa","Brinklow","Female",96,"09/01/1974",48,"N/A","Property","Mass Customer","N","Yes",11,"40-49","Allissa Brinklow"
507,"Gwen","Jakubczyk","Female",98,"05/07/1971",50,"N/A","Health","Mass Customer","N","No",7,"50-59","Gwen Jakubczyk"
510,"Sheilah","Blackmore","Female",61,"15/06/1992",29,"N/A","N/A","Mass Customer","N","No",2,"20-29","Sheilah Blackmore"
519,"Rabi","Nissle","Male",83,"07/04/2000",22,"N/A","N/A","Mass Customer","N","Yes",1,"20-29","Rabi Nissle"
550,"Emeline","Jorioz","Female",16,"10/07/1976",45,"N/A","Retail","Mass Customer","N","No",15,"40-49","Emeline Jorioz"
577,"Nadean","Fielding","Female",41,"08/04/1956",66,"N/A","Property","Mass Customer","N","Yes",19,"60-69","Nadean Fielding"
614,"Nonnah","Johns","Female",45,"12/09/1995",26,"N/A","Manufacturing","Mass Customer","N","Yes",11,"20-29","Nonnah Johns"
622,"Arri","Lamden","Male",18,"18/10/1968",53,"N/A","Financial Services","Mass Customer","N","No",17,"50-59","Arri Lamden"
671,"Aristotle","Vanni","Male",49,"25/07/1984",37,"N/A","Argiculture","Mass Customer","N","No",5,"30-39","Aristotle Vanni"
683,"Brennan","Gagen","Male",60,"16/05/1962",59,"N/A","Manufacturing","Mass Customer","N","Yes",10,"50-59","Brennan Gagen"
700,"Josias","Mulliner","Male",67,"20/02/1990",32,"N/A","Financial Services","Mass Customer","N","No",4,"30-39","Josias Mulliner"
703,"Ethelda","","Female",66,"31/10/1966",55,"N/A","Property","Mass Customer","N","No",15,"50-59","Ethelda "
712,"Norine","Antonik","Female",22,"20/05/1961",60,"N/A","IT","Mass Customer","N","No",14,"60-69","Norine Antonik"
731,"Lorenza","Cawthorne","Female",57,"04/12/1969",52,"N/A","N/A","Mass Customer","N","No",6,"50-59","Lorenza Cawthorne"
733,"Ham","Mayoh","Male",25,"30/11/1973",48,"N/A","Manufacturing","Mass Customer","N","No",13,"40-49","Ham Mayoh"
738,"Bunnie","Whines","Female",51,"08/12/1984",37,"N/A","Argiculture","Mass Customer","N","Yes",9,"30-39","Bunnie Whines"
741,"Cristionna","Mapes","Female",16,"15/02/1979",43,"N/A","N/A","Mass Customer","N","No",11,"40-49","Cristionna Mapes"
745,"Dotty","Maylott","Female",84,"22/03/1978",44,"N/A","Manufacturing","Mass Customer","N","Yes",13,"40-49","Dotty Maylott"
766,"Nonna","Hun","Female",16,"22/04/1975",47,"N/A","Retail","Mass Customer","N","Yes",14,"40-49","Nonna Hun"
812,"Coral","Dunkirk","Female",1,"22/09/1989",32,"N/A","Financial Services","Mass Customer","N","No",16,"30-39","Coral Dunkirk"
815,"Caryn","Sampey","Female",47,"06/07/1974",47,"N/A","Manufacturing","Mass Customer","N","Yes",22,"40-49","Caryn Sampey"
828,"Darda","Kernocke","Female",93,"14/12/1957",64,"N/A","Health","Mass Customer","N","Yes",20,"60-69","Darda Kernocke"
871,"Janka","Yesinin","Female",40,"20/01/1992",30,"N/A","N/A","Mass Customer","N","Yes",5,"30-39","Janka Yesinin"
874,"Howard","Oseland","Male",78,"05/05/2001",20,"N/A","Health","Mass Customer","N","Yes",1,"20-29","Howard Oseland"
879,"Hestia","Smetoun","Female",58,"02/08/1978",43,"N/A","N/A","Mass Customer","N","No",12,"40-49","Hestia Smetoun"
882,"Esmaria","Lythgoe","Female",59,"29/09/1965",56,"N/A","Property","Mass Customer","N","Yes",11,"50-59","Esmaria Lythgoe"
895,"Juli","Curness","Female",58,"03/09/1966",55,"N/A","N/A","Mass Customer","N","Yes",12,"50-59","Juli Curness"
901,"Letta","McCarter","Female",13,"27/04/1975",46,"N/A","Retail","Mass Customer","N","Yes",16,"40-49","Letta McCarter"
903,"Hewe","Lidgley","Male",46,"03/07/1961",60,"N/A","Financial Services","Mass Customer","N","No",14,"60-69","Hewe Lidgley"
913,"Dayle","Spearman","Female",67,"28/10/2000",21,"N/A","Financial Services","Mass Customer","N","No",1,"20-29","Dayle Spearman"
944,"Anderea","Dallewater","Female",53,"12/01/1976",46,"N/A","Manufacturing","Mass Customer","N","No",15,"40-49","Anderea Dallewater"
953,"Jasmin","Brodeur","Female",16,"23/05/1979",42,"N/A","N/A","Mass Customer","N","No",7,"40-49","Jasmin Brodeur"
981,"Bud","Smittoune","Male",0,"19/02/1973",49,"N/A","Retail","Mass Customer","N","No",11,"40-49","Bud Smittoune"
992,"Cordelia","Hawkeswood","Female",6,"25/11/1958",63,"N/A","Property","Mass Customer","N","Yes",8,"60-69","Cordelia Hawkeswood"
1007,"Cord","Warriner","Male",58,"08/06/1996",25,"N/A","Retail","Mass Customer","N","No",5,"20-29","Cord Warriner"
1045,"Aeriel","Everest","Female",88,"08/05/1986",35,"N/A","Financial Services","Mass Customer","N","Yes",19,"30-39","Aeriel Everest"
1053,"Davon","Stanyland","Male",98,"20/05/1962",59,"N/A","Manufacturing","Mass Customer","N","Yes",8,"50-59","Davon Stanyland"
1068,"Frazer","Searston","Male",5,"21/03/1995",27,"N/A","Health","Mass Customer","N","Yes",3,"20-29","Frazer Searston"
1077,"Sheba","Este","Female",8,"11/10/1955",66,"N/A","Telecommunications","Mass Customer","N","Yes",18,"60-69","Sheba Este"
1091,"Keith","Housden","Male",19,"15/04/1980",42,"N/A","Health","Mass Customer","N","No",15,"40-49","Keith Housden"
1112,"Jarrett","Chiplin","Male",25,"22/05/1981",40,"N/A","N/A","Mass Customer","N","Yes",13,"40-49","Jarrett Chiplin"
1119,"Lemmy","Bennit","Male",43,"09/10/1976",45,"N/A","Entertainment","Mass Customer","N","Yes",19,"40-49","Lemmy Bennit"
1122,"Gerladina","Carney","Female",59,"19/12/1985",36,"N/A","N/A","Mass Customer","N","No",11,"30-39","Gerladina Carney"
1123,"Dominick","Downey","Male",50,"18/06/1962",59,"N/A","Property","Mass Customer","N","No",13,"50-59","Dominick Downey"
1145,"Korella","Begin","Female",80,"26/09/1965",56,"N/A","Property","Mass Customer","N","Yes",14,"50-59","Korella Begin"
1187,"Antonino","Hogben","Male",65,"21/10/1998",23,"N/A","Financial Services","Mass Customer","N","No",1,"20-29","Antonino Hogben"
1201,"Stephani","Mellhuish","Female",42,"28/11/1955",66,"N/A","Manufacturing","Mass Customer","N","No",10,"60-69","Stephani Mellhuish"
1218,"Marlie","Lister","Female",12,"09/01/1982",40,"N/A","N/A","Mass Customer","N","Yes",7,"40-49","Marlie Lister"
1219,"Kaine","Parkeson","Male",93,"04/11/1971",50,"N/A","Financial Services","Mass Customer","N","No",14,"50-59","Kaine Parkeson"
1230,"Eben","Powley","Male",61,"24/07/1985",36,"N/A","Financial Services","Mass Customer","N","Yes",10,"30-39","Eben Powley"
1239,"Carroll","Cobbin","Male",9,"28/02/1978",44,"N/A","N/A","Mass Customer","N","Yes",17,"40-49","Carroll Cobbin"
