Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Delivery Days,Year
38676,CA-2014-AG10270140-41896,2014-09-14 00:00:00.000,2014-09-19 00:00:00.000,Standard Class,AG-102701402,Alejandro Grove,Consumer,68104.0,Omaha,Nebraska,United States,Central US,USCA,OFF-ST-5699,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0.0,0.4073999999999991,2.04,Medium,5,2014
39146,CA-2014-AS10090140-41762,2014-05-03 00:00:00.000,2014-05-07 00:00:00.000,Standard Class,AS-100901402,Adam Shillingsburg,Consumer,75061.0,Irving,Texas,United States,Central US,USCA,OFF-ST-6158,Office Supplies,Storage,Sterilite Show Offs Storage Containers,12.672,3,0.2,-3.168,1.42,Medium,4,2014
44085,RS-2015-KF6285108-42256,2015-09-09 00:00:00.000,2015-09-12 00:00:00.000,Second Class,KF-6285108,Karen Ferguson,Home Office,,Ufa,Bashkortostan,Russia,Eastern Europe,Europe,OFF-BI-4812,Office Supplies,Binders,"Ibico Binder, Durable",16.979999999999997,1,0.0,0.48,4.47,Critical,3,2015
28046,IN-2012-DL128657-40918,2012-01-10 00:00:00.000,2012-01-11 00:00:00.000,First Class,DL-128657,Dan Lawera,Consumer,,Brisbane,Queensland,Australia,Oceania,Asia Pacific,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",2875.0950000000007,5,0.1,511.0949999999999,665.27,Medium,1,2012
34239,CA-2015-JD16150140-42089,2015-03-26 00:00:00.000,2015-04-01 00:00:00.000,Standard Class,JD-161501402,Justin Deggeller,Corporate,53209.0,Milwaukee,Wisconsin,United States,Central US,USCA,FUR-CH-4412,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",368.97,3,0.0,40.58669999999998,16.59,Medium,6,2015
9263,MX-2014-TT2122051-41727,2014-03-29 00:00:00.000,2014-04-01 00:00:00.000,Second Class,TT-2122051,Thomas Thornton,Consumer,,Mixco,Guatemala,Guatemala,Central America,LATAM,FUR-BO-5968,Furniture,Bookcases,"Sauder Library with Doors, Pine",1815.24,7,0.0,471.94000000000005,318.08000000000004,High,3,2014
11826,ES-2012-HF1499548-41245,2012-12-02 00:00:00.000,2012-12-05 00:00:00.000,First Class,HF-1499548,Herbert Flentye,Consumer,,Siegen,North Rhine-Westphalia,Germany,Western Europe,Europe,OFF-EN-4909,Office Supplies,Envelopes,"Jiffy Clasp Envelope, with clear poly window",36.17999999999999,3,0.0,10.080000000000002,6.42,Medium,3,2012
1507,US-2013-SS2041037-41424,2013-05-30 00:00:00.000,2013-06-01 00:00:00.000,First Class,SS-2041037,Shahid Shariari,Consumer,,Santo Domingo de los Colorados,Pichincha,Ecuador,South America,LATAM,FUR-TA-3353,Furniture,Tables,"Barricks Training Table, Fully Assembled",341.0880000000001,2,0.2,-76.75200000000001,28.75,High,2,2013
41087,CA-2015-CJ12010140-42091,2015-03-28 00:00:00.000,2015-04-02 00:00:00.000,Standard Class,CJ-120101402,Caroline Jumper,Consumer,77070.0,Houston,Texas,United States,Central US,USCA,FUR-CH-4414,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",211.246,2,0.3,-66.39159999999998,22.73,High,5,2015
25941,IN-2015-BS1180059-42124,2015-04-30 00:00:00.000,2015-05-04 00:00:00.000,Standard Class,BS-1180059,Bryan Spruell,Home Office,,Kendari,Sulawesi Tenggara,Indonesia,Southeastern Asia,Asia Pacific,OFF-AP-4504,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",4135.641,10,0.17,847.0409999999998,348.08,Medium,4,2015
2563,US-2013-EM1381036-41459,2013-07-04 00:00:00.000,2013-07-08 00:00:00.000,Standard Class,EM-1381036,Eleni McCrary,Corporate,,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,Caribbean,LATAM,TEC-PH-5835,Technology,Phones,"Samsung Signal Booster, Cordless",223.104,3,0.2,33.444,20.85,Medium,4,2013
45297,NI-2015-SH997595-42305,2015-10-28 00:00:00.000,2015-11-03 00:00:00.000,Standard Class,SH-997595,Sally Hughsby,Corporate,,Warri,Delta,Nigeria,Western Africa,Africa,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",191.20500000000004,1,0.7,-376.065,16.25,Medium,6,2015
25542,IN-2015-LC1688558-42229,2015-08-13 00:00:00.000,2015-08-19 00:00:00.000,Standard Class,LC-1688558,Lena Creighton,Consumer,,Guwahati,Assam,India,Southern Asia,Asia Pacific,OFF-EN-3661,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Recycled",138.69,3,0.0,51.3,10.55,Medium,6,2015
18308,ES-2014-MZ1733545-41885,2014-09-03 00:00:00.000,2014-09-05 00:00:00.000,Second Class,MZ-1733545,Maria Zettner,Home Office,,Malakoff,Ile-de-France,France,Western Europe,Europe,OFF-FA-5462,Office Supplies,Fasteners,"OIC Clamps, 12 Pack",38.400000000000006,2,0.0,19.200000000000003,2.91,High,2,2014
36340,CA-2014-AI10855140-41954,2014-11-11 00:00:00.000,2014-11-14 00:00:00.000,Second Class,AI-108551404,Arianne Irving,Consumer,90036.0,Los Angeles,California,United States,Western US,USCA,FUR-FU-4755,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",467.46,9,0.0,191.6586,61.7,High,3,2014
38614,CA-2015-KH16330140-42326,2015-11-18 00:00:00.000,2015-11-22 00:00:00.000,Standard Class,KH-163301404,Katharine Harms,Corporate,97123.0,Hillsboro,Oregon,United States,Western US,USCA,OFF-PA-6422,Office Supplies,Paper,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",19.608,3,0.2,6.6177,1.91,Medium,4,2015
457,MX-2015-PM1894031-42340,2015-12-02 00:00:00.000,2015-12-06 00:00:00.000,Standard Class,PM-1894031,Paul MacIntyre,Consumer,,Pinar del Río,Pinar del Río,Cuba,Caribbean,LATAM,TEC-CO-3600,Technology,Copiers,"Brother Ink, Digital",195.52816,2,0.002,13.28816,14.785,High,4,2015
25741,IN-2015-AY1055566-42159,2015-06-04 00:00:00.000,2015-06-07 00:00:00.000,First Class,AY-1055566,Andy Yotov,Corporate,,Nagaoka,Shizuoka,Japan,Eastern Asia,Asia Pacific,OFF-ST-4105,Office Supplies,Storage,"Eldon Trays, Blue",143.91,3,0.0,63.27,29.35,High,3,2015
1733,MX-2012-JS1568593-41163,2012-09-11 00:00:00.000,2012-09-18 00:00:00.000,Standard Class,JS-1568593,Jim Sink,Corporate,,Chinandega,Chinandega,Nicaragua,Central America,LATAM,OFF-LA-4685,Office Supplies,Labels,"Hon Round Labels, 5000 Label Set",28.2,6,0.0,5.640000000000001,1.46,Medium,7,2012
8754,MX-2015-MD1735082-42343,2015-12-05 00:00:00.000,2015-12-09 00:00:00.000,Standard Class,MD-1735082,Maribeth Dona,Consumer,,Querétaro,Querétaro,Mexico,Central America,LATAM,OFF-ST-4268,Office Supplies,Storage,"Fellowes Lockers, Single Width",138.24,1,0.0,33.160000000000004,4.902,Medium,4,2015
27331,IN-2015-CC126107-42137,2015-05-13 00:00:00.000,2015-05-16 00:00:00.000,Second Class,CC-126107,Corey Catlett,Corporate,,Melbourne,Victoria,Australia,Oceania,Asia Pacific,OFF-BI-3189,Office Supplies,Binders,"Avery 3-Hole Punch, Recycled",25.407000000000004,1,0.1,10.707,1.34,Medium,3,2015
10029,US-2015-DM1352518-42139,2015-05-15 00:00:00.000,2015-05-18 00:00:00.000,First Class,DM-1352518,Don Miller,Corporate,,Pirapora,Minas Gerais,Brazil,South America,LATAM,OFF-SU-4305,Office Supplies,Supplies,"Fiskars Box Cutter, Serrated",120.288,14,0.6,-51.352,18.532,Medium,3,2015
33373,CA-2015-BF11080140-42260,2015-09-13 00:00:00.000,2015-09-16 00:00:00.000,First Class,BF-110801406,Bart Folk,Consumer,21215.0,Baltimore,Maryland,United States,Eastern US,USCA,OFF-PA-3012,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",39.900000000000006,5,0.0,19.950000000000003,3.88,Medium,3,2015
4746,US-2015-SZ2003598-42269,2015-09-22 00:00:00.000,2015-09-25 00:00:00.000,First Class,SZ-2003598,Sam Zeldin,Home Office,,Panama City,Panama,Panama,Central America,LATAM,OFF-BI-6381,Office Supplies,Binders,"Wilson Jones Binder, Recycled",26.76,5,0.4,-10.34,3.843,Critical,3,2015
9557,MX-2014-BP1105082-41704,2014-03-06 00:00:00.000,2014-03-13 00:00:00.000,Standard Class,BP-1105082,Barry Pond,Corporate,,Tlalpan,Distrito Federal,Mexico,Central America,LATAM,TEC-CO-5997,Technology,Copiers,"Sharp Fax Machine, Color",395.32776,2,0.002,50.68776,34.013,Medium,7,2014
21728,IN-2014-RP19270102-41944,2014-11-01 00:00:00.000,2014-11-07 00:00:00.000,Standard Class,RP-19270102,Rachel Payne,Corporate,,Manila,National Capital,Philippines,Southeastern Asia,Asia Pacific,OFF-AR-3478,Office Supplies,Art,"Binney & Smith Canvas, Water Color",149.985,5,0.45,8.085000000000008,11.94,Low,6,2014
6642,US-2012-DG13300101-41098,2012-07-08 00:00:00.000,2012-07-11 00:00:00.000,Second Class,DG-13300101,Deirdre Greer,Corporate,,Lima,Lima (city),Peru,South America,LATAM,FUR-CH-4626,Furniture,Chairs,"Hon Bag Chairs, Adjustable",133.392,7,0.4,-37.82800000000002,10.891,Medium,3,2012
45105,SA-2013-AS240110-41590,2013-11-12 00:00:00.000,2013-11-16 00:00:00.000,Standard Class,AS-240110,Alan Shonely,Consumer,,Jeddah,Makkah,Saudi Arabia,Western Asia,Asia Pacific,OFF-EN-4437,Office Supplies,Envelopes,"GlobeWeis Clasp Envelope, Set of 50",19.8,2,0.0,7.92,1.9,Medium,4,2013
40728,CA-2013-PP18955140-41444,2013-06-19 00:00:00.000,2013-06-19 00:00:00.000,Same Day,PP-189551406,Paul Prost,Home Office,19134.0,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-LA-5977,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters with Dispenser Box,5.904,2,0.2,1.9926,1.88,High,0,2013
19736,ES-2015-GG1465048-42132,2015-05-08 00:00:00.000,2015-05-12 00:00:00.000,Standard Class,GG-1465048,Greg Guthrie,Corporate,,Koblenz,Rhineland-Palatinate,Germany,Western Europe,Europe,TEC-CO-3685,Technology,Copiers,"Canon Fax and Copier, Laser",191.34,1,0.0,89.91,16.63,High,4,2015
