Customer ID,Title,First Name,Middle Name,Last Name,Suffix,Company Name,Email Address,Phone,Sales Rep,Index
2,"Mr.","Keith","","Harris","","Progressive Sports","keith0@adventure-works.com","170-555-0127","David","2"
5,"Mr.","Lucy","","Harrington","","Metropolitan Sports Supply","lucy0@adventure-works.com","828-555-0186","Shu","5"
23,"Mr.","Kerim","","Hanif","","Bike World","kerim0@adventure-works.com","216-555-0122","Shu","17"
24,"Mr.","Kevin","","Liu","","Eastside Department Store","kevin5@adventure-works.com","926-555-0164","Linda","18"
29,"Mr.","Bryan","","Hamilton","","Cross-Country Riding Supplies","bryan2@adventure-works.com","344-555-0144","José","21"
37,"Mr.","Jim","","Geist","","Two Bike Shops","jim1@adventure-works.com","724-555-0161","Pamela","24"
40,"Mr.","Darren","","Gehring","","Journey Sporting Goods","darren0@adventure-works.com","417-555-0182","Jillian","27"
42,"Mr.","Jeremy","","Los","","Healthy Activity Store","jeremy0@adventure-works.com","911-555-0165","Linda","29"
55,"Mr.","Eric","","Lang","","Kickstands and Accessories Company","eric6@adventure-works.com","932-555-0163","Pamela","35"
56,"Mr.","Brian","","Groth","","Latest Accessories Sales","brian5@adventure-works.com","461-555-0118","David","36"
58,"Mr.","Peter","","Kurniawan","","Largest Bike Store","peter4@adventure-works.com","436-555-0160","Jillian","38"
59,"Mr.","Douglas","","Groncki","","Locks Company","douglas2@adventure-works.com","385-555-0140","Shu","39"
61,"Mr.","Jeffrey","","Kurtz","","Many Bikes Store","jeffrey3@adventure-works.com","452-555-0179","Shu","41"
64,"Mr.","Vamsi","","Kuppa","","Metal Clearing House","vamsi1@adventure-works.com","290-555-0196","José","42"
70,"Mr.","Deepak","","Kumar","","Outdoor Aerobic Systems Company","deepak0@adventure-works.com","1 (11) 500 555-0122","Jae","45"
77,"Mr.","Michael","","Brundage","","Mechanical Products Ltd.","michael13@adventure-works.com","128-555-0148","Shu","50"
78,"Mr.","Stefan","","Delmarco","","Preferred Bikes","stefan0@adventure-works.com","819-555-0186","Linda","51"
79,"Mr.","Mitch","","Kennedy","","Reasonable Bicycle Sales","mitch0@adventure-works.com","996-555-0192","Shu","52"
93,"Mr.","Prashanth","","Desai","","Stationary Bikes and Stands","prashanth0@adventure-works.com","138-555-0156","Jillian","59"
94,"Mr.","Scott","","Konersmann","","Specialty Sports Store","scott6@adventure-works.com","556-555-0192","Jillian","60"
97,"Mr.","Eugene","","Kogan","","Mountain Bike Center","eugene2@adventure-works.com","136-555-0134","Shu","63"
118,"Mr.","Yale","","Li","","Rapid Bikes","yale0@adventure-works.com","316-555-0138","José","75"
120,"Mr.","Pat","","Coleman","","Machines & Cycles Store","pat2@adventure-works.com","292-555-0128","Garrett","77"
133,"Mr.","Michael","","Graff","","Commercial Sporting Goods","michael16@adventure-works.com","132-555-0150","Shu","85"
136,"Mr.","Derek","","Graham","","Wholesale Parts","derek0@adventure-works.com","674-555-0187","José","86"
142,"Mr.","Jon","","Grande","","Riding Cycles","jon1@adventure-works.com","1 (11) 500 555-0114","Jae","89"
145,"Mr.","Ted","","Bremer","","Raw Materials Inc","ted0@adventure-works.com","962-555-0166","Pamela","90"
146,"Mr.","Richard","","Bready","","Latest Sports Equipment","richard1@adventure-works.com","340-555-0131","David","91"
148,"Mr.","Alan","","Brewer","","Lots of Bikes Storehouse","alan1@adventure-works.com","494-555-0134","Jillian","93"
163,"Mr.","Andrew","","Cencini","","Sports Merchandise","andrew2@adventure-works.com","644-555-0111","Pamela","101"
165,"Mr.","Randall","","Boseman","","Third Bike Store","randall0@adventure-works.com","383-555-0117","Jillian","103"
167,"Mr.","Blaine","","Dockter","","Farthermost Bike Shop","blaine0@adventure-works.com","156-555-0187","Shu","105"
178,"Mr.","Dick","","Dievendorff","","Rampart Amusement Company","dick1@adventure-works.com","1 (11) 500 555-0193","Jae","111"
183,"Mr.","Yao-Qiang","","Cheng","","This Area Sporting Goods","yao-qiang0@adventure-works.com","344-555-0181","Jillian","115"
185,"Mr.","Sandeep","","Kaliyath","","Weekend Bike Tours","sandeep1@adventure-works.com","495-555-0113","Shu","117"
186,"Mr.","Pei","","Chow","","Thrilling Bike Tours","pei0@adventure-works.com","789-555-0184","Linda","118"
187,"Mr.","Frank","","Campbell","","Trailblazing Sports","frank4@adventure-works.com","491-555-0132","Shu","119"
190,"Mr.","Mark","","Lee","","Racing Partners","mark5@adventure-works.com","371-555-0112","José","120"
192,"Mr.","Hao","","Chen","","Nuts and Bolts Mfg.","hao1@adventure-works.com","117-555-0173","Garrett","122"
199,"Mr.","Roger","","Lengel","","Authorized Bike Sales and Rental","roger1@adventure-works.com","947-555-0143","Pamela","126"
204,"Mr.","Ido","","Ben-Sachar","","Traction Tire Company","ido0@adventure-works.com","973-555-0112","Linda","131"
205,"Mr.","Frank","","Mart¡nez","","Rally Master Company Inc","frank5@adventure-works.com","171-555-0147","Shu","132"
208,"Mr.","Steve","","Masters","","Professional Cyclists","steve2@adventure-works.com","154-555-0115","José","133"
210,"Mr.","Josh","","Barnhill","","Gasless Cycle Shop","josh0@adventure-works.com","584-555-0192","Garrett","135"
217,"Mr.","Chris","","Maxwell","","City Manufacturing","chris6@adventure-works.com","642-555-0187","Pamela","137"
218,"Mr.","David","","Johnson","","Sure & Reliable Sporting Goods","david18@adventure-works.com","476-555-0139","David","138"
219,"Mr.","Brian","","Johnson","","Extras Sporting Goods","brian6@adventure-works.com","320-555-0134","Jillian","139"
220,"Mr.","Robert","","Brown","","Best o' Bikes","robert5@adventure-works.com","575-555-0189","Jillian","140"
222,"Mr.","Barry","","Johnson","","Sample Bike Store","barry1@adventure-works.com","858-555-0140","Linda","142"
232,"Mr.","David","","Jaffe","","Exceptional Cycle Services","david17@adventure-works.com","1 (11) 500 555-0140","Jae","147"
253,"Mr.","Erik","","Ismert","","Roving Sports","erik0@adventure-works.com","116-555-0163","Pamela","159"
255,"Mr.","Sunil","","Uppal","","Swift Cycles","sunil0@adventure-works.com","184-555-0187","Jillian","161"
257,"Mr.","Matthias","","Berndt","","Number 1 Supply","matthias1@adventure-works.com","384-555-0169","Shu","163"
258,"Mr.","Sairaj","","Uddin","","Quantity Discounts","sairaj1@adventure-works.com","767-555-0193","Linda","164"
259,"Mr.","Lucio","","Iallo","","Highway Bike Shop","lucio0@adventure-works.com","199-555-0135","Shu","165"
275,"Mr.","Chris","","Cannon","","Outdoor Sporting Goods","chris5@adventure-works.com","118-555-0131","Shu","174"
277,"Mr.","Guy","","Gilbert","","The Bicycle Accessories Company","guy0@adventure-works.com","583-555-0198","Shu","176"
286,"Mr.","Leo","","Giakoumakis","","Number One Bike Co.","leo0@adventure-works.com","1 (11) 500 555-0169","Jae","180"
287,"Mr.","Grant","","Culbertson","","Handy Bike Services","grant1@adventure-works.com","859-555-0173","Michael","181"
290,"Mr.","Scott","","Culp","","Friendly Bike Shop","scott3@adventure-works.com","119-555-0167","David","184"
293,"Mr.","Conor","","Cunningham","","Fashionable Bikes and Accessories","conor0@adventure-works.com","115-555-0113","Shu","187"
298,"Mr.","Robert","","Mitosinka","","City Cycling","robert10@adventure-works.com","239-555-0198","José","190"
299,"Mr.","Thierry","","D'Hers","","Citywide Service and Repair","thierry1@adventure-works.com","680-555-0192","José","191"
300,"Mr.","Daniel","","Blanco","","Nice Bikes","daniel0@adventure-works.com","221-555-0167","Garrett","192"
309,"Mr.","John","","Arthur","","The Gear Store","john6@adventure-works.com","149-555-0113","Jillian","197"
310,"Mr.","Frank","","Miller","","Orange Bicycle Company","frank6@adventure-works.com","118-555-0184","Jillian","198"
313,"Mr.","Dylan","","Miller","","Metropolitan Manufacturing","dylan1@adventure-works.com","140-555-0192","Shu","201"
316,"Mr.","Ben","","Miller","","Low Price Cycles","ben1@adventure-works.com","207-555-0167","José","202"
323,"Mr.","Jo","","Brown","","Metro Bike Works","jo2@adventure-works.com","689-555-0130","Michael","206"
326,"Mr.","Scott","","Gode","","Year-Round Sports","scott4@adventure-works.com","164-555-0145","David","208"
330,"Mr.","Mete","","Goktepe","","The New Bike Store","mete0@adventure-works.com","637-555-0120","Linda","212"
