Serial No,123456,98745,XYZ1234,ABC7654,P987df
Model,JMC,ESPADA,LOWPROFILE,MAXFAN,LOWPROFILE
Type,AxialFans,AxialFans,CarParks,Catering,CarParks
Manufacture Date,01/02/2021,01/03/2021,01/01/2021,01/06/2020,01/12/2020
Warranty Period,365,365,365,365,365
First Service Period,90,90,180,90,90
Status,Active, Inactive,Active,Active,Active
Sold?, Yes, Yes, Yes, Yes, Yes
Customer Code,A0001,MID01,EDIN001,PEN099,EDIN001
Customer Name,ABC Tunnels plc,Midlands Customer,Edinburgh Customer,Penzance Customer,Edinburgh Customer
Install Date,15/02/2021,24/03/2021,01/02/2021,15/06/2020,25/12/2020
Warranty End Date,2022-02-15 00:00:00.000,2022-03-24 00:00:00.000,2022-02-01 00:00:00.000,2021-06-15 00:00:00.000,2021-12-25 00:00:00.000
First Service Date,2021-05-16 00:00:00.000,2021-06-22 00:00:00.000,2021-07-31 00:00:00.000,2020-09-13 00:00:00.000,2021-03-25 00:00:00.000
Transmitter Serial,000000002114ca03,NONE2,NONE5,NONE3,NONE4
Transmission Method,WiFi,WiFi,,,
Fan Warning,No,,,,
Site Name,Colchester Lab,Barford,Princes Street Car Park,The Dog and Duck,Car Park no 2
Site Address,Axle Way,Warwick,55 Princes Street,Penzance,50 Princes Street
Site Post Code,CO4 5ZD,CV35 8EN,EH2 2AN,TR18 2FA,EH2 2AN
Site Longitude,51.924498087619,52.2446881010889,55.9532579680435,50.1257675664027,55.9532579680435
Site Latitude,0.912674304403081,1.60576950707167,3.191055,5.53221035232994,3.191055
Site SSID,SKY,SKY,,,
Site Password,Password,PW,,,
EventID,60752,60753,263976,263977,263978
