Customer Name,Customer Email Address,Customer Gender,Customer City,Customer Sales Territory Country,Customer Sales Territory Group,Customer Sales Territory Region,Customer Key,Customer Alternate Key,Customer Title,Customer Street Address,Customer Date of Birth,Customer Commute Distance,Customer First Purchase Date,Customer Education,Customer Occupation,Customer House Owner Indicator,Customer Cars Owned,Customer Marital Status,Customer Children,Customer Phone Number,Customer Annual Income,Customer Country Code,Customer Country,Customer Postal Code,Customer State Province,Customer State Province Code,Customer City State
"Russell Xie","russell7@adventure-works.com","M","Concord","United States","North America","Southwest",11024,"AW00011024","","8734 Oxford Place",1984-03-16 00:00:00.000,"5-10 Miles",2013-06-27 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"746-555-0186",60000,"US","United States","94519","California","CA","Concord, CA"
"Nathan Simmons","nathan11@adventure-works.com","M","Glendale","United States","North America","Southwest",11043,"AW00011043","","1170 Shaw Rd",1981-08-23 00:00:00.000,"5-10 Miles",2013-05-08 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"296-555-0181",60000,"US","United States","91203","California","CA","Glendale, CA"
"Isabella Morris","isabella83@adventure-works.com","F","El Cajon","United States","North America","Southwest",11928,"AW00011928","","8487 Amador",1984-03-06 00:00:00.000,"5-10 Miles",2013-05-31 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"693-555-0146",60000,"US","United States","92020","California","CA","El Cajon, CA"
"Seth Alexander","seth67@adventure-works.com","M","Daly City","United States","North America","Southwest",11938,"AW00011938","","3842 Algiers Dr.",1983-03-21 00:00:00.000,"5-10 Miles",2013-03-07 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"178-555-0186",60000,"US","United States","94015","California","CA","Daly City, CA"
"Joseph Garcia","joseph23@adventure-works.com","M","Glendale","United States","North America","Southwest",11954,"AW00011954","","1220 Bradford Way",1981-02-13 00:00:00.000,"5-10 Miles",2011-11-01 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"594-555-0120",60000,"US","United States","91203","California","CA","Glendale, CA"
"Gabriel Green","gabriel45@adventure-works.com","M","Glendale","United States","North America","Southwest",11955,"AW00011955","","6991 Gloria Terr.",1980-10-02 00:00:00.000,"5-10 Miles",2011-10-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"149-555-0162",60000,"US","United States","91203","California","CA","Glendale, CA"
"Sophia Lopez","sophia19@adventure-works.com","F","Coronado","United States","North America","Southwest",13030,"AW00013030","","4855 Wawona Lane",1983-01-10 00:00:00.000,"5-10 Miles",2013-09-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"123-555-0170",60000,"US","United States","92118","California","CA","Coronado, CA"
"Chloe Anderson","chloe43@adventure-works.com","F","Spring Valley","United States","North America","Southwest",13986,"AW00013986","","3118 Creekside Drive",1985-04-23 00:00:00.000,"5-10 Miles",2012-01-08 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"913-555-0176",60000,"US","United States","91977","California","CA","Spring Valley, CA"
"Zachary Patterson","zachary9@adventure-works.com","M","Burlingame","United States","North America","Southwest",13993,"AW00013993","","7814 New Court",1984-02-21 00:00:00.000,"5-10 Miles",2012-01-07 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"149-555-0161",60000,"US","United States","94010","California","CA","Burlingame, CA"
"Caitlin Kelly","caitlin2@adventure-works.com","F","Daly City","United States","North America","Southwest",14004,"AW00014004","","5936 Second Ave",1982-10-11 00:00:00.000,"5-10 Miles",2013-08-26 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"904-555-0116",60000,"US","United States","94015","California","CA","Daly City, CA"
"Amber Mitchell","amber11@adventure-works.com","F","Downey","United States","North America","Southwest",15011,"AW00015011","","5537 Baltic Sea Ct.",1983-05-13 00:00:00.000,"5-10 Miles",2013-07-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"802-555-0115",60000,"US","United States","90241","California","CA","Downey, CA"
"Richard Howard","richard93@adventure-works.com","M","Spring Valley","United States","North America","Southwest",15428,"AW00015428","","5391 Ashford Court",1984-10-28 00:00:00.000,"5-10 Miles",2012-06-15 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"321-555-0115",60000,"US","United States","91977","California","CA","Spring Valley, CA"
"Alvin Kumar","alvin30@adventure-works.com","M","Colma","United States","North America","Southwest",15432,"AW00015432","","3612 Vista Place",1984-02-15 00:00:00.000,"5-10 Miles",2012-06-21 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"768-555-0154",60000,"US","United States","94014","California","CA","Colma, CA"
