CustomerKey,Customer ID,Customer,City,State-Province,Country-Region,Postal Code
11024,"AW00011024","Russell Xie","Concord","California","United States","94519"
11081,"AW00011081","Savannah Baker","Concord","California","United States","94519"
11160,"AW00011160","Maurice Tang","Concord","California","United States","94519"
11161,"AW00011161","Emily Wood","Concord","California","United States","94519"
11184,"AW00011184","Meghan Hernandez","Concord","California","United States","94519"
11295,"AW00011295","Taylor Lewis","Concord","California","United States","94519"
11329,"AW00011329","Andy Alvarez","Concord","California","United States","94519"
11499,"AW00011499","Pedro Vance","Concord","California","United States","94519"
11539,"AW00011539","Justin Washington","Concord","California","United States","94519"
11655,"AW00011655","Tamara Sharma","Concord","California","United States","94519"
11733,"AW00011733","Kristi Schmidt","Concord","California","United States","94519"
11851,"AW00011851","Jada Mitchell","Concord","California","United States","94519"
11853,"AW00011853","Grace Jones","Concord","California","United States","94519"
11945,"AW00011945","Dennis Huang","Concord","California","United States","94519"
12146,"AW00012146","Xavier Thomas","Concord","California","United States","94519"
12411,"AW00012411","Kevin Alexander","Concord","California","United States","94519"
12429,"AW00012429","Melvin Black","Concord","California","United States","94519"
13017,"AW00013017","Xavier Alexander","Concord","California","United States","94519"
13060,"AW00013060","Eugene Zhu","Concord","California","United States","94519"
13162,"AW00013162","Nina Nath","Concord","California","United States","94519"
13167,"AW00013167","Mario Tang","Concord","California","United States","94519"
13189,"AW00013189","Gloria Romero","Concord","California","United States","94519"
13208,"AW00013208","Cassidy Bryant","Concord","California","United States","94519"
13219,"AW00013219","Rafael Shan","Concord","California","United States","94519"
13333,"AW00013333","Tara Chander","Concord","California","United States","94519"
13360,"AW00013360","Jada Cook","Concord","California","United States","94519"
13365,"AW00013365","Luke Shan","Concord","California","United States","94519"
13376,"AW00013376","Jerry Rai","Concord","California","United States","94519"
13873,"AW00013873","Russell Jai","Concord","California","United States","94519"
13902,"AW00013902","Jeremiah Simmons","Concord","California","United States","94519"
13921,"AW00013921","Joseph Jones","Concord","California","United States","94519"
14023,"AW00014023","Beth Carlson","Concord","California","United States","94519"
14250,"AW00014250","Adam Collins","Concord","California","United States","94519"
14292,"AW00014292","Isabella Ross","Concord","California","United States","94519"
14368,"AW00014368","Richard Thompson","Concord","California","United States","94519"
14383,"AW00014383","Marvin Ferrier","Concord","California","United States","94519"
14433,"AW00014433","Jennifer Peterson","Concord","California","United States","94519"
14562,"AW00014562","Bryce Stewart","Concord","California","United States","94519"
14590,"AW00014590","Marissa Butler","Concord","California","United States","94519"
14601,"AW00014601","Nicolas Rai","Concord","California","United States","94519"
14615,"AW00014615","Audrey Dominguez","Concord","California","United States","94519"
14616,"AW00014616","Emma Sandberg","Concord","California","United States","94519"
14653,"AW00014653","Troy Fernandez","Concord","California","United States","94519"
14907,"AW00014907","Sheena Anand","Concord","California","United States","94519"
14919,"AW00014919","Erik Torres","Concord","California","United States","94519"
15156,"AW00015156","Dylan Foster","Concord","California","United States","94519"
15166,"AW00015166","Nina Goel","Concord","California","United States","94519"
15177,"AW00015177","Jorge Lu","Concord","California","United States","94519"
15195,"AW00015195","Edwin Huang","Concord","California","United States","94519"
15319,"AW00015319","Jade Sanchez","Concord","California","United States","94519"
15341,"AW00015341","Lacey Deng","Concord","California","United States","94519"
15342,"AW00015342","Ashlee Raji","Concord","California","United States","94519"
15433,"AW00015433","Adam Sharma","Concord","California","United States","94519"
15554,"AW00015554","Zoe Bailey","Concord","California","United States","94519"
15858,"AW00015858","Jonathan Parker","Concord","California","United States","94519"
