EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,SalesTerritoryKey,Title,Hired,Birthday,LoginID,Phone,Marital Status,Emergency Contact,Emergency Phone,Salaried,Gender,Pay Frequency,Base Rate,Vacation Hours,Sick Leave Hours,Current,Sales Person,Department,Start Date,End Date,Status,Employee Name,Email
12,189,"912265825","",11,"Production Technician - WC10",2007-08-07 00:00:00.000,1955-10-25 00:00:00.000,"adventure-works\barry0","206-555-0180","S","Barry Johnson","206-555-0180",False,"M",1,13.45,88,64,True,False,"Production",2007-08-07 00:00:00.000,,"Current","Barry Johnson","mailto://barry0@adventure-works.com"
17,189,"132674823","",11,"Production Technician - WC10",2007-09-20 00:00:00.000,1956-02-09 00:00:00.000,"adventure-works\jeffrey0","984-555-0185","S","Jeffrey Ford","984-555-0185",False,"M",1,13.45,85,62,True,False,"Production",2007-09-20 00:00:00.000,,"Current","Jeffrey Ford","mailto://jeffrey0@adventure-works.com"
24,201,"835460180","",11,"Production Technician - WC45",2008-07-02 00:00:00.000,1962-04-13 00:00:00.000,"adventure-works\stuart0","413-555-0136","S","Stuart Munson","413-555-0136",False,"M",1,10,84,62,True,False,"Production",2008-07-02 00:00:00.000,,"Current","Stuart Munson","mailto://stuart0@adventure-works.com"
25,201,"687685941","",11,"Production Technician - WC45",2008-07-02 00:00:00.000,1975-11-15 00:00:00.000,"adventure-works\greg0","332-555-0150","S","Greg Alderson","332-555-0150",False,"M",1,10,85,62,True,False,"Production",2008-07-02 00:00:00.000,,"Current","Greg Alderson","mailto://greg0@adventure-works.com"
26,188,"498138869","",11,"Production Technician - WC30",2008-07-02 00:00:00.000,1979-06-02 00:00:00.000,"adventure-works\david1","166-555-0162","S","David Johnson","166-555-0162",False,"M",1,9.5,25,32,True,False,"Production",2008-07-02 00:00:00.000,,"Current","David Johnson","mailto://david1@adventure-works.com"
29,89,"384162788","",11,"Production Technician - WC40",2008-07-04 00:00:00.000,1980-06-13 00:00:00.000,"adventure-works\paul0","147-555-0160","S","Paul Komosinski","147-555-0160",False,"M",1,15,68,54,True,False,"Production",2008-07-04 00:00:00.000,,"Current","Paul Komosinski","mailto://paul0@adventure-works.com"
33,214,"761597760","",11,"Production Technician - WC40",2008-07-06 00:00:00.000,1988-07-05 00:00:00.000,"adventure-works\alejandro0","668-555-0130","S","Alejandro McGuel","668-555-0130",False,"M",1,15,52,46,True,False,"Production",2008-07-06 00:00:00.000,,"Current","Alejandro McGuel","mailto://alejandro0@adventure-works.com"
34,188,"271438431","",11,"Production Technician - WC30",2008-07-07 00:00:00.000,1984-03-25 00:00:00.000,"adventure-works\garrett0","609-555-0179","S","Garrett Young","609-555-0179",False,"M",1,9.5,34,37,True,False,"Production",2008-07-07 00:00:00.000,,"Current","Garrett Young","mailto://garrett0@adventure-works.com"
35,138,"160739235","",11,"Production Technician - WC30",2008-07-07 00:00:00.000,1983-02-24 00:00:00.000,"adventure-works\jianshuo0","952-555-0178","S","Jian Shuo Wang","952-555-0178",False,"M",1,9.5,36,38,True,False,"Production",2008-07-07 00:00:00.000,,"Current","Jian Shuo Wang","mailto://jianshuo0@adventure-works.com"
39,9,"276751903","",11,"Production Technician - WC60",2008-07-08 00:00:00.000,1989-12-15 00:00:00.000,"adventure-works\simon0","963-555-0134","S","Simon Rapier","963-555-0134",False,"M",1,12.45,38,39,True,False,"Production",2008-07-08 00:00:00.000,,"Current","Simon Rapier","mailto://simon0@adventure-works.com"
