CustomerID,Customer,Phone Number,CustomerID.1,Gender,Occupation,Date_of_birth,Source,Age,AgeGroup,Age (groups)
4,"Name 4","618-653-443",4,"M","Engineer",1969,"Radio",53,"mature","mature"
5,"Name 5","334-183-702",5,"F","Engineer",1974,"Internet",48,"mature","mature"
6,"Name 6","982-608-171",6,"F","Engineer",1983,"Advertisement",39,"young","young"
13,"Name 13","278-896-588",13,"M","Engineer",1967,"Advertisement",55,"mature","mature"
25,"Name 25","165-476-213",25,"M","Engineer",1981,"Other",41,"young","young"
32,"Name 32","843-337-458",32,"F","Engineer",1966,"Advertisement",56,"old","old"
42,"Name 42","297-467-444",42,"M","Engineer",1960,"Advertisement",62,"old","old"
43,"Name 43","126-323-376",43,"F","Engineer",1969,"Radio",53,"mature","mature"
55,"Name 55","649-938-564",55,"M","Engineer",1977,"Other",45,"young","young"
66,"Name 66","125-183-270",66,"F","Engineer",1985,"Internet",37,"young","young"
69,"Name 69","815-666-128",69,"F","Engineer",1982,"Radio",40,"young","young"
71,"Name 71","860-550-842",71,"M","Engineer",1985,"Friends",37,"young","young"
72,"Name 72","248-676-324",72,"F","Engineer",1987,"Radio",35,"young","young"
76,"Name 76","344-146-972",76,"F","Engineer",1974,"Internet",48,"mature","mature"
83,"Name 83","840-653-881",83,"F","Engineer",1960,"Advertisement",62,"old","old"
90,"Name 90","722-787-110",90,"F","Engineer",1984,"Internet",38,"young","young"
94,"Name 94","794-101-105",94,"F","Engineer",1990,"Friends",32,"young","young"
95,"Name 95","403-278-468",95,"M","Engineer",1967,"Friends",55,"mature","mature"
98,"Name 98","247-282-341",98,"F","Engineer",1987,"Radio",35,"young","young"
99,"Name 99","608-908-629",99,"F","Engineer",1981,"Advertisement",41,"young","young"
100,"Name 100","515-728-911",100,"M","Engineer",1971,"Advertisement",51,"mature","mature"
102,"Name 102","406-286-461",102,"M","Engineer",1977,"Radio",45,"young","young"
103,"Name 103","910-304-221",103,"F","Engineer",1967,"Friends",55,"mature","mature"
106,"Name 106","217-789-353",106,"F","Engineer",1965,"Advertisement",57,"old","old"
111,"Name 111","703-216-442",111,"F","Engineer",1969,"Friends",53,"mature","mature"
112,"Name 112","890-187-757",112,"M","Engineer",1964,"Internet",58,"old","old"
113,"Name 113","186-477-323",113,"M","Engineer",1982,"Other",40,"young","young"
115,"Name 115","504-426-794",115,"F","Engineer",1987,"Radio",35,"young","young"
123,"Name 123","648-962-321",123,"M","Engineer",1979,"Friends",43,"young","young"
125,"Name 125","343-896-494",125,"F","Engineer",1979,"Internet",43,"young","young"
132,"Name 132","451-250-546",132,"F","Engineer",1973,"Other",49,"mature","mature"
133,"Name 133","953-548-475",133,"F","Engineer",1971,"Friends",51,"mature","mature"
139,"Name 139","792-112-753",139,"F","Engineer",1964,"Internet",58,"old","old"
147,"Name 147","202-874-640",147,"M","Engineer",1970,"Radio",52,"mature","mature"
160,"Name 160","701-558-700",160,"F","Engineer",1969,"Friends",53,"mature","mature"
162,"Name 162","701-754-426",162,"M","Engineer",1985,"Radio",37,"young","young"
164,"Name 164","304-762-886",164,"M","Engineer",1980,"Friends",42,"young","young"
168,"Name 168","617-355-685",168,"F","Engineer",1992,"Radio",30,"young","young"
174,"Name 174","875-366-995",174,"M","Engineer",1961,"Other",61,"old","old"
175,"Name 175","894-128-233",175,"F","Engineer",1988,"Other",34,"young","young"
184,"Name 184","463-891-440",184,"F","Engineer",1970,"Advertisement",52,"mature","mature"
194,"Name 194","832-620-299",194,"F","Engineer",1975,"Advertisement",47,"mature","mature"
199,"Name 199","611-880-556",199,"F","Engineer",1964,"Radio",58,"old","old"
200,"Name 200","178-954-941",200,"F","Engineer",1979,"Advertisement",43,"young","young"
207,"Name 207","572-618-476",207,"M","Engineer",1980,"Advertisement",42,"young","young"
209,"Name 209","415-371-984",209,"M","Engineer",1964,"Radio",58,"old","old"
221,"Name 221","387-390-585",221,"M","Engineer",1969,"Other",53,"mature","mature"
230,"Name 230","830-900-419",230,"F","Engineer",1969,"Radio",53,"mature","mature"
232,"Name 232","366-638-838",232,"F","Engineer",1965,"Radio",57,"old","old"
236,"Name 236","439-912-706",236,"F","Engineer",1977,"Friends",45,"young","young"
244,"Name 244","967-167-355",244,"M","Engineer",1963,"Advertisement",59,"old","old"
245,"Name 245","733-549-630",245,"F","Engineer",1971,"Advertisement",51,"mature","mature"
255,"Name 255","857-404-495",255,"M","Engineer",1962,"Other",60,"old","old"
259,"Name 259","860-692-372",259,"F","Engineer",1982,"Radio",40,"young","young"
261,"Name 261","218-838-136",261,"F","Engineer",1969,"Friends",53,"mature","mature"
269,"Name 269","875-716-709",269,"M","Engineer",1976,"Radio",46,"mature","mature"
270,"Name 270","253-517-937",270,"M","Engineer",1981,"Internet",41,"young","young"
271,"Name 271","146-902-799",271,"F","Engineer",1966,"Internet",56,"old","old"
273,"Name 273","280-713-315",273,"M","Engineer",1977,"Advertisement",45,"young","young"
287,"Name 287","872-148-612",287,"F","Engineer",1981,"Internet",41,"young","young"
289,"Name 289","973-176-532",289,"M","Engineer",1984,"Friends",38,"young","young"
291,"Name 291","160-882-748",291,"M","Engineer",1970,"Internet",52,"mature","mature"
299,"Name 299","353-335-192",299,"F","Engineer",1964,"Radio",58,"old","old"
300,"Name 300","454-294-709",300,"M","Engineer",1961,"Radio",61,"old","old"
