EmployeeID,EmployeePhoto,DepartmentName,EmployeeName
1001,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/1aa320f6c9e64369e5585c646c1f0577.png","Sales","Superman"
1002,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/b860b70b9423fada1b00fa5435099b42.png","Sales","Anna"
1003,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/f12daf9952de79da1b276e6d652d1563.png","","Diana"
1004,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/06be6044cdfb47188aa4a910a62826bd.png","Marketing","Malika"
1005,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/0610f946416317fdeec8f854cb29bb4e.png","Marketing","Steve"
1006,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/4a533a8bd6a49803ce478c89008daf18.png","Finance","Cosmos"
1007,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/d446e7884586b4ec31bd8bc9d2a56fed.png","","Spiderman"
1008,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/d4d753e924310a0dccd699d7f68f965d.png","","Batman"
1009,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/96653ded74d63ebd1c6e0e537520c0f0.png","Operations","Gharysh"
1010,"https://u21.plpstatic.ru/s/1icm80051/2fbe1c703f6893c2bc5066fcbcaa2048/6b90b79e27de9bae1b07b025b4fb530c.png","HR","Michael"
1011,"https://s.plpstatic.ru/img/icons-round-people/67.png","HR","Irina"
1012,"https://s.plpstatic.ru/img/icons-round-people/97.png","Operations","Jack"
1013,"https://s.plpstatic.ru/img/icons-round-people/74.png","Legal","Arianna"
1014,"https://s.plpstatic.ru/img/icons-round-people/5.png","Finance","Hanks"
1015,"https://s.plpstatic.ru/img/icons-round-people/42.png","PR","Sasha"
