EmployeeKey,Employee ID,First Name,Last Name,Middle Name,Title,Sales Person
272,"502097814","Stephen","Jiang","Y","North American Sales Manager","Stephen Jiang"
281,"841560125","Michael","Blythe","G","Sales Representative","Michael Blythe"
282,"191644724","Linda","Mitchell","C","Sales Representative","Linda Mitchell"
283,"615389812","Jillian","Carson","","Sales Representative","Jillian Carson"
284,"234474252","Garrett","Vargas","R","Sales Representative","Garrett Vargas"
285,"716374314","Tsvi","Reiter","Michael","Sales Representative","Tsvi Reiter"
286,"61161660","Pamela","Ansman-Wolfe","O","Sales Representative","Pamela Ansman-Wolfe"
287,"139397894","Shu","Ito","K","Sales Representative","Shu Ito"
288,"399771412","José","Saraiva","Edvaldo","Sales Representative","José Saraiva"
289,"987554265","David","Campbell","R","Sales Representative","David Campbell"
290,"982310417","Amy","Alberts","E","European Sales Manager","Amy Alberts"
291,"668991357","Jae","Pak","B","Sales Representative","Jae Pak"
292,"134219713","Ranjit","Varkey Chudukatil","R","Sales Representative","Ranjit Varkey Chudukatil"
293,"90836195","Tete","Mensa-Annan","A","Sales Representative","Tete Mensa-Annan"
294,"481044938","Syed","Abbas","E","Pacific Sales Manager","Syed Abbas"
295,"954276278","Rachel","Valdez","B","Sales Representative","Rachel Valdez"
296,"758596752","Lynn","Tsoflias","N","Sales Representative","Lynn Tsoflias"
