DepartmentID,StudentID,SectionID,StudentName,CourseID,CGPA,Result,CourseName,CourseType,Semester,ProfessorID,ProfessorName,DepartmentName
1000,111,2,"Kareem Travers",6000,1.96,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,111,2,"Kareem Travers",6000,1.96,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,128,7,"aadhan abaza",6000,1.91,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,128,7,"aadhan abaza",6000,1.91,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,155,16,"latronda abdel",6000,2.18,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,155,16,"latronda abdel",6000,2.18,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,182,1,"latvieu candelaria",6000,1.13,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,182,1,"latvieu candelaria",6000,1.13,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,212,3,"lauda canestro",6000,1.77,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,212,3,"lauda canestro",6000,1.77,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,226,2,"laughlin jindra",6000,1.18,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,226,2,"laughlin jindra",6000,1.18,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,238,11,"launcelot jipp",6000,2.2,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,238,11,"launcelot jipp",6000,2.2,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,254,16,"monarski jisu",6000,2.36,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,254,16,"monarski jisu",6000,2.36,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,268,5,"moncerat rensberger",6000,1.78,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,268,5,"moncerat rensberger",6000,1.78,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,332,13,"raeto rihana",6000,2.22,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,332,13,"raeto rihana",6000,2.22,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,367,15,"suraj swenceski",6000,1.6,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,367,15,"suraj swenceski",6000,1.6,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1000,383,5,"surekha toledo",6000,1.51,"Fail","Web Design","InPerson","1",500,"Jadon Ponce","Information Systems"
1002,383,5,"surekha toledo",6000,1.51,"Fail","Web Design","InPerson","4",511,"Vinny Norton","Industrial Engineering"
1009,112,2,"Olli Mosley",6001,1.55,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,112,2,"Olli Mosley",6001,1.55,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,129,14,"aadhav abbadessa",6001,1.22,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,129,14,"aadhav abbadessa",6001,1.22,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,213,18,"laudan canete",6001,1.54,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,213,18,"laudan canete",6001,1.54,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,256,2,"monasia jitchaku",6001,1.96,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,256,2,"monasia jitchaku",6001,1.96,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,269,15,"moncerath rensch",6001,1.73,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,269,15,"moncerath rensch",6001,1.73,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,283,19,"moncur rentfrow",6001,1.34,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,283,19,"moncur rentfrow",6001,1.34,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,311,15,"moneik repasky",6001,1.86,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,311,15,"moneik repasky",6001,1.86,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,333,12,"raetta rihanek",6001,1.15,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,333,12,"raetta rihanek",6001,1.15,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,368,11,"surajbhan tokley",6001,2.17,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,368,11,"surajbhan tokley",6001,2.17,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1009,384,13,"suren tolefree",6001,1.53,"Fail","Web Tools and Methods","InPerson","1",509,"Sumaiyah Herman","Regulatory Laws"
1010,384,13,"suren tolefree",6001,1.53,"Fail","Web Tools and Methods","InPerson","2",517,"Alara Rivera","Bioinformatics"
1000,144,18,"latrinity abbiss",6002,1.22,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,144,18,"latrinity abbiss",6002,1.22,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,169,5,"lattie abdou",6002,1.7,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,169,5,"lattie abdou",6002,1.7,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,185,11,"latwana candella",6002,1.59,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,185,11,"latwana candella",6002,1.59,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,201,7,"laubestein canel",6002,1.5,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,201,7,"laubestein canel",6002,1.5,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,228,19,"laughlyn jines",6002,1.52,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,228,19,"laughlyn jines",6002,1.52,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,271,19,"moncerrat rensen",6002,2.42,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,271,19,"moncerrat rensen",6002,2.42,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,284,6,"moncus rentie",6002,2.1,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,284,6,"moncus rentie",6002,2.1,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,298,17,"monds renzelman",6002,1.81,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,298,17,"monds renzelman",6002,1.81,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,335,19,"raeven rihn",6002,1.67,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,335,19,"raeven rihn",6002,1.67,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1000,370,16,"surajpal tokuoka",6002,1.7,"Fail","UX Design and Testing","Online","3",500,"Jadon Ponce","Information Systems"
1004,370,16,"surajpal tokuoka",6002,1.7,"Fail","UX Design and Testing","Online","2",506,"Shakir Goulding","Software Engineering"
1001,131,15,"aadhi abbas",6003,2.28,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,131,15,"aadhi abbas",6003,2.28,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,158,7,"latroy abdeldayen",6003,1.91,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,158,7,"latroy abdeldayen",6003,1.91,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,171,5,"lattimore abdul-haqq",6003,2.37,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,171,5,"lattimore abdul-haqq",6003,2.37,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,187,4,"latwanna candia",6003,1.86,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,187,4,"latwanna candia",6003,1.86,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,241,7,"laundyn jirak",6003,1.41,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,241,7,"laundyn jirak",6003,1.41,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,258,13,"monastersky jitender",6003,1.6,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,258,13,"monastersky jitender",6003,1.6,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,299,8,"mondy renzi",6003,1.92,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,299,8,"mondy renzi",6003,1.92,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,337,19,"raevon riihimaki",6003,1.38,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,337,19,"raevon riihimaki",6003,1.38,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1001,386,16,"surendar tolentino",6003,1.51,"Fail","Database Management and Design","Online","4",503,"Jacob Porter","Data Analytics Engineering"
1004,386,16,"surendar tolentino",6003,1.51,"Fail","Database Management and Design","Online","3",514,"Ann Storey","Software Engineering"
1002,146,12,"latrisa abbot",6004,1.46,"Fail","Design Patterns","Online","4",511,"Vinny Norton","Industrial Engineering"
