SalesRepID,SalesRep,Region
1,"Sioux Radcoolinator","NW"
2,"Tyrone Smithe","NE"
3,"Chantel Zoya","SW"
4,"Chin Pham","SE"
5,"Diego Vasque","MW"
6,"Vannessa Deloach","W"
7,"Shon Stein","NW"
8,"Tomi Benton","NE"
9,"Ghislaine Stidham","SW"
10,"Yoshiko Murillo","SE"
11,"Hoyt Potts","MW"
12,"Alysha Dewitt","W"
13,"Claudine Dupuis","NW"
14,"Shanta Spring","NE"
15,"Ramonita Babcock","SW"
16,"Janyce Betancourt","SE"
17,"Rhiannon Cathey","MW"
18,"Dominica Ordonez","W"
19,"Rana Burchfield","NW"
20,"Neida Ashe","NE"
21,"Marylouise Halverson","MW"
22,"Naoma Bloom","NW"
23,"JoJo Jones","W"
24,"Dean Washington","W"
25,"Kiki Lim","W"
