Department,Name,Gender,Salary,Location,Rating,Pay range,Bonus,Total Pay
Human Resources,Brose MacCorkell,Female,35940,Kaduna,Average,30000,970.38,36910.38
Accounting,Caron Kolakovic,Male,49920,Kaduna,Average,40000,998.4,50918.4
Business Development,Candy Aindrais,Female,116590,Lagos,Very Good,110000,8511.07,125101.07
Human Resources,Tadio Audritt,Others,99450,Abuja,Average,90000,2685.15,102135.15
Marketing,Jillana Gabbitis,Male,91360,Kaduna,Average,90000,3197.6,94557.6
Training,Vernor Atyea,Female,102930,Kaduna,Good,100000,6072.87,109002.87
Business Development,Gwenore Scotchmer,Female,105290,Kaduna,Very Poor,100000,526.45,105816.45
Human Resources,Darcy Brewitt,Male,116670,Kaduna,Average,110000,3150.09,119820.09
Services,Helaine Lyddy,Male,103110,Kaduna,Good,100000,5464.83,108574.83
Training,Josie Barnson,Female,74110,Kaduna,Very Good,70000,4668.93,78778.93
Services,Ulick Maingot,Female,42820,Kaduna,Average,40000,984.86,43804.86
Sales,Estell Kingsland,Male,32190,Kaduna,Average,30000,675.99,32865.99
Human Resources,Baxter Brocks,Female,39680,Abuja,Poor,30000,515.84,40195.84
Support,Evangelina Lergan,Male,61210,Kaduna,Average,60000,1713.88,62923.88
Engineering,Karyn Creeghan,Male,36540,Kaduna,Good,30000,1571.22,38111.22
Business Development,Blaire Ruckman,Male,61700,Kaduna,Average,60000,1480.8,63180.8
Product Management,Alisha Bloschke,Others,36480,Abuja,Average,30000,1167.36,37647.36
Business Development,Wyn Treadger,Female,69190,Kaduna,Good,60000,3459.5,72649.5
Research and Development,Stormy Church,Male,29880,Lagos,Very Poor,20000,149.4,30029.4
Sales,Axel Grigaut,Male,110780,Abuja,Poor,110000,1329.36,112109.36
Engineering,Issiah Cradick,Male,81380,Lagos,Not Rated,80000,0.0,81380.0
Training,Mackenzie Hannis,Female,57000,Abuja,Very Poor,50000,285.0,57285.0
Accounting,Pippy Shepperd,Female,44850,Kaduna,Very Good,40000,3184.35,48034.35
Business Development,Ottilie Vittel,Female,34500,Abuja,Not Rated,30000,0.0,34500.0
Marketing,Jakob Philippe,Male,51910,Kaduna,Good,50000,3010.78,54920.78
Business Development,Timmy Brenston,Male,43700,Lagos,Average,40000,1048.8,44748.8
Support,Daven Smout,Female,50800,Abuja,Very Good,50000,3860.8,54660.8
Research and Development,Janina Wolverson,Female,99680,Kaduna,Good,90000,5382.72,105062.72
Marketing,Andrea Penfold,Male,70230,Kaduna,Average,70000,2458.05,72688.05
Research and Development,Augusta Cheetham,Male,105470,Abuja,Average,100000,3480.51,108950.51
Product Management,Tarrah Wordsworth,Female,86340,Abuja,Poor,80000,863.4,87203.4
Sales,Jobie Basili,Female,39340,Kaduna,Good,30000,2006.34,41346.34
Product Management,Jordain Sparkwill,Female,107660,Abuja,Good,100000,4414.06,112074.06
Accounting,Fanchon Furney,Male,95950,Abuja,Average,90000,1919.0,97869.0
Research and Development,Oates Dinan,Female,104680,Lagos,Average,100000,3454.44,108134.44
Accounting,Patricia Dwelly,Male,91500,Lagos,Poor,90000,1098.0,92598.0
Accounting,Judie Di Bernardo,Male,117150,Abuja,Average,110000,2343.0,119493.0
Legal,Jori Ashleigh,Male,64270,Abuja,Average,60000,1349.67,65619.67
Marketing,Barr Faughny,Female,68010,Abuja,Average,60000,2380.35,70390.35
Research and Development,Shelbi Aldin,Female,40910,Abuja,Poor,40000,818.2,41728.2
Training,Felita Whitloe,Male,63450,Kaduna,Good,60000,3743.55,67193.55
Services,Halette Yesenev,Male,61920,Kaduna,Average,60000,1424.16,63344.16
Legal,Claudetta Petherick,Female,54520,Abuja,Poor,50000,1035.88,55555.88
Business Development,Lorain Tew,Female,71590,Lagos,Poor,70000,1288.62,72878.62
Services,Dulsea Folkes,Female,42160,Lagos,Very Good,40000,3035.52,45195.52
Product Management,Vlad Strangeway,Male,77740,Abuja,Good,70000,3187.34,80927.34
Training,Easter Pyke,Female,95680,Abuja,Average,90000,3827.2,99507.2
Marketing,Barny Fairweather,Male,77130,Lagos,Very Poor,70000,385.65,77515.65
Human Resources,Hedvige Stelfox,Female,33800,Abuja,Average,30000,912.6,34712.6
Services,Grover Cooksey,Others,74620,Kaduna,Poor,70000,1119.3,75739.3
Business Development,Cyrillus Garci,Male,100360,Lagos,Average,100000,2408.64,102768.64
Research and Development,Ashien Gallen,Female,115080,Abuja,Very Good,110000,9666.72,124746.72
Engineering,Delinda Snozzwell,Others,67010,Abuja,Good,60000,2881.43,69891.43
Accounting,Dane Wudeland,Female,80030,Kaduna,Poor,80000,960.36,80990.36
Support,Chauncey Schild,Female,107340,Abuja,Average,100000,3005.52,110345.52
Human Resources,Northrup Aires,Female,118300,Kaduna,Average,110000,3194.1,121494.1
Support,Margarete Blasing,Male,110970,Kaduna,Not Rated,110000,0.0,110970.0
Engineering,Margit Kunze,Male,94020,Abuja,Good,90000,4042.86,98062.86
Marketing,Zach Polon,Male,53540,Kaduna,Poor,50000,696.02,54236.02
Product Management,Addi Studdeard,Female,72500,Lagos,Very Poor,70000,362.5,72862.5
Training,Krystal Lambswood,Female,41600,Abuja,Not Rated,40000,0.0,41600.0
Training,Shellysheldon Mahady,Male,114690,Lagos,Very Poor,110000,573.45,115263.45
Business Development,Selby Hacker,Male,37800,Lagos,Average,30000,907.2,38707.2
Human Resources,Monti Burdus,Female,39650,Abuja,Average,30000,1070.55,40720.55
Services,Marni Jull,Female,84200,Abuja,Good,80000,4462.6,88662.6
Accounting,Delphine Jewis,Female,71820,Kaduna,Average,70000,1436.4,73256.4
Business Development,Colby Reuven,Male,101790,Lagos,Average,100000,2442.96,104232.96
Training,Myrilla Mercik,Female,96660,Kaduna,Average,90000,3866.4,100526.4
Product Management,L;urette Bontein,Male,47650,Abuja,Good,40000,1953.65,49603.65
Business Development,Gray Seamon,Female,78540,Kaduna,Average,70000,1884.96,80424.96
Engineering,Eward Astlett,Male,41670,Lagos,Average,40000,1458.45,43128.45
Legal,Sandy Cadden,Female,95980,Lagos,Average,90000,2015.58,97995.58
Product Management,Lezlie Balmann,Male,112460,Kaduna,Poor,110000,1124.6,113584.6
Business Development,Aldrich Glenny,Male,90880,Abuja,Not Rated,90000,0.0,90880.0
Accounting,Tracy Renad,Female,114890,Abuja,Average,110000,2297.8,117187.8
Support,Peggi Bullas,Male,56620,Abuja,Average,50000,1585.36,58205.36
Product Management,Reidar Skechley,Male,40770,Abuja,Average,40000,1304.64,42074.64
Research and Development,Issy McLevie,Male,84940,Kaduna,Poor,80000,1698.8,86638.8
Training,Isa Mogie,Female,50950,Kaduna,Good,50000,3006.05,53956.05
Services,Lilyan Klimpt,Male,58960,Lagos,Average,50000,1356.08,60316.08
Product Management,Nani Brockley,Male,47000,Abuja,Good,40000,1927.0,48927.0
Human Resources,Evanne Levens,Male,36880,Kaduna,Good,30000,1991.52,38871.52
Support,Emmanuel Westrey,Female,87400,Kaduna,Average,80000,2447.2,89847.2
Business Development,Maximo Guirard,Female,37020,Kaduna,Average,30000,888.48,37908.48
Research and Development,Archibald Filliskirk,Male,40400,Abuja,Very Good,40000,3393.6,43793.6
Research and Development,Inger Chapelhow,Female,84310,Abuja,Good,80000,4552.74,88862.74
Accounting,Gavan Puttan,Male,35940,Abuja,Good,30000,2084.52,38024.52
Training,Tiffani Mecozzi,Female,119750,Lagos,Average,110000,4790.0,124540.0
Human Resources,Crawford Scad,Male,72880,Lagos,Average,70000,1967.76,74847.76
Marketing,Izzy Brisco,Female,108080,Abuja,Average,100000,3782.8,111862.8
Accounting,Dewie Stodart,Male,78020,Kaduna,Average,70000,1560.4,79580.4
Support,Madlen Ashburner,Male,42240,Abuja,Very Good,40000,3210.24,45450.24
Engineering,Devinne Tuny,Male,39970,Kaduna,Average,30000,1398.95,41368.95
