CustomerID,Prefix,FirstName,LastName,CustomerName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
"BB120","MR.","SHANNON","CARLSON","MR. SHANNON CARLSON",1964-04-01 00:00:00.000,"S","M","shannon38@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB216","MR.","JESSIE","LIU","MR. JESSIE LIU",1964-09-11 00:00:00.000,"S","M","jessie9@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB219","MR.","RUBEN","KAPOOR","MR. RUBEN KAPOOR",1963-11-05 00:00:00.000,"S","M","ruben1@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB552","MR.","RUBEN","MUÑOZ","MR. RUBEN MUÑOZ",1974-11-09 00:00:00.000,"S","M","ruben30@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1009","MR.","JOE","RANA","MR. JOE RANA",1965-09-07 00:00:00.000,"S","M","joe14@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1095","MR.","JARROD","SURI","MR. JARROD SURI",1963-12-20 00:00:00.000,"S","M","jarrod0@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1427","MR.","DUSTIN","GOLDSTEIN","MR. DUSTIN GOLDSTEIN",1975-10-09 00:00:00.000,"S","M","dustin20@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1429","MR.","CLAYTON","JAI","MR. CLAYTON JAI",1976-07-08 00:00:00.000,"S","M","clayton29@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1752","MR.","IRVING","SCHMIDT","MR. IRVING SCHMIDT",1976-03-04 00:00:00.000,"S","M","irving0@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB1754","MR.","ALAN","HUANG","MR. ALAN HUANG",1974-02-11 00:00:00.000,"S","M","alan10@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2178","MR.","BRENDAN","RAJI","MR. BRENDAN RAJI",1963-08-02 00:00:00.000,"S","M","brendan19@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2179","MR.","GREGORY","BECKER","MR. GREGORY BECKER",1963-04-12 00:00:00.000,"S","M","gregory24@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2198","MR.","MARCO","VANCE","MR. MARCO VANCE",1964-03-01 00:00:00.000,"S","M","marco4@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2199","MR.","ALEJANDRO","HU","MR. ALEJANDRO HU",1964-07-08 00:00:00.000,"S","M","alejandro23@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2201","MR.","SHANE","FERNANDEZ","MR. SHANE FERNANDEZ",1964-12-10 00:00:00.000,"S","M","shane18@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2678","MR.","JAY","RAMAN","MR. JAY RAMAN",1976-11-14 00:00:00.000,"S","M","jay19@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB2680","MR.","DAMIEN","YE","MR. DAMIEN YE",1976-02-01 00:00:00.000,"S","M","damien7@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3023","MR.","ROY","MARTINEZ","MR. ROY MARTINEZ",1968-02-11 00:00:00.000,"S","M","roy18@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3024","MR.","PEDRO","RANA","MR. PEDRO RANA",1968-04-17 00:00:00.000,"S","M","pedro11@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3026","MR.","EUGENE","LIANG","MR. EUGENE LIANG",1965-04-02 00:00:00.000,"S","M","eugene21@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3112","MR.","JOHNNY","ANAND","MR. JOHNNY ANAND",1965-06-14 00:00:00.000,"S","M","johnny23@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3261","MR.","EDWIN","ZHENG","MR. EDWIN ZHENG",1974-11-06 00:00:00.000,"S","M","edwin20@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB3358","MR.","CARL","CHANDER","MR. CARL CHANDER",1964-07-04 00:00:00.000,"S","M","carl15@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4149","MR.","BRENDAN","ANDERSEN","MR. BRENDAN ANDERSEN",1976-06-17 00:00:00.000,"S","M","brendan11@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4246","MR.","CLAYTON","CHEN","MR. CLAYTON CHEN",1965-02-22 00:00:00.000,"S","M","clayton2@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4247","MR.","MICAH","LIU","MR. MICAH LIU",1964-09-10 00:00:00.000,"S","M","micah14@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4248","MR.","TROY","ARUN","MR. TROY ARUN",1964-03-11 00:00:00.000,"S","M","troy7@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4251","MR.","PEDRO","GUTIERREZ","MR. PEDRO GUTIERREZ",1964-02-09 00:00:00.000,"S","M","pedro31@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4624","MR.","WARREN","WU","MR. WARREN WU",1968-01-18 00:00:00.000,"S","M","warren23@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4629","MR.","RICKY","GILL","MR. RICKY GILL",1964-09-22 00:00:00.000,"S","M","ricky14@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB4736","MR.","ROY","MADAN","MR. ROY MADAN",1975-06-20 00:00:00.000,"S","M","roy8@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB5192","MR.","KYLE","PEREZ","MR. KYLE PEREZ",1965-08-22 00:00:00.000,"S","M","kyle33@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB5615","MR.","GARY","JIMENEZ","MR. GARY JIMENEZ",1974-08-13 00:00:00.000,"S","M","gary16@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB5705","MR.","BILLY","GILL","MR. BILLY GILL",1963-06-21 00:00:00.000,"S","M","billy15@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6007","MR.","SAMUEL","HAYES","MR. SAMUEL HAYES",1968-06-21 00:00:00.000,"S","M","samuel22@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6008","MR.","CONNOR","TURNER","MR. CONNOR TURNER",1968-04-28 00:00:00.000,"S","M","connor34@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6067","MR.","THOMAS","SMITH","MR. THOMAS SMITH",1968-09-02 00:00:00.000,"S","M","thomas60@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6231","MR.","JOSHUA","JACKSON","MR. JOSHUA JACKSON",1974-10-13 00:00:00.000,"S","M","joshua13@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6293","MR.","TOMMY","KUMAR","MR. TOMMY KUMAR",1968-04-27 00:00:00.000,"S","M","tommy4@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6294","MR.","LUCAS","PETERSON","MR. LUCAS PETERSON",1968-05-16 00:00:00.000,"S","M","lucas77@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6296","MR.","IVAN","SAI","MR. IVAN SAI",1965-01-20 00:00:00.000,"S","M","ivan4@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6316","MR.","ALAN","ZHU","MR. ALAN ZHU",1964-09-24 00:00:00.000,"S","M","alan17@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6318","MR.","DEREK","BECK","MR. DEREK BECK",1964-05-20 00:00:00.000,"S","M","derek18@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB6612","MR.","AUSTIN","ROBINSON","MR. AUSTIN ROBINSON",1968-03-18 00:00:00.000,"S","M","austin34@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB7264","MR.","LOUIS","TANG","MR. LOUIS TANG",1964-08-09 00:00:00.000,"S","M","louis21@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB7578","MR.","CODY","MURPHY","MR. CODY MURPHY",1968-11-14 00:00:00.000,"S","M","cody15@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB7579","MR.","SETH","WRIGHT","MR. SETH WRIGHT",1968-05-15 00:00:00.000,"S","M","seth28@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB7695","MR.","RAFAEL","GAO","MR. RAFAEL GAO",1965-10-23 00:00:00.000,"S","M","rafael16@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8040","MR.","STEVEN","RIVERA","MR. STEVEN RIVERA",1975-02-10 00:00:00.000,"S","M","steven26@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8122","MR.","NATHAN","KUMAR","MR. NATHAN KUMAR",1963-10-19 00:00:00.000,"S","M","nathan25@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8531","MR.","TERRANCE","SANCHEZ","MR. TERRANCE SANCHEZ",1968-05-08 00:00:00.000,"S","M","terrance18@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8538","MR.","DEREK","RAJI","MR. DEREK RAJI",1964-03-03 00:00:00.000,"S","M","derek19@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8542","MR.","CARL","RAJI","MR. CARL RAJI",1963-03-16 00:00:00.000,"S","M","carl20@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8543","MR.","ALLEN","FERNANDEZ","MR. ALLEN FERNANDEZ",1963-05-11 00:00:00.000,"S","M","allen14@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8558","MR.","MARVIN","SANZ","MR. MARVIN SANZ",1963-02-26 00:00:00.000,"S","M","marvin20@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8559","MR.","RUBEN","GARCIA","MR. RUBEN GARCIA",1963-09-20 00:00:00.000,"S","M","ruben16@mega-market.com","$70,000",0,"Bachelors","Professional","N"
"BB8560","MR.","WYATT","WILLIAMS","MR. WYATT WILLIAMS",1963-08-04 00:00:00.000,"S","M","wyatt2@mega-market.com","$70,000",0,"Bachelors","Professional","N"
