Cod.Vendedor,Vendedor,Supervisor
10001201,"Cecília Castro","Ana Bento"
10001205,"Maria Laura","Ana Bento"
10001206,"Miguel Henrique","Giovana Lopes"
10095188,"Ana Correia","Matheus Siqueira"
10095251,"Tomás Rodrigues","Lucas Pali"
10095256,"João Gabriel","Lucas Pali"
10095259,"Lorena Cavalcanti","Lucas Pali"
10095336,"Ruan Silva","Ana Bento"
10101603,"Lucas Carvalho","Karine Lago"
10101611,"Maria Helena","Laennder Alves"
10195187,"Luiz Otávio","Ana Bento"
10195191,"Fábio Araujo","Ana Bento"
10195193,"Maria Alice","Lucas Pali"
10195195,"Isadora Rodrigues","Karine Lago"
10195302,"Breno Fernandes","Matheus Siqueira"
10195310,"Joaquim Pereira","Matheus Siqueira"
10195341,"Antonella Correa","Matheus Siqueira"
10195348,"Larissa Alves","Matheus Siqueira"
10501202,"Luiz Henrique","Giovana Lopes"
10501204,"Ian Correia","Karine Lago"
10501302,"Luís Gomes","Lucas Pali"
10501303,"Bento Melo","Matheus Siqueira"
10501304,"Júlio Costa","Karine Lago"
10501305,"Samuel Lima","Giovana Lopes"
10501309,"Sofia Ferreira","Matheus Siqueira"
10501311,"Théo Alves","Karine Lago"
10501316,"Pedro Miguel","Ana Bento"
10501318,"Caio Rodrigues","Laennder Alves"
10501405,"Joana Barros","Giovana Lopes"
10501605,"Julia Sousa","Ana Bento"
10501608,"Ana Cecília","Laennder Alves"
10501609,"Kaique Barros","Matheus Siqueira"
10501610,"Laís Goncalves","Giovana Lopes"
10501616,"Ana Beatriz","Ana Bento"
10501618,"Ana Luiza","Matheus Siqueira"
10501620,"Benjamin Barbosa","Giovana Lopes"
10501999,"Lucca Santos","Karine Lago"
10502503,"Maria Valentina","Giovana Lopes"
10502999,"Victor Hugo","Laennder Alves"
10504100,"Francisco Cunha","Giovana Lopes"
10505201,"Arthur Miguel","Giovana Lopes"
10507100,"Davi Lucas","Matheus Siqueira"
10507999,"Marina Dias","Karine Lago"
10509996,"Maya Silva","Giovana Lopes"
10509998,"Milena Cunha","Matheus Siqueira"
10595163,"Maria Fernanda","Karine Lago"
10595176,"Ana Lívia","Lucas Pali"
10595181,"Eduardo Silva","Lucas Pali"
10595183,"Kauan Castro","Laennder Alves"
10595185,"Danilo Silva","Matheus Siqueira"
10595190,"Pedro Lucas","Karine Lago"
10595192,"Maria Eduarda","Giovana Lopes"
10595194,"João Carvalho","Laennder Alves"
10595196,"Henrique Oliveira","Matheus Siqueira"
10595197,"Emanuel Melo","Laennder Alves"
10595198,"Júlia Cavalcanti","Giovana Lopes"
10595199,"Vitór Araujo","Matheus Siqueira"
10595201,"Enzo Gabriel","Karine Lago"
10595203,"Evelyn Cardoso","Ana Bento"
10595204,"Leila Castro","Giovana Lopes"
10595206,"Fernanda Gomes","Lucas Pali"
10595209,"Bianca Souza","Ana Bento"
10595212,"Pedro Henrique","Laennder Alves"
10595215,"Davi Miguel","Ana Bento"
10595217,"Esther Barbosa","Giovana Lopes"
10595218,"Luiz Felipe","Ana Bento"
10595221,"Rodrigo Ribeiro","Laennder Alves"
10595222,"Laura Martins","Matheus Siqueira"
10595225,"Gabriela Souza","Laennder Alves"
10595226,"Carolina Carvalho","Karine Lago"
10595229,"Luana Ferreira","Ana Bento"
10595230,"Ayla Correia","Karine Lago"
10595231,"Isabelle Oliveira","Giovana Lopes"
10595233,"José Cardoso","Matheus Siqueira"
10595236,"Arthur Gabriel","Karine Lago"
10595239,"Aline Castro","Ana Bento"
10595240,"Maria Cecília","Laennder Alves"
10595242,"Ryan Gomes","Laennder Alves"
10595243,"Thiago Fernandes","Matheus Siqueira"
10595246,"Stella Oliveira","Matheus Siqueira"
10595247,"Thomas Carvalho","Ana Bento"
10595248,"Isis Melo","Ana Bento"
10595252,"Bruno Souza","Laennder Alves"
10595253,"Gabriel Dias","Giovana Lopes"
10595257,"Heloísa Souza","Giovana Lopes"
