CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
11471,"Latasha","Suarez","Suarez, Latasha",1973-09-25 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",1,1,"29, avenue de la Gare",2016-05-18 00:00:00.000,"2-5 Miles"
11600,"Linda","Rubio","Rubio, Linda",1977-04-07 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"2616, rue de Linois",2016-05-07 00:00:00.000,"2-5 Miles"
11614,"Katrina","Sharma","Sharma, Katrina",1975-08-17 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"Nollendorfplatz 62",2015-05-11 00:00:00.000,"2-5 Miles"
12378,"Brianna","Sanchez","Sanchez, Brianna",1979-08-20 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",1,1,"Zeiter Weg 9922",2015-08-08 00:00:00.000,"2-5 Miles"
12379,"Bridget","Chande","Chande, Bridget",1978-08-19 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"Lindenalle 4284",2016-04-23 00:00:00.000,"2-5 Miles"
12515,"Shelby","Bailey","Bailey, Shelby",1977-06-03 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",1,1,"111, rue des Pyrenees",2016-07-25 00:00:00.000,"2-5 Miles"
12516,"Shawna","Chander","Chander, Shawna",1977-05-27 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"Buergermeister-ulrich-str 888",2016-12-18 00:00:00.000,"2-5 Miles"
12517,"Alexa","Watson","Watson, Alexa",1977-08-25 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"Residenz Straße 98",2016-10-21 00:00:00.000,"2-5 Miles"
12518,"Jacquelyn","Dominguez","Dominguez, Jacquelyn",1977-09-27 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",0,1,"Werftstr 544",2016-08-02 00:00:00.000,"2-5 Miles"
12524,"Kate","Shan","Shan, Kate",1975-01-24 00:00:00.000,"S","F",30000,0,0,"Partial College","Clerical",1,1,"312, rue Villedo",2016-06-15 00:00:00.000,"2-5 Miles"
