Customer_Id,Customer_Fname,Customer_Lname,Customer_Segment,Phone,Zip_code,City,Country,State_Prefecture,Region,District
5194,"Mary","Smith","Private",951516938,"279-0004","Nekozane","JAPAN","Chiba","Ken","District #02"
6693,"Mary","Smith","Company",956449321,"279-0004","Nekozane","JAPAN","Chiba","Ken","District #02"
1396,"Mary","Smith","Company",935603663,"279-0025","Tekkoudoori","JAPAN","Chiba","Ken","District #02"
2908,"Mary","Smith","Company",957480666,"294-0028","Higashinagata","JAPAN","Chiba","Ken","District #02"
5792,"Mary","Smith","Company",958880523,"294-0031","Ooka","JAPAN","Chiba","Ken","District #02"
2151,"Mary","Smith","Company",956894710,"294-0032","Kasana","JAPAN","Chiba","Ken","District #02"
3274,"Mary","Smith","Private",951757675,"294-0312","Konuma","JAPAN","Chiba","Ken","District #02"
1262,"Mary","Smith","Company",931223635,"294-0314","Ito","JAPAN","Chiba","Ken","District #02"
5802,"Mary","Smith","Private",959750574,"294-0314","Ito","JAPAN","Chiba","Ken","District #02"
2301,"Mary","Smith","Private",959896686,"270-0206","Sekiyadomachi","JAPAN","Chiba","Ken","District #02"
4921,"Mary","Smith","Company",957092954,"270-0213","Kirigasaku","JAPAN","Chiba","Ken","District #02"
2914,"Mary","Smith","Company",958541082,"270-0216","Nishigouya","JAPAN","Chiba","Ken","District #02"
3819,"Mary","Smith","Private",957129100,"278-0012","Seto","JAPAN","Chiba","Ken","District #02"
544,"Mary","Smith","Private",930109789,"278-0036","Nakanodaikashimachou","JAPAN","Chiba","Ken","District #02"
5529,"Mary","Smith","Company",955013781,"270-0107","Nishifukai","JAPAN","Chiba","Ken","District #02"
5800,"Mary","Smith","Private",953628872,"271-0091","Honchou","JAPAN","Chiba","Ken","District #02"
7063,"Mary","Smith","Private",955497639,"271-0097","Kuriyama","JAPAN","Chiba","Ken","District #02"
1399,"Mary","Smith","Company",931460555,"292-0444","Tomida","JAPAN","Chiba","Ken","District #02"
3625,"Mary","Smith","Private",957784132,"292-0502","Hirayama","JAPAN","Chiba","Ken","District #02"
5372,"Mary","Smith","Company",955188152,"292-0534","Takihara","JAPAN","Chiba","Ken","District #02"
3211,"Mary","Smith","Private",954165147,"292-1144","Hougi","JAPAN","Chiba","Ken","District #02"
4564,"Mary","Smith","Company",953237064,"292-1144","Hougi","JAPAN","Chiba","Ken","District #02"
7376,"Mary","Smith","Private",951307529,"292-1173","Ooiwa","JAPAN","Chiba","Ken","District #02"
5722,"Mary","Smith","Private",955452485,"292-1176","Shukubara","JAPAN","Chiba","Ken","District #02"
4628,"Mary","Smith","Company",957540571,"299-1121","Tokoshiro","JAPAN","Chiba","Ken","District #02"
635,"Mary","Smith","Company",938364499,"299-1151","Nakano","JAPAN","Chiba","Ken","District #02"
1495,"Mary","Smith","Company",932789427,"299-1166","Youkoudai","JAPAN","Chiba","Ken","District #02"
2268,"Mary","Smith","Company",950154512,"272-0004","Baraki","JAPAN","Chiba","Ken","District #02"
3953,"Mary","Smith","Company",954695481,"272-0032","Oosu","JAPAN","Chiba","Ken","District #02"
4103,"Mary","Smith","Private",958138133,"272-0145","Shimajiri","JAPAN","Chiba","Ken","District #02"
73,"Mary","Smith","Private",931294913,"293-0021","Futsutsu","JAPAN","Chiba","Ken","District #02"
6004,"Mary","Smith","Private",958947771,"299-1747","Kojikoma","JAPAN","Chiba","Ken","District #02"
6825,"Mary","Smith","Private",956060693,"299-1759","Terao","JAPAN","Chiba","Ken","District #02"
7561,"Mary","Smith","Company",950798397,"273-0002","Higashifunabashi","JAPAN","Chiba","Ken","District #02"
4769,"Mary","Smith","Private",950785598,"273-0031","Nishifuna","JAPAN","Chiba","Ken","District #02"
7240,"Mary","Smith","Private",958567942,"273-0866","Natsumidai","JAPAN","Chiba","Ken","District #02"
461,"Mary","Smith","Private",933451300,"276-0024","Katsuta","JAPAN","Chiba","Ken","District #02"
4511,"Mary","Smith","Company",958081490,"276-0037","Takatsuhigashi","JAPAN","Chiba","Ken","District #02"
2118,"Mary","Smith","Private",953195960,"276-0046","Oowadashinden","JAPAN","Chiba","Ken","District #02"
5552,"Mary","Smith","Company",956292900,"286-0202","Hiyoshikura","JAPAN","Chiba","Ken","District #02"
7500,"Mary","Smith","Company",958171053,"286-0221","Nanae","JAPAN","Chiba","Ken","District #02"
6163,"Mary","Smith","Private",950620099,"286-0223","Shinnakazawa","JAPAN","Chiba","Ken","District #02"
7096,"Mary","Smith","Company",952419318,"283-0034","Oonuma","JAPAN","Chiba","Ken","District #02"
665,"Mary","Smith","Private",931999744,"283-0052","Ninofukuro","JAPAN","Chiba","Ken","District #02"
3296,"Mary","Smith","Private",951432042,"270-1403","Kawarago","JAPAN","Chiba","Ken","District #02"
649,"Mary","Smith","Private",930638708,"283-0104","Katakai","JAPAN","Chiba","Ken","District #02"
4385,"Mary","Smith","Company",958817346,"289-1747","Soneai","JAPAN","Chiba","Ken","District #02"
6042,"Mary","Smith","Private",950742481,"285-0076","Iiduka","JAPAN","Chiba","Ken","District #02"
4822,"Mary","Smith","Private",950304859,"285-0803","Goudo","JAPAN","Chiba","Ken","District #02"
1755,"Mary","Smith","Private",936067288,"285-0805","Koshinoduka","JAPAN","Chiba","Ken","District #02"
1335,"Mary","Smith","Company",936692807,"285-0813","Ishikawa","JAPAN","Chiba","Ken","District #02"
6421,"Mary","Smith","Company",959422218,"286-0021","Tsuchiya","JAPAN","Chiba","Ken","District #02"
5838,"Mary","Smith","Private",952798680,"286-0036","Karabe","JAPAN","Chiba","Ken","District #02"
2142,"Mary","Smith","Company",959016641,"286-0044","Fudougaoka","JAPAN","Chiba","Ken","District #02"
7348,"Mary","Smith","Private",954265968,"286-0106","Tokkou","JAPAN","Chiba","Ken","District #02"
6175,"Mary","Smith","Private",952436405,"286-0107","Horinouchi","JAPAN","Chiba","Ken","District #02"
4201,"Mary","Smith","Company",956831816,"286-0811","Isobe","JAPAN","Chiba","Ken","District #02"
6920,"Mary","Smith","Private",956591542,"287-0232","Kuizaki","JAPAN","Chiba","Ken","District #02"
4056,"Mary","Smith","Private",958846484,"287-0234","Matsuko","JAPAN","Chiba","Ken","District #02"
6337,"Mary","Smith","Company",951893325,"289-0111","Nagi","JAPAN","Chiba","Ken","District #02"
3066,"Mary","Smith","Company",952535279,"289-0115","Jizouharashinden","JAPAN","Chiba","Ken","District #02"
2227,"Mary","Smith","Company",950899814,"289-0121","Oosuge","JAPAN","Chiba","Ken","District #02"
5187,"Mary","Smith","Private",952539455,"297-0009","Kitaduka","JAPAN","Chiba","Ken","District #02"
