CustomerID,FirstName,LastName,Gender,Occupation,Age,Street,City,State,Zipcode,PhoneNo,SSN,MembershipTypeID,BookingID,StartDate,EndDate,Duration,StationID,BikeID,Discount,TotalCost,PaidCost,Commisssion
1,John,Doe,Male,Student,23,Park st,Boston,MA,2115,98988,1111,,1011,2021-03-26 00:00:00.000,2021-03-27 00:00:00.000,22,401.0,501,0.0,99,99.0,0.0
3,Mary,Donner,Female,Employee,32,Parkino dr,Cambridge,MA,2345,6848984848,111111131,101.0,1003,2021-03-22 00:00:00.000,2021-03-23 00:00:00.000,14,,505,4.9,49,44.1,9.8
7,Jenny,Johny,Female,Student,24,Audrey st,Boston,MA,2133,6170944008,111111115,105.0,1007,2021-03-25 00:00:00.000,2021-03-25 00:00:00.000,12,409.0,510,5.4,54,48.6,0.0
1,John,Doe,Male,Student,23,Park st,Boston,MA,2115,98988,1111,,1001,2021-03-22 00:00:00.000,2021-03-22 00:00:00.000,2,402.0,503,0.0,10,10.0,0.0
5,Mart,Guptill,Male,Student,21,Hunt dr,Boston,MA,2045,8800044748,111111113,103.0,1010,2021-03-25 00:00:00.000,2021-03-26 00:00:00.000,10,,509,4.5,45,40.5,9.0
4,Martin,Gu,Male,Student,22,Pant dr,Boston,MA,2145,7848944748,111111112,102.0,1004,2021-03-23 00:00:00.000,2021-03-23 00:00:00.000,4,402.0,503,2.0,20,18.0,0.0
2,Mark,Don,Male,Employee,31,Parkinosn st,Boston,MA,2105,9898989898,1111111111,,1012,2021-03-26 00:00:00.000,2021-03-28 00:00:00.000,30,,509,0.0,120,120.0,24.0
1,John,Doe,Male,Student,23,Park st,Boston,MA,2115,98988,1111,,1006,2021-03-24 00:00:00.000,2021-03-24 00:00:00.000,8,406.0,507,0.0,28,28.0,0.0
4,Martin,Gu,Male,Student,22,Pant dr,Boston,MA,2145,7848944748,111111112,102.0,1005,2021-03-23 00:00:00.000,2021-03-24 00:00:00.000,24,,502,7.2,72,64.8,14.4
4,Martin,Gu,Male,Student,22,Pant dr,Boston,MA,2145,7848944748,111111112,102.0,1008,2021-03-25 00:00:00.000,2021-03-27 00:00:00.000,35,405.0,506,14.0,140,126.0,0.0
