StaffID,StaffName,StaffType
300,"Arla Traynor","P"
301,"Niyah Solomon","P"
302,"Blythe Holt","P"
303,"Sherri Roman","P"
304,"Eren Cullen","P"
305,"Salim Patrick","P"
306,"Kaycee Duncan","P"
307,"Teresa Buckley","C"
308,"Leanna Byrne","C"
309,"Kai Sharpe","C"
310,"Aasiyah Noble","C"
311,"Aqib Ferrell","C"
312,"Taslima Walmsley","C"
313,"Tommy-Lee Curry","P"
314,"Makenzie Ware","C"
315,"Bradlee Evans","P"
316,"Fatima Sutton","P"
317,"Eilish Cochran","C"
318,"Riley-James Huerta","C"
319,"Ishika Archer","C"
