COD_PART,variable,value
1,NOME_PART,CLIENTE TESTE 1
2,NOME_PART,CLIENTE TESTE 2
3,NOME_PART,CLIENTE TESTE 3
4,NOME_PART,CLIENTE TESTE 4
5,NOME_PART,CLIENTE TESTE 5
6,NOME_PART,CLIENTE TESTE 6
7,NOME_PART,CLIENTE TESTE 7
8,NOME_PART,CLIENTE TESTE 8
9,NOME_PART,CLIENTE TESTE 9
10,NOME_PART,CLIENTE TESTE 10
11,NOME_PART,CLIENTE TESTE 11
12,NOME_PART,CLIENTE TESTE 12
13,NOME_PART,CLIENTE TESTE 13
14,NOME_PART,CLIENTE TESTE 14
15,NOME_PART,CLIENTE TESTE 15
16,NOME_PART,CLIENTE TESTE 16
17,NOME_PART,CLIENTE TESTE 17
18,NOME_PART,CLIENTE TESTE 18
19,NOME_PART,CLIENTE TESTE 19
20,NOME_PART,CLIENTE TESTE 20
21,NOME_PART,CLIENTE TESTE 21
22,NOME_PART,CLIENTE TESTE 22
23,NOME_PART,CLIENTE TESTE 23
24,NOME_PART,CLIENTE TESTE 24
25,NOME_PART,CLIENTE TESTE 25
26,NOME_PART,CLIENTE TESTE 26
27,NOME_PART,CLIENTE TESTE 27
28,NOME_PART,CLIENTE TESTE 28
29,NOME_PART,CLIENTE TESTE 29
30,NOME_PART,CLIENTE TESTE 30
31,NOME_PART,FORNECEDOR 31
32,NOME_PART,FORNECEDOR 32
33,NOME_PART,FORNECEDOR 33
34,NOME_PART,FORNECEDOR 34
35,NOME_PART,FORNECEDOR 35
36,NOME_PART,FORNECEDOR 36
37,NOME_PART,FORNECEDOR 37
38,NOME_PART,FORNECEDOR 38
39,NOME_PART,FORNECEDOR 39
40,NOME_PART,FORNECEDOR 40
1,CNPJ_CPF_PART,0
2,CNPJ_CPF_PART,0
3,CNPJ_CPF_PART,0
4,CNPJ_CPF_PART,0
5,CNPJ_CPF_PART,0
6,CNPJ_CPF_PART,0
7,CNPJ_CPF_PART,0
8,CNPJ_CPF_PART,0
9,CNPJ_CPF_PART,0
10,CNPJ_CPF_PART,0
11,CNPJ_CPF_PART,0
12,CNPJ_CPF_PART,0
13,CNPJ_CPF_PART,0
14,CNPJ_CPF_PART,0
15,CNPJ_CPF_PART,0
16,CNPJ_CPF_PART,0
17,CNPJ_CPF_PART,0
18,CNPJ_CPF_PART,0
19,CNPJ_CPF_PART,0
20,CNPJ_CPF_PART,0
21,CNPJ_CPF_PART,0
22,CNPJ_CPF_PART,0
23,CNPJ_CPF_PART,0
24,CNPJ_CPF_PART,0
25,CNPJ_CPF_PART,0
26,CNPJ_CPF_PART,0
27,CNPJ_CPF_PART,0
28,CNPJ_CPF_PART,0
29,CNPJ_CPF_PART,0
30,CNPJ_CPF_PART,0
