Buyer,Buyer-ID,Retailer,Category
"Dave","1","Cost Plus","Collectables"
"Pete","2","Cost Plus","Construction"
"Tom","3","Cost Plus","Dress Up"
"Will","4","Cost Plus","Vehicles"
"Sally","5","Cost Plus","Blasters"
"Sandra","6","Cost Plus","Preschool"
"Saki","7","Cost Plus","Miniature Dolls"
"Lauren","8","Cost Plus","Tech Toys"
"Barbara","9","Cost Plus","Ride Ons"
"George","10","Cost Plus","Seasonal"
"Zack","11","CrytoMrt","Collectables"
"Bill","12","CrytoMrt","Construction"
"Timothy","13","CrytoMrt","Dress Up"
"Doreen","14","CrytoMrt","Vehicles"
"Martha","15","CrytoMrt","Blasters"
"Jed","16","CrytoMrt","Preschool"
"Jess","17","CrytoMrt","Miniature Dolls"
"Billy","18","CrytoMrt","Tech Toys"
"Michelle","19","CrytoMrt","Ride Ons"
"Ron","20","CrytoMrt","Seasonal"
"Ms Verplaneck","21","Top Dollar","Collectables"
"Mr Johnson","22","Top Dollar","Construction"
"Mr Samual","23","Top Dollar","Dress Up"
"Ms Vicki","24","Top Dollar","Vehicles"
"Ms Sacced","25","Top Dollar","Blasters"
"Mr Lewis","26","Top Dollar","Preschool"
"Ms Grainy","27","Top Dollar","Miniature Dolls"
"Ms Butlr","28","Top Dollar","Tech Toys"
"Mr Jones","29","Top Dollar","Ride Ons"
"Ms Holly","30","Top Dollar","Seasonal"
"Peter H","31","Hockey & More","Mutli"
"Harriet N","32","Hockey & More","Multi"
"Jackson T","33","Hockey & More","Multi"
