Employee,StartDate,EndDate,Days Sick
"Frans",2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,30
"Sonja",2018-11-01 00:00:00.000,2018-11-06 00:00:00.000,6
"Frans",2018-11-12 00:00:00.000,2018-11-16 00:00:00.000,5
"Sonja",2018-11-14 00:00:00.000,2018-11-15 00:00:00.000,2
"Frans",2018-11-14 00:00:00.000,2018-11-16 00:00:00.000,3
"Sonja",2018-11-23 00:00:00.000,2018-11-25 00:00:00.000,3
"Remi",2018-12-10 00:00:00.000,2018-12-12 00:00:00.000,3
"Remi",2019-01-27 00:00:00.000,2019-01-31 00:00:00.000,5
"Frans",2019-02-01 00:00:00.000,,1227
"Sonja",2019-02-06 00:00:00.000,,1222
