bankAccNr,Source.Name,Count,custSupID,custSupName
"0123456789","ExactOnline_V32_2016.xaf",3,"17","Picasso"
"0123456789","ExactOnline_V32_2016.xaf",3,"18","Rakers Sport B.V."
"0123456789","ExactOnline_V32_2016.xaf",3,"25","Belgium Bouncers"
"[Table]","ExactOnline_V32_2016.xaf",2,"26","King"
"[Table]","ExactOnline_V32_2016.xaf",2,"000000","Toro Rosso BV"
"0123456789","Multivers_V32_2017.xaf",3,"D1004","Garden Impressions Beverly"
"0123456789","Multivers_V32_2017.xaf",3,"D1008","Hoveniersbedrijf Knol B.V."
"0123456789","Multivers_V32_2017.xaf",3,"C7013","Ass.kantoor """"OP GOED GELUK"""""
"1643124111","Multivers_V32_2017.xaf",2,"D1005","Gartencenter L�wenbrau"
"1643124111","Multivers_V32_2017.xaf",2,"C7003","Von Lee Gartenh�user GmbH"
"60161331926819","Multivers_V32_2017.xaf",2,"D1009","MELBICKS Garden & Leisure"
"60161331926819","Multivers_V32_2017.xaf",2,"C7004","Merit Garden Products Ltd"
"23456","Twinfield_V31_2016.xaf",2,"2002","Ploeg"
"23456","Twinfield_V31_2016.xaf",2,"1001","Witteveen"
"410184152","Twinfield_V31_2016.xaf",3,"2035","Zaffa Records"
"410184152","Twinfield_V31_2016.xaf",3,"2040","Klein"
"410184152","Twinfield_V31_2016.xaf",3,"1005","Meijer"
"596870019","Twinfield_V31_2016.xaf",2,"2042","Centraal Boekenhuis B.V."
"596870019","Twinfield_V31_2016.xaf",2,"1026","De Voetzoeker B.V."
"123456789","Twinfield_V31_2016.xaf",2,"1000","Waardedijk"
"123456789","Twinfield_V31_2016.xaf",2,"1019","Roelofsen"
"712345","Twinfield_V31_2016.xaf",5,"1013","Dalman"
"712345","Twinfield_V31_2016.xaf",5,"1014","Goedhart"
"712345","Twinfield_V31_2016.xaf",5,"1015","Verbeek"
"712345","Twinfield_V31_2016.xaf",5,"1016","Stalknecht"
"712345","Twinfield_V31_2016.xaf",5,"1017","Rendez Vous"
