customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Custom
22,"Deeanne","Durtnell","Female",79,1962-12-10 00:00:00.000,"59.16605538","","IT","Mass Customer","N","No",11,"55 above"
60,"Nadiya","Champerlen","Female",18,1970-02-04 00:00:00.000,"52.00715127","","Manufacturing","Mass Customer","N","No",10,"46 to 55"
81,"Bee","Blazewicz","Female",58,1986-09-04 00:00:00.000,"35.41537045","","Health","High Net Worth","N","No",13,"36 to 45"
108,"Kayle","Mingaud","Female",4,1994-03-14 00:00:00.000,"27.88660333","","n/a","High Net Worth","N","No",3,"26 to 35"
197,"Avis","","Female",32,1977-01-27 00:00:00.000,"45.02358963","","n/a","High Net Worth","N","No",5,"46 to 55"
207,"Adena","Whyman","Female",9,1994-08-10 00:00:00.000,"27.47838415","","n/a","Mass Customer","N","No",7,"26 to 35"
217,"Jeralee","Quartly","Female",63,1979-12-09 00:00:00.000,"42.15783621","","Manufacturing","High Net Worth","N","No",16,"36 to 45"
276,"Goldi","Dwine","Female",47,1990-03-25 00:00:00.000,"31.85920607","","Financial Services","Mass Customer","N","No",22,"26 to 35"
302,"Laurice","Colgrave","Female",32,1977-03-27 00:00:00.000,"44.86194579","","Health","Mass Customer","N","No",13,"36 to 45"
336,"Georgiana","Wallington","Female",91,1980-01-06 00:00:00.000,"42.08112388","","Manufacturing","High Net Worth","N","No",3,"36 to 45"
338,"Hilliary","Littrell","Female",33,1958-03-14 00:00:00.000,"63.91126086","","Health","Mass Customer","N","No",19,"55 above"
368,"Lacee","Roan","Female",32,1986-11-26 00:00:00.000,"35.18797319","","Financial Services","High Net Worth","N","No",6,"36 to 45"
384,"Friederike","Bestar","Female",70,1976-08-06 00:00:00.000,"45.50030196","","Financial Services","Affluent Customer","N","No",17,"46 to 55"
398,"Randee","Douberday","Female",20,1969-01-18 00:00:00.000,"53.05372662","","Retail","Affluent Customer","N","No",11,"46 to 55"
412,"Evanne","Feechum","Female",65,1960-04-23 00:00:00.000,"61.7989321","","IT","High Net Worth","N","No",19,"55 above"
418,"Jere","Ding","Female",56,1958-12-22 00:00:00.000,"63.1359184","","n/a","Mass Customer","N","No",6,"55 above"
507,"Gwen","Jakubczyk","Female",98,1971-07-05 00:00:00.000,"50.59345264","","Health","Mass Customer","N","No",7,"46 to 55"
510,"Sheilah","Blackmore","Female",61,1992-06-15 00:00:00.000,"29.63180881","","n/a","Mass Customer","N","No",2,"26 to 35"
535,"Gracie","Merrifield","Female",67,1993-05-04 00:00:00.000,"28.7468773","","n/a","Affluent Customer","N","No",3,"26 to 35"
550,"Emeline","Jorioz","Female",16,1976-07-10 00:00:00.000,"45.57427456","","Retail","Mass Customer","N","No",15,"46 to 55"
616,"Perl","Bysaker","Female",36,1995-07-13 00:00:00.000,"26.55509648","","Health","High Net Worth","N","No",6,"26 to 35"
627,"Shanta","Knill","Female",24,1970-09-24 00:00:00.000,"51.37153484","","n/a","High Net Worth","N","No",10,"46 to 55"
703,"Ethelda","","Female",66,1966-10-31 00:00:00.000,"55.2729047","","Property","Mass Customer","N","No",15,"55 above"
711,"Audrey","Vickerman","Female",60,1972-03-03 00:00:00.000,"49.93043895","","n/a","Affluent Customer","N","No",7,"46 to 55"
712,"Norine","Antonik","Female",22,1961-05-20 00:00:00.000,"60.72495949","","IT","Mass Customer","N","No",14,"55 above"
731,"Lorenza","Cawthorne","Female",57,1969-12-04 00:00:00.000,"52.17701429","","n/a","Mass Customer","N","No",6,"46 to 55"
741,"Cristionna","Mapes","Female",16,1979-02-15 00:00:00.000,"42.97153484","","n/a","Mass Customer","N","No",11,"36 to 45"
765,"Valeria","Chazette","Female",50,1984-08-31 00:00:00.000,"37.42632936","","Retail","Affluent Customer","N","No",16,"36 to 45"
812,"Coral","Dunkirk","Female",1,1989-09-22 00:00:00.000,"32.36331566","","Financial Services","Mass Customer","N","No",16,"26 to 35"
820,"Cecilia","Chipchase","Female",12,1977-01-06 00:00:00.000,"45.08112388","","Financial Services","High Net Worth","N","No",16,"46 to 55"
827,"Phillis","Rudwell","Female",90,1996-05-07 00:00:00.000,"25.7359184","","Health","Affluent Customer","N","No",5,"26 to 35"
879,"Hestia","Smetoun","Female",58,1978-08-02 00:00:00.000,"43.51126086","","n/a","Mass Customer","N","No",12,"36 to 45"
913,"Dayle","Spearman","Female",67,2000-10-28 00:00:00.000,"21.25646634","","Financial Services","Mass Customer","N","No",1,"25 below"
944,"Anderea","Dallewater","Female",53,1976-01-12 00:00:00.000,"46.06742525","","Manufacturing","Mass Customer","N","No",15,"46 to 55"
953,"Jasmin","Brodeur","Female",16,1979-05-23 00:00:00.000,"42.70578141","","n/a","Mass Customer","N","No",7,"36 to 45"
